DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"001902",575,5,0.9,1,0.2,20,3.5,3,0.5,247,43,57,9.9,39,6.8,0,0,1,0.2,328,57,0,0,226,39.3,83,14.4,26,4.5,160,27.8,485,84.3
"001903",1233,8,0.6,17,1.4,48,3.9,5,0.4,677,54.9,41,3.3,137,11.1,3,0.2,19,1.5,556,45.1,2,0.2,363,29.4,129,10.5,49,4,397,32.2,986,80
"001904",872,8,0.9,19,2.2,76,8.7,3,0.3,468,53.7,72,8.3,79,9.1,3,0.3,19,2.2,404,46.3,0,0,339,38.9,88,10.1,32,3.7,222,25.5,674,77.3
"001906",360,1,0.3,5,1.4,30,8.3,0,0,171,47.5,27,7.5,46,12.8,1,0.3,5,1.4,189,52.5,0,0,100,27.8,35,9.7,7,1.9,155,43.1,275,76.4
"001907",3414,30,0.9,526,15.4,949,27.8,120,3.2,2359,69.1,92,2.7,1379,40.4,9,0.3,578,16.9,1055,30.9,3,0.1,2017,59.1,315,9.2,111,3.3,1168,34.2,933,27.3
"001908",1559,6,0.4,91,5.8,275,17.6,16,0.9,928,59.5,34,2.2,411,26.4,12,0.8,96,6.2,631,40.5,0,0,828,53.1,169,10.8,56,3.6,410,26.3,799,51.3
"001909",423,4,0.9,5,1.2,7,1.7,5,1.1,208,49.2,18,4.3,23,5.4,2,0.5,5,1.2,215,50.8,0,0,151,35.7,53,12.5,12,2.8,154,36.4,375,88.7
"002901",4062,12,0.3,527,13,33,0.8,72,1.7,1614,39.7,214,5.3,2743,67.5,17,0.4,477,11.7,2448,60.3,0,0,1685,41.5,291,7.2,67,1.6,911,22.4,1190,29.3
"003801",1020,14,1.4,55,5.4,167,16.4,2,0.2,517,50.7,100,9.8,261,25.6,0,0,55,5.4,503,49.3,1,0.1,277,27.2,82,8,25,2.5,102,10,552,54.1
"003902",2889,28,1,189,6.5,184,6.4,60,2,1535,53.1,166,5.7,715,24.7,24,0.8,199,6.9,1354,46.9,0,0,1119,38.7,243,8.4,64,2.2,926,32.1,1874,64.9
"003903",7953,97,1.2,1885,23.7,2303,29,326,3.7,5884,74,907,11.4,3285,41.3,15,0.2,1500,18.9,2069,26,6,0.1,5028,63.2,828,10.4,199,2.5,1892,23.8,2048,25.8
"003904",1718,1,0.1,16,0.9,48,2.8,25,1.3,945,55,75,4.4,126,7.3,10,0.6,16,0.9,773,45,0,0,839,48.8,152,8.8,50,2.9,573,33.4,1483,86.3
"003905",1884,7,0.4,299,15.9,221,11.7,21,1,1671,88.7,68,3.6,1011,53.7,4,0.2,303,16.1,213,11.3,1,0.1,1161,61.6,181,9.6,38,2,464,24.6,602,32
"003906",368,0,0,0,0,3,0.8,5,1.2,234,63.6,10,2.7,16,4.3,0,0,0,0,134,36.4,0,0,174,47.3,47,12.8,18,4.9,130,35.3,331,89.9
"003907",1521,1,0.1,57,3.7,75,4.9,35,2.1,845,55.6,71,4.7,318,20.9,5,0.3,59,3.9,676,44.4,0,0,651,42.8,188,12.4,43,2.8,526,34.6,1079,70.9
"004901",2546,64,2.5,115,4.5,20,0.8,104,2.8,2453,96.3,122,4.8,1078,42.3,9,0.4,115,4.5,93,3.7,2,0.1,2535,99.6,229,9,61,2.4,575,22.6,1312,51.5
"005901",473,3,0.6,8,1.7,1,0.2,8,1.5,195,41.2,34,7.2,64,13.5,5,1.1,8,1.7,278,58.8,0,0,155,32.8,63,13.3,15,3.2,140,29.6,385,81.4
"005902",1006,1,0.1,3,0.3,4,0.4,4,0.4,251,25,53,5.3,82,8.2,5,0.5,3,0.3,755,75,0,0,326,32.4,86,8.5,21,2.1,265,26.3,893,88.8
"005904",428,0,0,25,5.8,0,0,0,0,114,26.6,38,8.9,117,27.3,5,1.2,25,5.8,314,73.4,0,0,155,36.2,38,8.9,3,0.7,158,36.9,303,70.8
"006902",372,1,0.3,7,1.9,5,1.3,1,0.3,159,42.7,11,3,41,11,5,1.3,7,1.9,213,57.3,0,0,120,32.3,38,10.2,12,3.2,105,28.2,308,82.8
"007901",492,0,0,27,5.5,0,0,13,2.4,349,70.9,23,4.7,436,88.6,0,0,29,5.9,143,29.1,0,0,364,74,57,11.6,0,0,145,29.5,56,11.4
