DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"001902",568,4,0.7,3,0.5,24,4.2,7,1.1,192,33.8,63,11.1,40,7,0,0,3,0.5,376,66.2,0,0,224,39.4,78,13.7,29,5.1,153,26.9,471,82.9
"001903",1244,11,0.9,19,1.5,67,5.4,6,0.4,681,54.7,45,3.6,119,9.6,1,0.1,19,1.5,563,45.3,2,0.2,380,30.5,144,11.6,32,2.6,304,24.4,1012,81.4
"001904",841,6,0.7,19,2.3,74,8.8,9,1,475,56.5,60,7.1,86,10.2,4,0.5,19,2.3,366,43.5,1,0.1,338,40.2,69,8.2,32,3.8,273,32.5,638,75.9
"001906",383,3,0.8,6,1.6,32,8.4,4,1,164,42.8,26,6.8,44,11.5,0,0,6,1.6,219,57.2,0,0,116,30.3,42,11,8,2.1,140,36.6,296,77.3
"001907",3385,27,0.8,492,14.5,914,27,118,3.1,2507,74.1,92,2.7,1396,41.2,6,0.2,538,15.9,878,25.9,1,0,2030,60,289,8.5,96,2.8,1159,34.2,945,27.9
"001908",1609,8,0.5,82,5.1,286,17.8,17,0.9,1010,62.8,36,2.2,385,23.9,9,0.6,92,5.7,599,37.2,0,0,849,52.8,159,9.9,64,4,415,25.8,857,53.3
"001909",414,1,0.2,4,1,9,2.2,1,0.2,198,47.8,20,4.8,22,5.3,3,0.7,4,1,216,52.2,0,0,140,33.8,54,13,9,2.2,152,36.7,370,89.4
"002901",3968,16,0.4,485,12.2,45,1.1,45,1,1575,39.7,180,4.5,2673,67.4,10,0.3,510,12.9,2393,60.3,0,0,1620,40.8,258,6.5,70,1.8,916,23.1,1154,29.1
"003801",966,22,2.3,50,5.2,166,17.2,1,0.1,451,46.7,75,7.8,189,19.6,0,0,51,5.3,515,53.3,2,0.2,154,15.9,58,6,17,1.8,84,8.7,570,59
"003902",2778,23,0.8,190,6.8,184,6.6,66,2.2,1486,53.5,150,5.4,668,24,19,0.7,198,7.1,1292,46.5,0,0,1077,38.8,212,7.6,48,1.7,719,25.9,1836,66.1
"003903",8243,142,1.7,1948,23.6,2362,28.7,325,3.6,6019,73,851,10.3,3286,39.9,19,0.2,1545,18.7,2224,27,11,0.1,5175,62.8,863,10.5,158,1.9,1666,20.2,2265,27.5
"003904",1699,2,0.1,18,1.1,37,2.2,28,1.5,884,52,86,5.1,110,6.5,9,0.5,18,1.1,815,48,2,0.1,767,45.1,149,8.8,45,2.6,557,32.8,1494,87.9
