DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"210904",572,0,0,107,18.7,144,25.2,4,0.6,483,84.4,64,11.2,194,33.9,0,0,107,18.7,89,15.6,0,0,364,63.6,78,13.6,16,2.8,152,26.6,218,38.1
"210905",644,2,0.3,32,5,156,24.2,0,0,469,72.8,16,2.5,94,14.6,0,0,32,5,175,27.2,0,0,320,49.7,75,11.6,17,2.6,124,19.3,375,58.2
"210906",119,0,0,6,5,1,0.8,0,0,70,58.8,1,0.8,17,14.3,1,0.8,6,5,49,41.2,0,0,59,49.6,23,19.3,0,0,0,0,100,84
"211901",372,0,0,59,15.9,1,0.3,0,0,145,39,50,13.4,170,45.7,0,0,59,15.9,227,61,0,0,133,35.8,27,7.3,0,0,0,0,201,54
"211902",591,2,0.3,97,16.4,4,0.7,5,0.8,353,59.7,23,3.9,383,64.8,0,0,97,16.4,238,40.3,0,0,254,43,48,8.1,7,1.2,144,24.4,195,33
"212801",483,21,4.3,0,0,74,15.3,0,0,170,35.2,0,0,66,13.7,0,0,0,0,313,64.8,0,0,27,5.6,34,7,16,3.3,0,0,306,63.4
"212803",161,0,0,0,0,24,14.9,0,0,161,100,0,0,24,14.9,0,0,0,0,0,0,0,0,161,100,95,59,6,3.7,87,54,107,66.5
"212804",278,5,1.8,0,0,20,7.2,0,.,36,12.9,12,4.3,26,9.4,1,0.4,1,0.4,242,87.1,0,0,24,8.6,10,3.6,12,4.3,0,0,214,77
"212901",883,3,0.3,22,2.5,124,14,13,1.3,487,55.2,65,7.4,96,10.9,3,0.3,22,2.5,396,44.8,1,0.1,252,28.5,65,7.4,32,3.6,199,22.5,624,70.7
"212902",2177,7,0.3,47,2.2,92,4.2,16,0.7,759,34.9,105,4.8,154,7.1,14,0.6,48,2.2,1418,65.1,0,0,734,33.7,223,10.2,51,2.3,672,30.9,1859,85.4
"212903",3748,49,1.3,123,3.3,265,7.1,81,2,1625,43.4,266,7.1,443,11.8,15,0.4,126,3.4,2123,56.6,2,0.1,1056,28.2,366,9.8,119,3.2,892,23.8,2855,76.2
"212904",1124,8,0.7,35,3.1,146,13,21,1.7,605,53.8,68,6,116,10.3,4,0.4,37,3.3,519,46.2,2,0.2,710,63.2,79,7,34,3,308,27.4,814,72.4
"212905",18216,236,1.3,3499,19.2,5418,29.7,256,1.3,12898,70.8,1831,10.1,7920,43.5,54,0.3,3949,21.7,5318,29.2,9,0,10684,58.7,1344,7.4,293,1.6,4903,26.9,4286,23.5
"212906",4597,133,2.9,140,3,503,10.9,76,1.5,1722,37.5,296,6.4,527,11.5,32,0.7,147,3.2,2875,62.5,5,0.1,1774,38.6,363,7.9,137,3,994,21.6,3260,70.9
"212909",3442,33,1,697,20.2,659,19.1,81,2.1,2556,74.3,162,4.7,1363,39.6,10,0.3,608,17.7,886,25.7,6,0.2,1876,54.5,246,7.1,106,3.1,974,28.3,1265,36.8
"212910",1019,1,0.1,50,4.9,201,19.7,24,2,659,64.7,82,8,193,18.9,1,0.1,50,4.9,360,35.3,0,0,399,39.2,110,10.8,18,1.8,276,27.1,605,59.4
"213801",226,0,0,0,0,18,8,0,0,127,56.2,0,0,46,20.4,0,0,0,0,99,43.8,0,0,181,80.1,37,16.4,5,2.2,114,50.4,157,69.5
"213901",1688,9,0.5,156,9.2,7,0.4,10,0.6,797,47.2,121,7.2,497,29.4,22,1.3,156,9.2,891,52.8,3,0.2,665,39.4,124,7.3,31,1.8,442,26.2,1119,66.3
"214901",10796,21,0.2,6510,60.3,1,0,211,1.8,10361,96,1363,12.6,10711,99.2,2,0,6528,60.5,435,4,0,0,7352,68.1,995,9.2,1,0,3350,31,60,0.6
"214902",263,0,0,43,16.3,2,0.8,2,0.6,216,82.1,5,1.9,259,98.5,0,0,42,16,47,17.9,0,0,101,38.4,28,10.6,0,0,68,25.9,2,0.8
"214903",6479,0,0,4489,69.3,1,0,92,1.3,5928,91.5,527,8.1,6478,100,0,0,4511,69.6,551,8.5,0,0,5336,82.4,289,4.5,0,0,1477,22.8,0,0
"215901",1457,5,0.3,123,8.4,24,1.6,33,2,948,65.1,103,7.1,494,33.9,25,1.7,108,7.4,509,34.9,2,0.1,448,30.7,128,8.8,19,1.3,371,25.5,888,60.9
"216901",263,0,0,10,3.8,5,1.9,1,0.4,121,46,14,5.3,134,51,0,0,10,3.8,142,54,0,0,94,35.7,26,9.9,10,3.8,117,44.5,114,43.3
"217901",253,3,1.2,5,2,9,3.6,1,0.4,128,50.6,9,3.6,66,26.1,0,0,5,2,125,49.4,0,0,61,24.1,22,8.7,4,1.6,84,33.2,171,67.6
"218901",932,0,0,86,9.2,4,0.4,6,0.6,458,49.1,26,2.8,659,70.7,3,0.3,87,9.3,474,50.9,0,0,391,42,85,9.1,10,1.1,221,23.7,256,27.5
"219901",241,0,0,9,3.7,1,0.4,0,0,109,45.2,4,1.7,44,18.3,0,0,9,3.7,132,54.8,0,0,46,19.1,21,8.7,1,0.4,82,34,195,80.9
"219903",1110,2,0.2,68,6.1,105,9.5,18,1.5,863,77.7,50,4.5,651,58.6,3,0.3,69,6.2,247,22.3,0,0,487,43.9,117,10.5,8,0.7,228,20.5,341,30.7
"219905",234,0,0,17,7.3,17,7.3,0,0,166,70.9,7,3,133,56.8,1,0.4,17,7.3,68,29.1,2,0.9,94,40.2,24,10.3,1,0.4,56,23.9,80,34.2
