DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'020904",9,10.6,85,63,8.4,754,3,0.4,70,605,11.6,35,4.6,2,0.3,5,0.6,85,11.3,229,30.4,379,50.3,0,0,45,6,159,21.1,1,0.1,2,0.3,1,0.1,36,4.8,375,49.7,0,0,2,0.3,525,69.6,0,0,265,35.1,91,12.1,292,38.7,20,2.7,569,75.5,35,4.6,45,5.9,95,12.5
"'020905",264,20,1319,764,6.7,11396,187,1.6,1604,8392,19.1,1331,11.7,785,6.9,287,2.2,420,3.7,7943,69.7,5589,49,11,0.1,1201,10.5,6442,56.5,226,2,139,1.2,39,0.3,1370,12,5807,51,9,0.1,199,1.7,3453,30.3,5,0,5170,45.4,1316,11.5,6453,56.6,306,2.7,3632,31.9,1332,11.7,1201,10.5,1342,11.7
"'020906",25,13,193,170,9.2,1847,7,0.4,249,1594,15.6,53,2.9,201,10.9,47,2.2,129,7,1057,57.2,901,48.8,1,0.1,59,3.2,478,25.9,47,2.5,11,0.6,1,0.1,57,3.1,946,51.2,0,0,11,0.6,790,42.8,0,0,765,41.4,200,10.8,1847,100,103,5.6,1057,57.2,53,2.9,59,3.2,201,10.9
"'020907",54,14.3,378,301,10.5,2863,10,0.3,400,2223,18,191,6.7,242,8.5,37,1.1,273,9.5,1712,59.8,1428,49.9,14,0.5,154,5.4,790,27.6,68,2.4,5,0.2,11,0.4,222,7.8,1435,50.1,0,0,10,0.3,1151,40.2,1,0,1251,43.7,388,13.6,1558,54.4,88,3.1,1721,60.1,191,6.6,154,5.4,393,13.7
"'020908",233,10.2,2294,1703,8.1,20988,2335,11.1,1741,14954,11.6,2441,11.6,3117,14.9,298,1.3,1180,5.6,6607,31.5,10095,48.1,71,0.3,2318,11,7716,36.8,170,0.8,124,0.6,57,0.3,2042,9.7,10893,51.9,0,0,1307,6.2,14381,68.5,22,0.1,7009,33.4,2125,10.1,5742,27.4,818,3.9,6923,33,2443,11.6,2318,11,2197,10.4
"'020910",2,7.7,26,1,0.9,115,0,0,23,108,21.3,19,16.5,3,2.6,0,0,6,5.2,86,74.8,58,50.4,1,0.9,4,3.5,58,50.4,0,0,1,0.9,0,0,20,17.4,57,49.6,1,0.9,0,0,29,25.2,0,0,31,27,20,17.4,0,0,7,6.1,47,40.9,19,16.5,4,3.5,20,17.4
"'021803",0,0,26,9,2.8,327,0,0,112,357,31.4,125,38.2,111,33.9,0,0,1,0.3,306,93.6,166,50.8,1,0.3,0,0,195,59.6,0,0,0,0,1,0.3,127,38.8,161,49.2,0,0,0,0,21,6.4,0,0,150,45.9,30,9.2,224,68.5,3,0.9,17,5.2,125,38.2,0,0,30,9.2
"'021805",14,18.2,77,16,2.3,691,2,0.3,219,701,31.2,84,12.2,460,66.6,0,0,20,2.9,478,69.2,338,48.9,1,0.1,6,0.9,150,21.7,18,2.6,5,0.7,10,1.4,96,13.9,353,51.1,1,0.1,5,0.7,213,30.8,0,0,366,53,54,7.8,691,100,29,4.2,40,5.8,84,12.2,6,0.9,54,7.8
"'021901",243,14.3,1694,1322,9.7,13613,970,7.1,2023,9951,20.3,1608,11.8,1916,14.1,94,0.6,764,5.6,4909,36.1,6620,48.6,39,0.3,1474,10.8,3219,23.6,67,0.5,149,1.1,54,0.4,1223,9,6993,51.4,3,0,36,0.3,8704,63.9,26,0.2,4886,35.9,1776,13,3418,25.1,468,3.4,6960,51.1,1608,11.8,1475,10.8,1825,13.4
"'021902",552,24.8,2225,1256,8,15725,56,0.4,2069,11619,17.8,4562,29,2816,17.9,506,3,608,3.9,12096,76.9,7706,49,38,0.2,1415,9,9392,59.7,339,2.2,211,1.3,33,0.2,4313,27.4,8019,51,138,0.9,107,0.7,3629,23.1,13,0.1,11320,72,2068,13.2,10672,67.9,359,2.3,3056,19.4,4563,29,1415,9,2103,13.3
