DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'049909",0,0,6,0,0,49,0,0,33,74,44.6,0,0,1,2,0,0,2,4.1,29,59.2,27,55.1,0,0,0,0,7,14.3,0,0,0,0,1,2,0,0,22,44.9,0,0,0,0,20,40.8,0,0,31,63.3,4,8.2,49,100,1,2,39,79.6,0,0,0,0,4,8.2
"'050901",5,15.2,33,28,10.3,273,0,0,39,214,18.2,23,8.4,3,1.1,8,2.9,22,8.1,157,57.5,147,53.8,0,0,6,2.2,78,28.6,0,0,0,0,0,0,23,8.4,126,46.2,11,4,1,0.4,116,42.5,0,0,161,59,29,10.6,273,100,5,1.8,187,68.5,23,8.4,6,2.2,29,10.6
"'050902",48,14,343,446,16,2779,19,0.7,190,1779,10.7,116,4.2,85,3.1,57,1.9,285,10.3,1668,60,1369,49.3,19,0.7,231,8.3,624,22.5,11,0.4,12,0.4,11,0.4,117,4.2,1410,50.7,1,0,301,10.8,1111,40,2,0.1,1320,47.5,341,12.3,1520,54.7,134,4.8,1904,68.5,116,4.2,232,8.3,351,12.6
"'050904",1,10,10,21,11.4,185,0,0,23,151,15.2,9,4.9,1,0.5,2,1.1,11,5.9,112,60.5,94,50.8,0,0,1,0.5,43,23.2,11,5.9,0,0,0,0,9,4.9,91,49.2,0,0,5,2.7,73,39.5,0,0,72,38.9,16,8.6,185,100,7,3.8,134,72.4,9,4.9,1,0.5,16,8.6
"'050909",6,13.6,44,16,5.1,313,0,0,52,330,15.8,0,0,2,0.6,0,0,31,9.9,176,56.2,136,43.5,1,0.3,3,1,32,10.2,0,0,0,0,0,0,0,0,177,56.5,0,0,5,1.6,137,43.8,0,0,8,2.6,34,10.9,313,100,8,2.6,271,86.6,0,0,3,1,34,10.9
"'050910",250,22.9,1092,1059,13.2,8046,118,1.5,1359,6256,21.7,437,5.4,1467,18.2,122,1.3,662,8.2,4988,62,3992,49.6,64,0.8,453,5.6,2302,28.6,72,0.9,9,0.1,40,0.5,445,5.5,4054,50.4,0,0,3738,46.5,3058,38,229,2.8,4007,49.8,1034,12.9,3852,47.9,846,10.5,3044,37.8,437,5.4,453,5.6,1039,12.9
"'051901",1,3.2,31,18,9.8,183,0,0,26,186,14,1,0.5,19,10.4,0,0,16,8.7,121,66.1,90,49.2,2,1.1,15,8.2,87,47.5,0,0,0,0,3,1.6,1,0.5,93,50.8,0,0,6,3.3,62,33.9,0,0,104,56.8,32,17.5,183,100,6,3.3,68,37.2,1,0.5,15,8.2,32,17.5
"'052901",7,8,88,66,6,1097,5,0.5,143,918,15.6,204,18.6,16,1.5,20,1.6,54,4.9,604,55.1,525,47.9,0,0,68,6.2,881,80.3,0,0,18,1.6,2,0.2,213,19.4,572,52.1,0,0,8,0.7,493,44.9,0,0,458,41.8,94,8.6,778,70.9,3,0.3,190,17.3,204,18.6,68,6.2,96,8.7
"'053001",9,12.3,73,77,10.1,762,3,0.4,69,615,11.2,124,16.3,3,0.4,5,0.6,38,5,406,53.3,370,48.6,6,0.8,44,5.8,581,76.2,15,2,4,0.5,3,0.4,123,16.1,392,51.4,4,0.5,14,1.8,356,46.7,0,0,434,57,62,8.1,762,100,2,0.3,170,22.3,124,16.2,44,5.8,64,8.4
"'054901",7,14.9,47,19,6,316,0,0,51,292,17.5,4,1.3,9,2.8,4,1.1,12,3.8,248,78.5,162,51.3,0,0,17,5.4,229,72.5,0,0,0,0,0,0,4,1.3,154,48.7,16,5.1,0,0,68,21.5,0,0,149,47.2,53,16.8,316,100,4,1.3,74,23.4,4,1.3,17,5.4,53,16.8
"'054902",8,21.6,37,19,8.3,228,0,0,44,229,19.2,20,8.8,5,2.2,17,6,14,6.1,181,79.4,115,50.4,2,0.9,6,2.6,191,83.8,1,0.4,1,0.4,0,0,20,8.8,113,49.6,39,17.1,0,0,47,20.6,0,0,123,53.9,32,14,228,100,5,2.2,27,11.8,20,8.7,6,2.6,33,14.4
"'054903",26,35.1,74,33,7.1,462,2,0.4,67,386,17.4,17,3.7,3,0.6,5,0.9,37,8,387,83.8,218,47.2,2,0.4,8,1.7,355,76.8,0,0,0,0,1,0.2,17,3.7,244,52.8,30,6.5,0,0,75,16.2,0,0,274,59.3,47,10.2,462,100,7,1.5,94,20.3,17,3.7,8,1.7,47,10.2
"'055901",2,5.4,37,4,1,387,7,1.8,39,359,10.9,26,6.7,0,0,0,0,5,1.3,316,81.7,184,47.5,0,0,20,5.2,329,85,25,6.5,5,1.3,3,0.8,28,7.2,203,52.5,0,0,0,0,71,18.3,1,0.3,211,54.5,40,10.3,387,100,2,0.5,45,11.6,26,6.7,20,5.2,40,10.3
"'056901",23,15.4,149,64,3.9,1628,4,0.2,194,1206,16.1,405,24.9,12,0.7,39,2.1,61,3.7,933,57.3,766,47.1,17,1,58,3.6,1054,64.7,158,9.7,5,0.3,8,0.5,405,24.9,862,52.9,150,9.2,9,0.6,695,42.7,0,0,816,50.1,138,8.5,1628,100,20,1.2,530,32.6,405,24.8,58,3.6,142,8.7
"'056902",0,0,16,18,9.1,198,0,0,23,182,12.6,40,20.2,1,0.5,0,0,12,6.1,105,53,97,49,0,0,5,2.5,100,50.5,3,1.5,0,0,1,0.5,39,19.7,101,51,0,0,0,0,93,47,0,0,50,25.3,23,11.6,198,100,4,2,92,46.5,40,20.1,5,2.5,24,12.1
"'057802",13,17.8,73,25,4.9,506,0,0,206,594,34.7,142,28.1,164,32.4,0,0,16,3.2,439,86.8,262,51.8,0,0,0,0,304,60.1,85,16.8,0,0,2,0.4,144,28.5,244,48.2,0,0,0,0,67,13.2,0,0,405,80,56,11.1,506,100,14,2.8,22,4.3,142,28.1,0,0,56,11.1
"'057803",126,7.4,1698,620,2.9,21520,1315,6.1,1953,15385,12.7,6838,31.8,4614,21.4,0,0,397,1.8,17299,80.4,10802,50.2,16,0.1,0,0,14531,67.5,182,0.8,201,0.9,36,0.2,6821,31.7,10718,49.8,0,0,84,0.4,4221,19.6,7,0,10920,50.7,1652,7.7,19941,92.7,389,1.8,628,2.9,6838,31.8,0,0,1653,7.7
"'057804",481,63.9,753,140,3,4679,15,0.3,2110,4313,48.9,1197,25.6,1432,30.6,0,0,27,0.6,4679,100,2338,50,0,0,0,0,2995,64,9,0.2,0,0,8,0.2,1257,26.9,2341,50,4,0.1,0,0,0,0,1,0,4272,91.3,365,7.8,4679,100,82,1.8,146,3.1,1197,25.6,0,0,365,7.8
"'057805",2,8,25,6,2.3,256,3,1.2,69,277,24.9,98,38.3,16,6.3,0,0,4,1.6,160,62.5,112,43.8,3,1.2,0,0,187,73,1,0.4,2,0.8,0,0,100,39.1,144,56.3,0,0,0,0,96,37.5,0,0,174,68,24,9.4,256,100,7,2.7,43,16.8,98,38.3,0,0,24,9.4
"'057806",16,15.7,102,46,3.8,1207,14,1.2,431,1363,31.6,266,22,381,31.6,0,0,14,1.2,983,81.4,579,48,0,0,47,3.9,687,56.9,0,0,3,0.2,2,0.2,308,25.5,628,52,0,0,0,0,224,18.6,2,0.2,1055,87.4,88,7.3,1207,100,14,1.2,107,8.9,266,22,47,3.9,88,7.3
"'057807",61,8.7,703,344,6.2,5547,10,0.2,684,4624,14.8,543,9.8,2551,46,0,0,260,4.7,3238,58.4,2820,50.8,13,0.2,258,4.7,2203,39.7,21,0.4,0,0,7,0.1,565,10.2,2727,49.2,0,0,339,6.1,2309,41.6,0,0,2215,39.9,663,12,5547,100,160,2.9,616,11.1,543,9.8,258,4.7,663,12
"'057808",13,21,62,24,1,2397,1440,60.1,697,2257,30.9,991,41.3,393,16.4,1,0,11,0.5,643,26.8,1203,50.2,0,0,187,7.8,496,20.7,0,0,370,15.4,10,0.4,1019,42.5,1194,49.8,1,0,0,0,1754,73.2,0,0,1034,43.1,68,2.8,735,30.7,21,0.9,37,1.5,991,41.3,187,7.8,68,2.8
"'057809",0,0,4,0,0,122,0,0,52,122,42.6,11,9,99,81.1,0,0,0,0,113,92.6,64,52.5,1,0.8,0,0,19,15.6,0,0,0,0,0,0,11,9,58,47.5,0,0,0,0,9,7.4,0,0,27,22.1,0,0,122,100,2,1.6,2,1.6,11,9,0,0,0,0
"'057810",7,26.9,26,1,0.3,341,0,0,198,442,44.8,32,9.4,262,76.8,0,0,2,0.6,339,99.4,184,54,1,0.3,0,0,74,21.7,0,0,0,0,0,0,36,10.6,157,46,0,0,0,0,2,0.6,0,0,184,54,17,5,341,100,5,1.5,0,0,32,9.4,0,0,17,5
"'057813",38,11.2,339,136,3.2,4189,88,2.1,593,3602,16.5,2440,58.2,428,10.2,0,0,70,1.7,3783,90.3,2208,52.7,4,0.1,0,0,3589,85.7,24,0.6,189,4.5,4,0.1,2457,58.7,1981,47.3,0,0,4,0.1,406,9.7,0,0,3353,80,398,9.5,4189,100,21,0.5,59,1.4,2440,58.2,0,0,398,9.5
"'057814",397,98.8,402,12,3.9,308,1,0.3,422,460,91.7,54,17.5,154,50,0,0,0,0,308,100,54,17.5,3,1,0,0,126,40.9,0,0,0,0,0,0,58,18.8,254,82.5,0,0,0,0,0,0,0,0,308,100,69,22.4,308,100,4,1.3,23,7.5,54,17.5,0,0,69,22.4
"'057816",15,17.2,87,24,1.7,1383,3,0.2,600,1588,37.8,11,0.8,1297,93.8,0,0,92,6.7,1317,95.2,721,52.1,0,0,0,0,52,3.8,1,0.1,0,0,1,0.1,11,0.8,662,47.9,1,0.1,0,0,66,4.8,0,0,298,21.5,91,6.6,1383,100,27,2,3,0.2,11,0.8,0,0,91,6.6
"'057819",0,0,11,2,1,195,0,0,31,208,14.9,94,48.2,32,16.4,0,0,2,1,141,72.3,101,51.8,0,0,0,0,149,76.4,0,0,0,0,1,0.5,96,49.2,94,48.2,0,0,2,1,54,27.7,0,0,100,51.3,11,5.6,195,100,4,2.1,9,4.6,94,48.2,0,0,11,5.6
"'057827",2,5,40,14,2.3,613,0,0,142,599,23.7,163,26.6,255,41.6,0,0,3,0.5,562,91.7,317,51.7,1,0.2,0,0,340,55.5,9,1.5,0,0,1,0.2,169,27.6,296,48.3,0,0,1,0.2,51,8.3,3,0.5,466,76,33,5.4,613,100,8,1.3,6,1,163,26.6,0,0,33,5.4
"'057828",179,68.1,263,151,11.8,1276,18,1.4,519,1038,50,174,13.6,288,22.6,0,0,80,6.3,594,46.6,719,56.3,2,0.2,0,0,623,48.8,44,3.4,0,0,5,0.4,190,14.9,557,43.7,0,0,7,0.5,682,53.4,4,0.3,1229,96.3,150,11.8,1276,100,50,3.9,288,22.6,174,13.6,0,0,150,11.8
"'057829",6,4.2,144,35,2.4,1455,6,0.4,99,1204,8.2,679,46.7,45,3.1,0,0,47,3.2,1264,86.9,719,49.4,0,0,63,4.3,1368,94,1,0.1,11,0.8,0,0,695,47.8,736,50.6,0,0,1,0.1,191,13.1,0,0,981,67.4,129,8.9,1360,93.5,7,0.5,29,2,680,46.7,63,4.3,129,8.9
"'057830",10,8.4,119,42,3.3,1290,1,0.1,173,1146,15.1,598,46.4,78,6,0,0,40,3.1,1169,90.6,625,48.4,1,0.1,18,1.4,1191,92.3,2,0.2,7,0.5,0,0,606,47,665,51.6,0,0,2,0.2,121,9.4,0,0,727,56.4,105,8.1,1290,100,2,0.2,18,1.4,598,46.4,18,1.4,105,8.1
"'057831",7,18.4,38,17,2.2,783,0,0,243,777,31.3,0,0,762,97.3,0,0,0,0,686,87.6,383,48.9,8,1,6,0.8,15,1.9,0,0,0,0,4,0.5,0,0,400,51.1,0,0,0,0,97,12.4,0,0,375,47.9,39,5,783,100,2,0.3,0,0,0,0,6,0.8,39,5
"'057833",18,23.1,78,67,12.3,543,27,5,167,507,32.9,35,6.4,127,23.4,0,0,38,7,271,49.9,279,51.4,3,0.6,8,1.5,143,26.3,0,0,0,0,0,0,36,6.6,264,48.6,0,0,10,1.8,272,50.1,2,0.4,70,12.9,52,9.6,415,76.4,14,2.6,230,42.4,35,6.4,8,1.5,52,9.6
"'057834",40,54.8,73,33,5,665,7,1.1,282,542,52,44,6.6,322,48.4,0,0,6,0.9,443,66.6,358,53.8,4,0.6,0,0,258,38.8,51,7.7,2,0.3,5,0.8,46,6.9,307,46.2,0,0,2,0.3,222,33.4,1,0.2,603,90.7,41,6.2,665,100,16,2.4,56,8.4,44,6.6,0,0,41,6.1
"'057835",6,5.3,113,41,2.6,1554,6,0.4,260,1454,17.9,708,45.6,72,4.6,0,0,32,2.1,1552,99.9,791,50.9,0,0,30,1.9,1452,93.4,0,0,0,0,3,0.2,802,51.6,763,49.1,0,0,1,0.1,2,0.1,0,0,813,52.3,115,7.4,1552,99.9,3,0.2,18,1.2,708,45.6,30,1.9,115,7.4
"'057836",4,11.8,34,13,4,327,0,0,36,253,14.2,0,0,313,95.7,0,0,8,2.4,275,84.1,166,50.8,0,0,22,6.7,8,2.4,0,0,0,0,0,0,0,0,161,49.2,0,0,0,0,52,15.9,0,0,83,25.4,30,9.2,327,100,6,1.8,0,0,0,0,22,6.7,30,9.2
"'057839",0,0,108,25,2.5,1017,3,0.3,107,709,15.1,683,67.2,2,0.2,0,0,22,2.2,889,87.4,498,49,0,0,10,1,1002,98.5,0,0,0,0,1,0.1,693,68.1,519,51,0,0,0,0,128,12.6,0,0,739,72.7,121,11.9,1017,100,0,0,9,0.9,683,67.2,10,1,121,11.9
"'057840",0,0,1,13,2.6,498,135,27.1,39,282,13.8,36,7.2,134,26.9,0,0,7,1.4,57,11.4,313,62.9,0,0,0,0,126,25.3,0,0,0,0,2,0.4,39,7.8,185,37.1,0,0,0,0,441,88.6,0,0,70,14.1,2,0.4,0,0,11,2.2,90,18.1,36,7.2,0,0,2,0.4
"'057841",11,14.3,77,13,1.1,1204,1,0.1,260,1110,23.4,649,53.9,188,15.6,0,0,47,3.9,1081,89.8,618,51.3,13,1.1,5,0.4,974,80.9,7,0.6,0,0,3,0.2,619,51.4,586,48.7,0,0,0,0,123,10.2,0,0,969,80.5,88,7.3,1204,100,11,0.9,27,2.2,649,53.9,5,0.4,88,7.3
"'057844",17,27.9,61,7,1.1,659,192,29.1,210,670,31.3,230,34.9,206,31.3,0,0,3,0.5,403,61.2,334,50.7,0,0,0,0,34,5.2,2,0.3,37,5.6,7,1.1,252,38.2,325,49.3,2,0.3,0,0,256,38.8,0,0,262,39.8,42,6.4,659,100,17,2.6,203,30.8,230,34.9,0,0,42,6.4
"'057845",6,10.9,55,87,6.9,1270,23,1.8,240,1112,21.6,108,8.5,154,12.1,0,0,56,4.4,488,38.4,659,51.9,0,0,0,0,642,50.6,0,0,0,0,5,0.4,117,9.2,611,48.1,0,0,2,0.2,782,61.6,1,0.1,260,20.5,67,5.3,1270,100,44,3.5,401,31.6,108,8.5,0,0,67,5.3
"'057846",78,48.1,162,59,3.9,1513,12,0.8,333,1503,22.2,583,38.5,305,20.2,0,0,59,3.9,1310,86.6,717,47.4,0,0,79,5.2,1026,67.8,43,2.8,0,0,18,1.2,598,39.5,796,52.6,0,0,5,0.3,203,13.4,3,0.2,821,54.3,138,9.1,1513,100,27,1.8,122,8.1,583,38.5,79,5.2,138,9.1
"'057847",2,2.4,85,79,6.6,1203,11,0.9,216,1182,18.3,34,2.8,433,36,0,0,52,4.3,597,49.6,585,48.6,7,0.6,0,0,476,39.6,0,0,1,0.1,2,0.2,36,3,618,51.4,0,0,1,0.1,606,50.4,0,0,347,28.8,91,7.6,1203,100,78,6.5,203,16.9,34,2.8,0,0,91,7.6
"'057848",169,13.6,1243,1048,5,20853,955,4.6,2503,15440,16.2,13841,66.4,6094,29.2,0,0,427,2,13345,64,10821,51.9,8,0,1178,5.6,10798,51.8,60,0.3,322,1.5,54,0.3,6144,29.5,10032,48.1,2,0,604,2.9,7508,36,16,0.1,11876,57,1242,6,19466,93.3,678,3.3,2258,10.8,13841,66.4,1178,5.6,1242,6
"'057850",7,9.1,77,103,6,1709,34,2,233,1206,19.3,328,19.2,251,14.7,0,0,0,0,693,40.6,799,46.8,2,0.1,85,5,758,44.4,11,0.6,0,0,1,0.1,330,19.3,910,53.2,0,0,0,0,1016,59.4,1,0.1,737,43.1,105,6.1,997,58.3,54,3.2,610,35.7,328,19.2,85,5,105,6.1
"'057851",3,25,12,0,0,101,7,6.9,28,77,36.4,20,19.8,42,41.6,0,0,2,2,41,40.6,53,52.5,0,0,0,0,41,40.6,0,0,0,0,0,0,20,19.8,48,47.5,0,0,0,0,60,59.4,0,0,45,44.6,20,19.8,101,100,1,1,10,9.9,20,19.8,0,0,20,19.8
"'057903",575,16.2,3541,975,3.9,24804,2909,11.7,3976,20386,19.5,8567,34.5,4297,17.3,417,1.5,701,2.8,16777,67.6,11933,48.1,4,0,2361,9.5,13826,55.7,83,0.3,1836,7.4,81,0.3,8277,33.4,12871,51.9,1,0,3,0,8027,32.4,13,0.1,13674,55.1,3361,13.6,22110,89.1,794,3.2,2884,11.6,8567,34.5,2361,9.5,3414,13.7
"'057904",124,17.8,695,314,4.3,7250,72,1,1022,5808,17.6,608,8.4,4781,65.9,135,1.6,162,2.2,4504,62.1,3480,48,71,1,400,5.5,1865,25.7,0,0,26,0.4,23,0.3,589,8.1,3770,52,0,0,157,2.2,2746,37.9,2,0,2895,39.9,587,8.1,4607,63.5,303,4.2,204,2.8,608,8.4,400,5.5,590,8.1
"'057905",3289,20.7,15921,7023,4.8,145105,1796,1.2,22470,124105,18.1,65437,45.1,31046,21.4,1735,1.1,5965,4.1,123479,85.1,71254,49.1,661,0.5,25472,17.6,101466,69.9,3101,2.1,8239,5.7,651,0.4,67584,46.6,73851,50.9,33,0,1400,1,21626,14.9,93,0.1,90142,62.1,14142,9.7,141234,97.3,1595,1.1,8458,5.8,65440,45.1,25472,17.6,14146,9.7
"'057906",235,24.6,957,349,4.4,7926,21,0.3,1268,6245,20.3,632,8,5876,74.1,210,2.2,160,2,5897,74.4,3755,47.4,186,2.3,491,6.2,1659,20.9,2,0,11,0.1,16,0.2,667,8.4,4171,52.6,0,0,4,0.1,2029,25.6,1,0,3529,44.5,791,10,5125,64.7,214,2.7,139,1.8,632,8,491,6.2,793,10
"'057907",246,18.9,1301,510,4.3,11742,123,1,1452,8742,16.6,2256,19.2,4720,40.2,280,2.1,267,2.3,9798,83.4,5764,49.1,92,0.8,587,5,6353,54.1,63,0.5,117,1,25,0.2,2433,20.7,5978,50.9,0,0,117,1,1944,16.6,4,0,7413,63.1,1175,10,7175,61.1,231,2,286,2.4,2256,19.2,587,5,1181,10.1
"'057909",883,15.9,5552,3860,7.2,53834,5080,9.4,6247,42474,14.7,18047,33.5,9670,18,530,0.9,3288,6.1,38092,70.8,25895,48.1,68,0.1,4644,8.6,27887,51.8,651,1.2,1484,2.8,816,1.5,18912,35.1,27939,51.9,9,0,287,0.5,15742,29.2,51,0.1,23828,44.3,5322,9.9,52288,97.1,1502,2.8,8828,16.4,18054,33.5,4645,8.6,5400,10
"'057910",436,15.4,2840,1967,7,28145,934,3.3,3905,22991,17,9379,33.3,5057,18,362,1.2,1271,4.5,20073,71.3,14167,50.3,44,0.2,1794,6.4,18577,66,735,2.6,523,1.9,115,0.4,9046,32.1,13978,49.7,4,0,361,1.3,8072,28.7,36,0.1,17949,63.8,2704,9.6,20600,73.2,611,2.2,2815,10,9381,33.2,1794,6.4,2714,9.6
"'057911",20,3.1,641,980,14.9,6598,493,7.5,725,4693,15.4,62,0.9,53,0.8,12,0.2,419,6.4,10,0.2,3247,49.2,2,0,978,14.8,393,6,2,0,0,0,25,0.4,70,1.1,3351,50.8,0,0,0,0,6588,99.8,6,0.1,478,7.2,639,9.7,0,0,214,3.2,5414,82.1,62,0.9,978,14.7,682,10.3
"'057912",387,13.6,2846,2193,6.7,32660,1099,3.4,3858,24702,15.6,15764,48.3,4106,12.6,509,1.4,1765,5.4,27225,83.4,15834,48.5,38,0.1,4741,14.5,23169,70.9,294,0.9,2248,6.9,838,2.6,14975,45.9,16826,51.5,14,0,7,0,5435,16.6,57,0.2,23665,72.5,2500,7.7,22081,67.6,361,1.1,3030,9.3,15765,48.2,4741,14.5,2512,7.7
"'057913",157,21.3,736,284,4,7175,17,0.2,1158,5397,21.5,582,8.1,5446,75.9,154,1.9,140,2,6170,86,3492,48.7,78,1.1,632,8.8,1449,20.2,300,4.2,17,0.2,28,0.4,597,8.3,3683,51.3,0,0,256,3.6,1005,14,7,0.1,4136,57.6,662,9.2,7175,100,147,2,81,1.1,582,8.1,632,8.8,662,9.2
"'057914",681,13.8,4921,3766,9.8,38455,491,1.3,5654,30531,18.5,10527,27.4,9431,24.5,648,1.5,853,2.2,30010,78,18733,48.7,157,0.4,2622,6.8,23151,60.2,531,1.4,237,0.6,268,0.7,11177,29.1,19722,51.3,7,0,23,0.1,8445,22,27,0.1,23999,62.4,4688,12.2,38450,100,812,2.1,4275,11.1,10529,27.3,2622,6.8,4756,12.3
"'057916",911,17.3,5265,3472,9.2,37700,2652,7,6441,31146,20.7,10319,27.4,8390,22.3,415,1,2983,7.9,20974,55.6,18461,49,171,0.5,3858,10.2,14369,38.1,254,0.7,3523,9.3,98,0.3,10360,27.5,19239,51,3,0,412,1.1,16726,44.4,36,0.1,19561,51.9,4865,12.9,19350,51.3,1099,2.9,11056,29.3,10320,27.3,3858,10.2,4951,13.1
"'057919",8,3.1,261,171,8.5,2020,470,23.3,74,1392,5.3,119,5.9,194,9.6,3,0.1,80,4,335,16.6,949,47,9,0.4,215,10.6,280,13.9,6,0.3,13,0.6,6,0.3,132,6.5,1071,53,0,0,64,3.2,1685,83.4,1,0,369,18.3,256,12.7,2020,100,76,3.8,993,49.2,119,5.9,215,10.6,261,12.9
"'057922",94,8.7,1079,895,6.9,13029,6918,53.1,1283,10171,12.6,1934,14.8,533,4.1,37,0.3,636,4.9,1259,9.7,6339,48.7,6,0,1878,14.4,1711,13.1,21,0.2,804,6.2,38,0.3,1772,13.6,6690,51.3,2,0,307,2.4,11770,90.3,7,0.1,3062,23.5,1095,8.4,2983,22.9,407,3.1,3415,26.2,1934,14.8,1878,14.4,1116,8.6
"'058902",0,0,13,7,4.6,151,0,0,36,136,26.5,19,12.6,1,0.7,0,0,4,2.6,107,70.9,78,51.7,2,1.3,17,11.3,99,65.6,0,0,8,5.3,0,0,19,12.6,73,48.3,3,2,1,0.7,44,29.1,0,0,53,35.1,12,7.9,151,100,5,3.3,46,30.5,19,12.6,17,11.3,12,7.9
"'058905",1,6.7,15,12,4.5,264,1,0.4,38,256,14.8,10,3.8,2,0.8,0,0,7,2.7,72,27.3,132,50,0,0,9,3.4,88,33.3,0,0,0,0,2,0.8,10,3.8,132,50,0,0,12,4.5,192,72.7,0,0,45,17,14,5.3,264,100,5,1.9,166,62.9,10,3.8,9,3.4,14,5.3
"'058906",22,8.9,247,166,9.6,1721,9,0.5,226,1690,13.4,89,5.2,61,3.5,71,3.6,158,9.2,1404,81.6,830,48.2,13,0.8,106,6.2,1429,83,30,1.7,0,0,1,0.1,92,5.3,891,51.8,3,0.2,11,0.6,317,18.4,0,0,1093,63.5,220,12.8,1721,100,8,0.5,213,12.4,89,5.1,106,6.1,227,13.1
"'058909",0,0,26,17,6.5,262,2,0.8,33,261,12.6,32,12.2,0,0,0,0,13,5,160,61.1,120,45.8,1,0.4,28,10.7,117,44.7,0,0,9,3.4,4,1.5,32,12.2,142,54.2,12,4.6,1,0.4,102,38.9,0,0,117,44.7,29,11.1,262,100,3,1.1,136,51.9,32,12.2,28,10.6,30,11.4
"'059901",53,12.9,411,180,4.7,3858,7,0.2,375,2612,14.4,830,21.5,27,0.7,50,1.2,172,4.5,3000,77.8,1897,49.2,6,0.2,118,3.1,3481,90.2,74,1.9,102,2.6,5,0.1,876,22.7,1961,50.8,254,6.6,1,0,858,22.2,2,0.1,2469,64,436,11.3,3858,100,11,0.3,325,8.4,830,21.5,118,3.1,443,11.5
"'059902",0,0,22,4,2.8,142,0,0,19,128,14.8,15,10.6,4,2.8,0,0,6,4.2,77,54.2,75,52.8,3,2.1,2,1.4,115,81,7,4.9,0,0,0,0,17,12,67,47.2,0,0,0,0,65,45.8,0,0,51,35.9,22,15.5,142,100,1,0.7,22,15.5,15,10.6,2,1.4,22,15.5
"'060902",16,18,89,108,13.4,806,3,0.4,81,625,13,19,2.4,62,7.7,4,0.5,69,8.6,508,63,406,50.4,5,0.6,93,11.5,107,13.3,12,1.5,0,0,8,1,21,2.6,400,49.6,0,0,7,0.9,298,37,0,0,308,38.2,92,11.4,806,100,42,5.2,584,72.5,19,2.4,93,11.5,92,11.4
"'060914",2,7.7,26,16,10.1,159,1,0.6,12,110,10.9,11,6.9,58,36.5,0,0,11,6.9,143,89.9,80,50.3,0,0,5,3.1,28,17.6,12,7.5,0,0,0,0,11,6.9,79,49.7,0,0,0,0,16,10.1,0,0,99,62.3,27,17,159,100,11,6.9,61,38.4,11,6.9,5,3.1,27,17
"'061802",20,31.3,64,12,1.9,633,6,0.9,231,618,37.4,248,39.2,131,20.7,0,0,10,1.6,564,89.1,327,51.7,3,0.5,0,0,354,55.9,46,7.3,0,0,1,0.2,250,39.5,306,48.3,0,0,3,0.5,69,10.9,0,0,555,87.7,64,10.1,633,100,15,2.4,126,19.9,248,39.2,0,0,64,10.1
"'061804",11,11.2,98,125,9.3,1347,425,31.6,206,1119,18.4,69,5.1,182,13.5,0,0,42,3.1,17,1.3,681,50.6,0,0,133,9.9,282,20.9,2,0.1,11,0.8,8,0.6,72,5.3,666,49.4,0,0,9,0.7,1330,98.7,0,0,216,16,109,8.1,0,0,39,2.9,411,30.5,69,5.1,133,9.9,109,8.1
"'061805",4,6.1,66,55,9.2,598,144,24.1,147,591,24.9,48,8,32,5.4,0,0,44,7.4,11,1.8,286,47.8,0,0,88,14.7,140,23.4,0,0,1,0.2,0,0,50,8.4,312,52.2,0,0,2,0.3,587,98.2,4,0.7,54,9,60,10,0,0,26,4.3,252,42.1,48,8,88,14.7,60,10
"'061901",658,16.9,3901,3261,10.8,30189,1004,3.3,4152,23684,17.5,5123,17,5583,18.5,359,1.1,1932,6.4,14442,47.8,14764,48.9,92,0.3,3101,10.3,10168,33.7,481,1.6,416,1.4,145,0.5,4830,16,15425,51.1,3,0,266,0.9,15747,52.2,53,0.2,9105,30.2,3729,12.4,9185,30.4,810,2.7,12426,41.2,5128,16.9,3101,10.2,3798,12.5
"'061902",957,11.9,8012,3709,7.5,49253,7637,15.5,5519,39863,13.8,9577,19.4,5720,11.6,527,1,2665,5.4,15464,31.4,24117,49,48,0.1,5673,11.5,15012,30.5,532,1.1,1327,2.7,185,0.4,9120,18.5,25136,51,0,0,941,1.9,33789,68.6,51,0.1,18130,36.8,7470,15.2,19864,40.3,2144,4.4,18504,37.6,9577,19.4,5674,11.5,7577,15.4
