DISTRICT,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"246902",103,9.5,1085,1,0.1,250,23,17,1.6,13,1.2,69,6.4,653,60.2,52,4.8,527,48.6,4,0.4,253,23.3,432,39.8,1,0.1,621,57.2,112,10.3,30,2.8,334,30.8,505,46.5
"246904",1116,9.5,11732,173,1.5,1841,15.7,510,4.3,139,1.1,764,6.5,4986,42.5,769,6.6,5128,43.7,35,0.3,1626,13.9,6746,57.5,11,0.1,5180,44.2,1249,10.6,437,3.7,3547,30.2,5438,46.4
"246905",47,10.6,445,2,0.4,58,13,11,2.5,0,0,19,4.3,285,64,22,4.9,202,45.4,0,0,58,13,160,36,0,0,209,47,41,9.2,7,1.6,160,36,223,50.1
"246906",698,9.2,7578,88,1.2,956,12.6,983,13,105,1.3,480,6.3,2981,39.3,325,4.3,3357,44.3,23,0.3,837,11,4597,60.7,14,0.2,3408,45,945,12.5,411,5.4,1888,24.9,2702,35.7
"246907",155,8.2,1894,20,1.1,272,14.4,93,4.9,30,1.6,97,5.1,1090,57.6,95,5,944,49.8,2,0.1,284,15,804,42.4,2,0.1,830,43.8,224,11.8,85,4.5,506,26.7,748,39.5
"246908",416,9.5,4378,47,1.1,180,4.1,60,1.4,34,0.8,184,4.2,978,22.3,208,4.8,927,21.2,9,0.2,184,4.2,3400,77.7,5,0.1,1406,32.1,389,8.9,155,3.5,1318,30.1,3175,72.5
"246909",3943,7.9,50204,8899,17.7,5533,11,4535,9,513,1,2114,4.2,13990,27.9,4895,9.8,15416,30.7,219,0.4,5142,10.2,36214,72.1,89,0.2,17121,34.1,4846,9.7,1845,3.7,13136,26.2,19201,38.2
"246911",248,7.8,3181,16,0.5,426,13.4,268,8.4,67,1.9,99,3.1,2020,63.5,196,6.2,1977,62.2,4,0.1,429,13.5,1161,36.5,10,0.3,1506,47.3,322,10.1,71,2.2,889,27.9,835,26.2
"246912",32,4.4,734,2,0.3,17,2.3,13,1.8,5,0.7,52,7.1,246,33.5,51,6.9,224,30.5,1,0.1,17,2.3,488,66.5,0,0,210,28.6,71,9.7,21,2.9,201,27.4,473,64.4
"246913",3717,9.3,39939,3384,8.5,2707,6.8,1655,4.1,428,1,1767,4.4,8107,20.3,8568,21.5,10260,25.7,105,0.3,2489,6.2,31832,79.7,56,0.1,13982,35,4728,11.8,2041,5.1,7407,18.5,22438,56.2
"246914",9,5.3,169,1,0.6,15,8.9,2,1.2,0,0,5,3,68,40.2,14,8.3,47,27.8,2,1.2,15,8.9,101,59.8,0,0,69,40.8,16,9.5,5,3,17,10.1,112,66.3
"247901",275,6.8,4049,19,0.5,295,7.3,46,1.1,133,3.1,180,4.4,2164,53.4,314,7.8,2626,64.9,14,0.3,217,5.4,1885,46.6,9,0.2,1669,41.2,363,9,60,1.5,1445,35.7,1275,31.5
"247903",345,10.2,3388,6,0.2,130,3.8,35,1,42,1.2,160,4.7,910,26.9,181,5.3,1037,30.6,14,0.4,110,3.2,2478,73.1,0,0,1161,34.3,343,10.1,67,2,1260,37.2,2229,65.8
"247904",47,5.6,833,0,0,56,6.7,4,0.5,3,0.3,20,2.4,308,37,75,9,389,46.7,2,0.2,60,7.2,525,63,0,0,258,31,97,11.6,9,1.1,237,28.5,429,51.5
"247906",98,11.9,824,0,0,37,4.5,6,0.7,14,1.6,63,7.6,481,58.4,83,10.1,403,48.9,2,0.2,37,4.5,343,41.6,0,0,364,44.2,124,15,7,0.8,222,26.9,406,49.3
"248901",56,3.8,1471,11,0.7,279,19,18,1.2,30,1.9,27,1.8,1065,72.4,38,2.6,1181,80.3,6,0.4,308,20.9,406,27.6,0,0,963,65.5,118,8,7,0.5,355,24.1,248,16.9
"248902",7,1.5,460,0,0,15,3.3,8,1.7,5,1,0,0,190,41.3,23,5,214,46.5,2,0.4,19,4.1,270,58.7,0,0,128,27.8,34,7.4,5,1.1,194,42.2,231,50.2
"249901",96,13.2,725,1,0.1,25,3.4,1,0.1,2,0.3,68,9.4,286,39.4,50,6.9,88,12.1,3,0.4,25,3.4,439,60.6,0,0,321,44.3,81,11.2,8,1.1,229,31.6,624,86.1
"249902",174,13,1338,3,0.2,52,3.9,9,0.7,21,1.4,54,4,628,46.9,60,4.5,225,16.8,15,1.1,60,4.5,710,53.1,1,0.1,563,42.1,88,6.6,32,2.4,466,34.8,1053,78.7
"249903",168,8.1,2074,1,0,695,33.5,14,0.7,54,2.4,86,4.1,1395,67.3,89,4.3,1075,51.8,13,0.6,540,26,679,32.7,1,0,1032,49.8,207,10,37,1.8,491,23.7,933,45
"249904",72,11.9,603,0,0,54,9,7,1.2,2,0.3,23,3.8,411,68.2,49,8.1,164,27.2,5,0.8,54,9,192,31.8,0,0,158,26.2,56,9.3,27,4.5,184,30.5,400,66.3
"249905",277,8.1,3402,27,0.8,546,16,36,1.1,35,1,236,6.9,1637,48.1,305,9,1144,33.6,25,0.7,492,14.5,1765,51.9,2,0.1,1495,43.9,383,11.3,65,1.9,920,27,2103,61.8
"249906",129,10.4,1235,0,0,37,3,8,0.6,7,0.6,86,7,408,33,122,9.9,156,12.6,5,0.4,37,3,827,67,0,0,381,30.9,130,10.5,17,1.4,413,33.4,1049,84.9
"249908",17,6.3,270,1,0.4,34,12.6,1,0.4,2,0.7,4,1.5,140,51.9,18,6.7,81,30,0,0,34,12.6,130,48.1,0,0,79,29.3,18,6.7,3,1.1,68,25.2,184,68.1
"250902",73,10.2,713,0,0,11,1.5,70,9.8,11,1.4,43,6,466,65.4,60,8.4,47,6.6,0,0,11,1.5,247,34.6,3,0.4,391,54.8,92,12.9,30,4.2,225,31.6,563,79
"250903",117,7.2,1634,22,1.3,174,10.6,101,6.2,27,1.5,42,2.6,1025,62.7,54,3.3,542,33.2,10,0.6,188,11.5,609,37.3,0,0,770,47.1,153,9.4,70,4.3,484,29.6,889,54.4
"250904",94,8.4,1121,3,0.3,51,4.5,29,2.6,16,1.3,66,5.9,687,61.3,65,5.8,169,15.1,5,0.4,52,4.6,434,38.7,2,0.2,444,39.6,130,11.6,31,2.8,388,34.6,882,78.7
"250905",36,9.5,377,0,0,47,12.5,0,0,5,1.1,17,4.5,268,71.1,20,5.3,124,32.9,2,0.5,48,12.7,109,28.9,0,0,100,26.5,35,9.3,9,2.4,105,27.9,242,64.2
"250906",92,10.2,899,3,0.3,13,1.4,1,0.1,18,1.9,59,6.6,505,56.2,44,4.9,82,9.1,3,0.3,16,1.8,394,43.8,4,0.4,359,39.9,119,13.2,16,1.8,303,33.7,790,87.9
"250907",182,12.2,1490,13,0.9,115,7.7,37,2.5,7,0.4,112,7.5,813,54.6,62,4.2,257,17.2,7,0.5,116,7.8,677,45.4,1,0.1,600,40.3,164,11,43,2.9,409,27.4,1132,76
"251901",92,5.4,1695,11,0.6,302,17.8,11,0.6,26,1.5,31,1.8,902,53.2,74,4.4,1389,81.9,4,0.2,312,18.4,793,46.8,0,0,892,52.6,115,6.8,11,0.6,516,30.4,269,15.9
"251902",30,6.3,475,0,0,72,15.2,0,0,0,0,15,3.2,315,66.3,36,7.6,313,65.9,2,0.4,72,15.2,160,33.7,0,0,262,55.2,34,7.2,2,0.4,159,33.5,158,33.3
"252901",298,12.6,2373,11,0.5,240,10.1,22,0.9,57,2.2,185,7.8,1369,57.7,47,2,707,29.8,16,0.7,273,11.5,1004,42.3,1,0,1179,49.7,268,11.3,40,1.7,797,33.6,1576,66.4
"252902",38,18.5,205,0,0,4,2,0,0,1,0.4,23,11.2,128,62.4,6,2.9,43,21,0,0,4,2,77,37.6,0,0,98,47.8,19,9.3,4,2,85,41.5,158,77.1
"252903",110,16.2,677,4,0.6,33,4.9,15,2.2,25,3.4,82,12.1,463,68.4,28,4.1,264,39,3,0.4,33,4.9,214,31.6,1,0.1,251,37.1,86,12.7,20,3,219,32.3,370,54.7
"253901",374,10.7,3509,4,0.1,1037,29.6,1,0,58,1.6,184,5.2,2976,84.8,247,7,3479,99.1,0,0,1066,30.4,533,15.2,0,0,2313,65.9,374,10.7,2,0.1,1047,29.8,23,0.7
"254901",213,11.1,1923,4,0.2,43,2.2,12,0.6,34,1.6,113,5.9,1622,84.3,125,6.5,1890,98.3,8,0.4,49,2.5,301,15.7,0,0,1215,63.2,215,11.2,2,0.1,442,23,7,0.4
"254902",34,6.8,503,0,0,26,5.2,0,0,4,0.8,17,3.4,419,83.3,21,4.2,490,97.4,0,0,28,5.6,84,16.7,0,0,309,61.4,58,11.5,0,0,151,30,13,2.6
