DISTRICT,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"242902",29,8,364,3,0.8,18,4.9,15,4.1,10,2.2,18,4.9,233,64,6,1.6,113,31,5,1.4,18,4.9,131,36,0,0,148,40.7,49,13.5,27,7.4,114,31.3,201,55.2
"242903",10,2.1,466,0,0,90,19.3,2,0.4,1,0.2,13,2.8,244,52.4,1,0.2,270,57.9,4,0.9,90,19.3,222,47.6,0,0,219,47,47,10.1,6,1.3,154,33,184,39.5
"242905",8,8.9,90,3,3.3,9,10,1,1.1,0,0,7,7.8,44,48.9,0,0,34,37.8,0,0,9,10,46,51.1,0,0,25,27.8,11,12.2,2,2.2,28,31.1,50,55.6
"242906",2,1.5,136,0,0,1,0.7,0,0,0,0,1,0.7,44,32.4,1,0.7,17,12.5,0,0,1,0.7,92,67.6,0,0,44,32.4,12,8.8,4,2.9,50,36.8,115,84.6
"243901",256,7.9,3224,33,1,47,1.5,202,6.3,60,1.7,159,4.9,1576,48.9,205,6.4,587,18.2,21,0.7,47,1.5,1648,51.1,7,0.2,1354,42,409,12.7,280,8.7,950,29.5,2094,65
"243902",42,10,419,2,0.5,5,1.2,23,5.5,12,2.5,15,3.6,283,67.5,20,4.8,66,15.8,2,0.5,5,1.2,136,32.5,1,0.2,300,71.6,49,11.7,21,5,81,19.3,304,72.6
"243903",225,11.8,1913,12,0.6,10,0.5,9,0.5,29,1.5,144,7.5,816,42.7,133,7,232,12.1,12,0.6,10,0.5,1097,57.3,1,0.1,788,41.2,215,11.2,71,3.7,487,25.5,1576,82.4
"243905",1264,9,14071,331,2.4,1177,8.4,1940,13.8,300,2,625,4.4,9300,66.1,748,5.3,5104,36.3,79,0.6,1219,8.7,4771,33.9,13,0.1,7818,55.6,1653,11.7,848,6,3295,23.4,5756,40.9
"243906",68,6.4,1062,14,1.3,26,2.4,106,10,23,1.9,26,2.4,786,74,69,6.5,319,30,13,1.2,26,2.4,276,26,1,0.1,601,56.6,131,12.3,78,7.3,358,33.7,531,50
"244901",1,0.9,107,2,1.9,0,0,0,0,0,0,1,0.9,67,62.6,13,12.1,37,34.6,1,0.9,0,0,40,37.4,0,0,30,28,13,12.1,1,0.9,29,27.1,66,61.7
"244903",107,5.5,1950,104,5.3,225,11.5,188,9.6,68,3.1,54,2.8,1323,67.8,90,4.6,818,41.9,13,0.7,227,11.6,627,32.2,8,0.4,1048,53.7,262,13.4,63,3.2,457,23.4,756,38.8
"244905",9,4.1,222,3,1.4,1,0.5,6,2.7,0,0,8,3.6,91,41,18,8.1,68,30.6,3,1.4,1,0.5,131,59,0,0,46,20.7,20,9,10,4.5,61,27.5,132,59.5
"245901",11,3,368,0,0,55,14.9,0,0,6,1.4,0,0,294,79.9,45,12.2,364,98.9,3,0.8,56,15.2,74,20.1,0,0,125,34,32,8.7,0,0,107,29.1,1,0.3
"245902",118,8,1474,3,0.2,121,8.2,4,0.3,34,2,42,2.8,1222,82.9,123,8.3,1433,97.2,2,0.1,125,8.5,252,17.1,0,0,773,52.4,119,8.1,1,0.1,492,33.4,31,2.1
"245903",61,3,2050,2,0.1,147,7.2,2,0.1,68,3,7,0.3,1837,89.6,152,7.4,2014,98.2,0,0,167,8.1,213,10.4,0,0,1126,54.9,208,10.1,6,0.3,511,24.9,26,1.3
"245904",5,1.9,269,0,0,28,10.4,1,0.4,9,3.1,0,0,229,85.1,7,2.6,248,92.2,0,0,30,11.2,40,14.9,0,0,93,34.6,25,9.3,0,0,95,35.3,20,7.4
"246801",177,10.7,1648,368,22.3,81,4.9,128,7.8,0,0,86,5.2,192,11.7,0,0,312,18.9,10,0.6,87,5.3,1456,88.3,8,0.5,198,12,163,9.9,86,5.2,43,2.6,736,44.7
"246802",0,0,349,19,5.4,15,4.3,13,3.7,0,0,4,1.1,102,29.2,5,1.4,98,28.1,0,0,17,4.9,247,70.8,0,0,37,10.6,26,7.4,30,8.6,0,0,189,54.2
