DISTRICT,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTG9XC,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP,DPNTVHSC,DPNTVHSP
"031916",167,4,4126,338,8.2,225,5.5,37,0.9,71,1.7,43,1,2250,54.5,2267,54.9,3,0.1,2978,648,15.7,3475,84.2,12,0.3,0,0,4,0.1,233,5.6,1859,45.1,37,0.9,15,0.4,1876,45.5,1,0,879,21.3,125,3,4126,100,29,0.7,2955,99.2,3515,85.2,242,5.9,225,5.5,2978,648,15.7,125,3,2955,99.2
"032902",267,11,2436,24,1,375,15.4,422,17.3,59,2.3,68,2.8,1876,77,1170,48,9,0.4,705,108,4.4,1002,41.1,10,0.4,17,0.7,4,0.2,381,15.6,1266,52,6,0.2,22,0.9,560,23,0,0,997,40.9,262,10.8,2436,100,79,3.2,583,82.7,760,31.2,905,37.2,375,15.4,706,108,4.4,265,10.9,584,82.7
"033901",20,12.8,156,0,0,2,1.3,2,1.3,0,0,16,10.3,50,32.1,74,47.4,2,1.3,48,6,3.8,15,9.6,1,0.6,0,0,1,0.6,2,1.3,82,52.6,0,0,0,0,106,67.9,0,0,35,22.4,24,15.4,151,96.8,1,0.6,43,89.6,63,40.4,137,87.8,2,1.3,48,6,3.8,24,15.4,43,89.6
"033902",93,13.9,668,2,0.3,6,0.9,4,0.6,2,0.3,93,13.9,178,26.6,322,48.2,9,1.3,212,67,10,51,7.6,17,2.5,0,0,4,0.6,6,0.9,346,51.8,0,0,3,0.4,490,73.4,0,0,215,32.2,84,12.6,306,45.8,8,1.2,203,95.8,224,33.5,599,89.7,6,0.9,212,67,10,85,12.7,203,95.8
"033904",27,7.4,363,2,0.6,14,3.9,0,0,10,2.6,28,7.7,166,45.7,174,47.9,2,0.6,99,31,8.5,60,16.5,10,2.8,0,0,1,0.3,16,4.4,189,52.1,0,0,1,0.3,197,54.3,0,0,122,33.6,39,10.7,363,100,3,0.8,99,100,110,30.3,297,81.8,14,3.9,99,31,8.5,39,10.7,99,100
"034901",178,9.8,1824,14,0.8,33,1.8,591,32.4,40,2.1,130,7.1,1208,66.2,875,48,21,1.2,483,163,8.9,147,8.1,69,3.8,0,0,6,0.3,33,1.8,949,52,0,0,25,1.4,616,33.8,1,0.1,663,36.3,236,12.9,1824,100,98,5.4,426,88.2,633,34.7,967,53,33,1.8,485,163,8.9,238,13,426,87.8
"034902",12,8.3,144,1,0.7,2,1.4,22,15.3,1,0.6,5,3.5,113,78.5,65,45.1,0,0,39,2,1.4,13,9,6,4.2,0,0,5,3.5,2,1.4,79,54.9,0,0,0,0,31,21.5,1,0.7,14,9.7,13,9,144,100,11,7.6,28,71.8,67,46.5,91,63.2,2,1.4,39,2,1.4,13,9,28,71.8
"034903",196,16.1,1218,6,0.5,47,3.9,134,11,10,0.8,132,10.8,732,60.1,595,48.9,1,0.1,331,52,4.3,161,13.2,16,1.3,1,0.1,3,0.2,51,4.2,623,51.1,0,0,1,0.1,486,39.9,1,0.1,604,49.6,130,10.7,1218,100,47,3.9,297,89.7,434,35.6,866,71.1,47,3.9,331,52,4.3,130,10.7,297,89.7
"034905",86,13.1,656,4,0.6,29,4.4,116,17.7,2,0.3,49,7.5,427,65.1,324,49.4,0,0,211,49,7.5,54,8.2,0,0,0,0,1,0.2,29,4.4,332,50.6,0,0,2,0.3,229,34.9,0,0,250,38.1,78,11.9,656,100,39,5.9,197,93.4,246,37.5,442,67.4,29,4.4,211,49,7.5,78,11.9,197,93.4
"034906",51,13.1,390,0,0,0,0,7,1.8,2,0.5,50,12.8,174,44.6,199,51,0,0,124,26,6.7,10,2.6,7,1.8,0,0,2,0.5,0,0,191,49,0,0,0,0,216,55.4,0,0,197,50.5,49,12.6,390,100,14,3.6,102,82.3,129,33.1,357,91.5,0,0,124,26,6.6,50,12.8,102,82.3
