DISTRICT,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTG9XC,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP,DPNTVHSC,DPNTVHSP
"066005",1,2.6,38,0,0,9,23.7,0,0,0,0,1,2.6,36,94.7,19,50,0,0,0,1,2.6,37,97.4,0,0,0,0,0,0,9,23.7,19,50,1,2.6,0,0,2,5.3,0,0,32,84.2,4,10.5,38,100,0,0,0,0,0,0,1,2.6,9,23.7,0,1,2.6,4,10.5,0,.
"066901",4,1.4,293,1,0.3,13,4.4,0,0,5,1.5,2,0.7,247,84.3,146,49.8,0,0,101,18,6.1,290,99,0,0,0,0,0,0,13,4.4,147,50.2,5,1.7,0,0,46,15.7,0,0,144,49.1,41,14,293,100,0,0,44,43.6,151,51.5,2,0.7,13,4.4,101,18,6.1,41,14,44,43.6
"066902",103,6.7,1529,2,0.1,11,0.7,3,0.2,50,3.1,48,3.1,1269,83,738,48.3,1,0.1,382,94,6.1,1509,98.7,9,0.6,0,0,0,0,14,0.9,791,51.7,2,0.1,6,0.4,260,17,0,0,893,58.4,182,11.9,1528,99.9,0,0,337,88.2,559,36.6,15,1,11,0.7,382,94,6.1,182,11.9,337,88.2
"066903",37,4.7,786,2,0.3,30,3.8,2,0.3,6,0.7,35,4.5,561,71.4,379,48.2,0,0,222,57,7.3,724,92.1,0,0,0,0,1,0.1,33,4.2,407,51.8,1,0.1,2,0.3,225,28.6,0,0,428,54.5,108,13.7,786,100,2,0.3,179,80.6,261,33.2,55,7,30,3.8,222,57,7.2,110,13.9,179,80.6
"067902",65,7.7,840,8,1,10,1.2,16,1.9,16,1.7,59,7,506,60.2,419,49.9,7,0.8,224,37,4.4,154,18.3,56,6.7,0,0,6,0.7,10,1.2,421,50.1,0,0,43,5.1,334,39.8,0,0,270,32.1,119,14.2,634,75.5,14,1.7,217,96.9,221,26.3,642,76.4,10,1.2,224,37,4.4,124,14.7,217,96.9
"067903",110,9.8,1118,9,0.8,80,7.2,12,1.1,16,1.3,70,6.3,623,55.7,558,49.9,1,0.1,339,68,6.1,306,27.4,48,4.3,0,0,0,0,84,7.5,560,50.1,0,0,1,0.1,495,44.3,0,0,562,50.3,115,10.3,791,70.8,16,1.4,234,69,306,27.4,775,69.3,80,7.1,339,68,6.1,117,10.4,234,69
"067904",30,9.9,304,0,0,20,6.6,1,0.3,0,0,30,9.9,216,71.1,153,50.3,0,0,90,12,3.9,113,37.2,39,12.8,0,0,0,0,21,6.9,151,49.7,0,0,0,0,88,28.9,0,0,155,51,47,15.5,175,57.6,6,2,73,81.1,118,38.8,184,60.5,20,6.6,90,12,3.9,47,15.5,73,81.1
"067907",55,15,367,2,0.5,14,3.8,9,2.5,5,1.2,41,11.2,273,74.4,174,47.4,7,1.9,114,23,6.3,86,23.4,1,0.3,0,0,6,1.6,14,3.8,193,52.6,0,0,0,0,94,25.6,0,0,186,50.7,68,18.5,172,46.9,3,0.8,113,99.1,127,34.6,261,71.1,14,3.8,115,23,6.3,68,18.5,113,98.3
"067908",12,7.2,167,1,0.6,11,6.6,4,2.4,0,0,8,4.8,118,70.7,89,53.3,4,2.4,53,2,1.2,37,22.2,0,0,0,0,0,0,11,6.6,78,46.7,3,1.8,2,1.2,49,29.3,0,0,65,38.9,17,10.2,90,53.9,4,2.4,53,100,64,38.3,121,72.5,11,6.6,53,2,1.2,17,10.2,53,100
"068802",42,3.4,1234,4,0.3,3,0.2,24,1.9,0,0,65,5.3,146,11.8,618,50.1,1,0.1,157,12,1,450,36.5,0,0,0,0,5,0.4,3,0.2,616,49.9,0,0,0,0,1088,88.2,1,0.1,67,5.4,106,8.6,30,2.4,16,1.3,0,0,49,4,734,59.5,3,0.2,157,12,1,106,8.6,0,0
"068803",43,5.6,769,9,1.2,21,2.7,9,1.2,0,0,29,3.8,79,10.3,352,45.8,0,0,163,50,6.5,360,46.8,11,1.4,0,0,4,0.5,21,2.7,417,54.2,0,0,1,0.1,690,89.7,1,0.1,310,40.3,44,5.7,239,31.1,20,2.6,160,98.2,379,49.3,366,47.6,21,2.7,163,50,6.5,44,5.7,160,98.2
"068901",249,0.7,33707,302,0.9,7005,20.8,1298,3.9,867,2.4,1032,3.1,18584,55.1,16434,48.8,194,0.6,8647,2877,8.5,26022,77.2,1717,5.1,476,1.4,78,0.2,6960,20.6,17273,51.2,12,0,385,1.1,15123,44.9,99,0.3,20312,60.3,3052,9.1,23946,71,387,1.1,4397,50.9,8470,25.1,5521,16.4,7013,20.7,8731,2877,8.5,3084,9.1,4410,50.5
"069901",23,7.7,297,0,0,25,8.4,0,0,7,2.1,15,5.1,193,65,124,41.8,4,1.3,82,18,6.1,234,78.8,0,0,0,0,0,0,25,8.4,173,58.2,0,0,0,0,104,35,0,0,168,56.6,46,15.5,297,100,0,0,63,76.8,121,40.7,63,21.2,25,8.3,82,18,6,49,16.3,63,76.8
"069902",9,3.2,283,0,0,4,1.4,1,0.4,0,0,9,3.2,197,69.6,147,51.9,0,0,72,14,4.9,113,39.9,0,0,0,0,0,0,4,1.4,136,48.1,0,0,0,0,86,30.4,0,0,70,24.7,38,13.4,169,59.7,6,2.1,61,84.7,82,29,163,57.6,4,1.4,72,14,4.9,38,13.4,61,84.7
"070801",26,1,2666,0,0,1692,63.5,747,28,0,0,18,0.7,2622,98.3,1359,51,5,0.2,602,78,2.9,1770,66.4,31,1.2,84,3.2,3,0.1,1409,52.9,1307,49,3,0.1,4,0.2,44,1.7,0,0,2136,80.1,187,7,2664,99.9,26,1,77,12.8,530,19.9,120,4.5,1692,63.5,602,78,2.9,187,7,77,12.8
"070901",21,5.8,359,1,0.3,17,4.7,5,1.4,1,0.3,21,5.8,250,69.6,195,54.3,0,0,80,32,8.9,138,38.4,1,0.3,4,1.1,0,0,17,4.7,164,45.7,2,0.6,0,0,109,30.4,0,0,114,31.8,55,15.3,359,100,5,1.4,80,100,96,26.7,210,58.5,17,4.7,80,32,8.9,55,15.3,80,100
"070903",634,10.7,5899,23,0.4,897,15.2,753,12.8,149,2.4,433,7.3,4099,69.5,2823,47.9,1,0,1722,454,7.7,3280,55.6,180,3.1,54,0.9,9,0.2,903,15.3,3076,52.1,3,0.1,1,0,1800,30.5,24,0.4,2625,44.5,649,11,5892,99.9,88,1.5,1026,59.6,1853,31.4,1722,29.2,900,15.2,1729,454,7.6,665,11.2,1029,59.5
"070905",97,3.6,2675,14,0.5,820,30.7,171,6.4,77,2.7,65,2.4,2179,81.5,1354,50.6,3,0.1,765,150,5.6,1908,71.3,98,3.7,11,0.4,11,0.4,872,32.6,1321,49.4,3,0.1,15,0.6,496,18.5,3,0.1,1883,70.4,344,12.9,1279,47.8,38,1.4,437,57.1,845,31.6,530,19.8,821,30.6,766,150,5.6,348,13,438,57.2
"070907",67,10.5,640,0,0,53,8.3,83,13,4,0.6,42,6.6,402,62.8,322,50.3,0,0,187,21,3.3,212,33.1,2,0.3,0,0,2,0.3,53,8.3,318,49.7,0,0,0,0,238,37.2,0,0,263,41.1,85,13.3,640,100,16,2.5,178,95.2,220,34.4,327,51.1,53,8.3,187,21,3.3,85,13.3,178,95.2
"070908",934,9.6,9754,102,1,359,3.7,791,8.1,77,0.8,665,6.8,2426,24.9,4723,48.4,25,0.3,3021,572,5.9,2190,22.5,15,0.2,37,0.4,38,0.4,364,3.7,5031,51.6,0,0,163,1.7,7328,75.1,2,0,3137,32.2,1165,11.9,1230,12.6,487,5,1301,43.1,3053,31.3,6144,63,359,3.7,3021,572,5.8,1194,12.2,1301,43.1
"070909",16,6.5,246,0,0,38,15.4,54,22,12,3.9,11,4.5,162,65.9,109,44.3,0,0,73,9,3.7,95,38.6,0,0,0,0,0,0,38,15.4,137,55.7,2,0.8,7,2.8,84,34.1,0,0,161,65.4,37,15,246,100,15,6.1,18,24.7,64,26,82,33.3,38,15.4,73,9,3.7,37,15,18,24.7
"070910",89,7,1265,5,0.4,141,11.1,20,1.6,20,1.5,69,5.5,663,52.4,625,49.4,7,0.6,326,45,3.6,549,43.4,2,0.2,0,0,2,0.2,145,11.5,640,50.6,0,0,6,0.5,602,47.6,1,0.1,543,42.9,220,17.4,515,40.7,25,2,320,98.2,341,27,663,52.4,141,11.1,326,45,3.6,221,17.5,320,98.2
"070911",537,8.9,6054,47,0.8,658,10.9,1598,26.4,209,3.3,404,6.7,2904,48,2893,47.8,74,1.2,1960,467,7.7,2256,37.3,64,1.1,0,0,24,0.4,732,12.1,3161,52.2,0,0,31,0.5,3150,52,2,0,2973,49.1,719,11.9,2596,42.9,195,3.2,1304,66.5,2308,38.1,1932,31.9,658,10.8,1961,467,7.7,732,12.1,1304,66.5
"070912",1009,10.7,9468,49,0.5,878,9.3,1273,13.4,244,2.6,642,6.8,4397,46.4,4479,47.3,73,0.8,2882,697,7.4,3203,33.8,48,0.5,23,0.2,77,0.8,822,8.7,4989,52.7,2,0,190,2,5071,53.6,22,0.2,4652,49.1,1343,14.2,7619,80.5,310,3.3,2498,86.7,2906,30.7,4534,47.9,878,9.3,2882,697,7.4,1356,14.3,2498,86.7
"070915",110,9.7,1136,4,0.4,64,5.6,22,1.9,12,1,65,5.7,439,38.6,500,44,2,0.2,373,54,4.8,226,19.9,8,0.7,7,0.6,4,0.4,64,5.6,636,56,0,0,26,2.3,697,61.4,2,0.2,407,35.8,89,7.8,703,61.9,21,1.8,249,66.8,338,29.8,857,75.4,64,5.6,373,54,4.7,90,7.9,249,66.8
"071801",46,4.3,1079,5,0.5,438,40.6,22,2,0,0,16,1.5,595,55.1,518,48,0,0,189,0,0,951,88.1,0,0,20,1.9,3,0.3,403,37.3,561,52,12,1.1,33,3.1,484,44.9,0,0,584,54.1,62,5.7,1078,99.9,11,1,177,93.7,251,23.3,87,8.1,438,40.6,189,0,0,62,5.7,177,93.7
"071803",8,4.1,194,0,0,47,24.2,0,0,0,0,0,0,179,92.3,97,50,0,0,194,0,0,192,99,0,0,0,0,0,0,50,25.8,97,50,1,0.5,4,2.1,15,7.7,0,0,158,81.4,19,9.8,194,100,0,0,7,3.6,39,20.1,2,1,47,24.2,194,0,0,19,9.8,7,3.6
"071804",31,9,346,2,0.6,25,7.2,1,0.3,0,0,5,1.4,265,76.6,158,45.7,1,0.3,346,0,0,330,95.4,3,0.9,0,0,1,0.3,27,7.8,188,54.3,1,0.3,4,1.2,81,23.4,0,0,314,90.8,32,9.2,346,100,1,0.3,0,0,108,31.2,11,3.2,25,7.2,346,0,0,32,9.2,0,0
"071806",167,4.6,3669,28,0.8,835,22.8,204,5.6,0,0,80,2.2,2693,73.4,1735,47.3,2,0.1,655,410,11.2,3047,83,2,0.1,5,0.1,4,0.1,902,24.6,1934,52.7,6,0.2,0,0,976,26.6,2,0.1,1352,36.8,372,10.1,3669,100,51,1.4,195,29.8,1004,27.4,333,9.1,835,22.8,656,410,11.2,372,10.1,195,29.7
"071807",2,0.9,217,0,0,215,99.1,0,0,0,0,0,0,211,97.2,107,49.3,0,0,0,0,0,212,97.7,0,0,0,0,0,0,180,82.9,110,50.7,2,0.9,0,0,6,2.8,0,0,182,83.9,6,2.8,217,100,0,0,0,0,0,0,5,2.3,215,99.1,0,0,0,6,2.8,0,.
"071809",22,7.5,293,4,1.4,107,36.5,7,2.4,0,0,2,0.7,195,66.6,140,47.8,0,0,0,0,0,255,87,0,0,1,0.3,0,0,120,41,153,52.2,0,0,20,6.8,98,33.4,0,0,169,57.7,15,5.1,293,100,4,1.4,0,0,0,0,23,7.8,107,36.5,0,0,0,15,5.1,0,.
"071810",7,3.2,217,0,0,121,55.8,1,0.5,0,0,11,5.1,199,91.7,96,44.2,0,0,0,10,4.6,209,96.3,0,0,28,12.9,0,0,126,58.1,121,55.8,0,0,6,2.8,18,8.3,0,0,138,63.6,17,7.8,216,99.5,0,0,0,0,0,0,7,3.2,121,55.8,0,10,4.6,17,7.8,0,.
"071901",263,2.3,11195,11,0.1,3869,34.6,35,0.3,148,1.2,78,0.7,9661,86.3,5463,48.8,10,0.1,3404,509,4.5,10641,95.1,159,1.4,136,1.2,39,0.3,4395,39.3,5732,51.2,47,0.4,284,2.5,1534,13.7,6,0.1,6991,62.4,1122,10,11195,100,69,0.6,1342,39.4,3291,29.4,394,3.5,3885,34.6,3427,509,4.5,1127,10,1343,39.2
"071902",2783,5,55112,685,1.2,20761,37.7,1840,3.3,1297,2.1,1277,2.3,40738,73.9,27030,49,48,0.1,18219,7311,13.3,46002,83.5,547,1,627,1.1,100,0.2,17590,31.9,28082,51,267,0.5,5351,9.7,14374,26.1,215,0.4,32496,59,6327,11.5,52436,95.1,1052,1.9,3555,19.5,16459,29.9,5218,9.5,20775,37.6,18239,7311,13.2,6411,11.6,3555,19.5
"071903",158,7.4,2142,0,0,798,37.3,0,0,39,1.6,62,2.9,1932,90.2,1049,49,0,0,703,105,4.9,2130,99.4,44,2.1,53,2.5,0,0,977,45.6,1093,51,119,5.6,53,2.5,210,9.8,0,0,1457,68,276,12.9,2142,100,0,0,326,46.4,518,24.2,12,0.6,798,37.2,705,105,4.9,279,13,326,46.2
"071904",168,4.9,3434,0,0,1637,47.7,1,0,108,2.8,42,1.2,3162,92.1,1668,48.6,1,0,1015,203,5.9,3414,99.4,74,2.2,65,1.9,1,0,1905,55.5,1766,51.4,38,1.1,7,0.2,272,7.9,0,0,2562,74.6,419,12.2,3434,100,0,0,287,28.3,1143,33.3,18,0.5,1638,47.7,1016,203,5.9,420,12.2,287,28.2
"071905",2616,6.5,40404,105,0.3,11402,28.2,575,1.4,560,1.3,1163,2.9,31655,78.3,19772,48.9,95,0.2,12717,2898,7.2,38272,94.7,466,1.2,362,0.9,57,0.1,11604,28.7,20632,51.1,85,0.2,1925,4.8,8749,21.7,61,0.2,22545,55.8,5569,13.8,40239,99.6,96,0.2,10514,82.7,13645,33.8,1238,3.1,11403,28.2,12718,2898,7.2,5580,13.8,10515,82.7
"071906",44,5.2,843,1,0.1,173,20.5,1,0.1,8,0.9,18,2.1,633,75.1,403,47.8,1,0.1,239,73,8.7,817,96.9,6,0.7,15,1.8,0,0,214,25.4,440,52.2,37,4.4,7,0.8,210,24.9,0,0,360,42.7,89,10.6,841,99.8,6,0.7,30,12.6,177,21,18,2.1,173,20.5,239,73,8.7,89,10.6,30,12.6
"071907",348,5.6,6239,29,0.5,2192,35.1,69,1.1,127,1.9,100,1.6,3987,63.9,2997,48,4,0.1,1881,667,10.7,5810,93.1,112,1.8,57,0.9,5,0.1,1962,31.4,3242,52,85,1.4,284,4.6,2252,36.1,1,0,3566,57.2,630,10.1,6239,100,36,0.6,1640,87.2,2450,39.3,289,4.6,2192,35,1881,667,10.7,635,10.2,1640,87.2
"071908",21,2.1,1000,0,0,392,39.2,0,0,30,2.7,3,0.3,935,93.5,510,51,1,0.1,330,45,4.5,998,99.8,15,1.5,12,1.2,0,0,554,55.4,490,49,40,4,3,0.3,65,6.5,0,0,758,75.8,72,7.2,1000,100,0,0,311,94.2,406,40.6,2,0.2,393,39.2,332,45,4.5,72,7.2,311,93.7
"071909",2164,4.6,47397,278,0.6,12281,25.9,1142,2.4,579,1.2,488,1,34860,73.5,23166,48.9,104,0.2,15251,3178,6.7,43600,92,157,0.3,643,1.4,81,0.2,11853,25,24231,51.1,55,0.1,3726,7.9,12537,26.5,105,0.2,23164,48.9,5342,11.3,47397,100,378,0.8,7320,48,18537,39.1,1813,3.8,12293,25.8,15320,3184,6.7,5437,11.4,7340,47.9
"072801",576,10.8,5345,42,0.8,804,15,596,11.2,0,0,162,3,2999,56.1,2913,54.5,36,0.7,5299,0,0,2860,53.5,82,1.5,0,0,24,0.4,825,15.4,2432,45.5,8,0.1,57,1.1,2346,43.9,6,0.1,4889,91.5,744,13.9,3954,74,132,2.5,114,2.2,1583,29.6,1685,31.5,806,15,5319,0,0,744,13.9,115,2.2
"072802",13,11.4,114,0,0,4,3.5,2,1.8,0,0,7,6.1,114,100,52,45.6,1,0.9,108,0,0,62,54.4,0,0,0,0,0,0,4,3.5,62,54.4,0,0,0,0,0,0,0,0,104,91.2,8,7,114,100,1,0.9,39,36.1,67,58.8,49,43,4,3.5,108,0,0,8,7,39,36.1
"072901",6,3.2,186,1,0.5,29,15.6,2,1.1,0,0,2,1.1,141,75.8,90,48.4,0,0,38,8,4.3,90,48.4,0,0,1,0.5,0,0,29,15.6,96,51.6,7,3.8,12,6.5,45,24.2,0,0,29,15.6,3,1.6,186,100,3,1.6,38,100,52,28,90,48.4,29,15.6,38,8,4.3,3,1.6,38,100
"072902",76,6.8,1124,4,0.4,215,19.1,5,0.4,24,1.9,73,6.5,809,72,538,47.9,0,0,309,101,9,672,59.8,0,0,6,0.5,3,0.3,216,19.2,586,52.1,11,1,2,0.2,315,28,0,0,425,37.8,84,7.5,1124,100,18,1.6,206,66.7,302,26.9,422,37.5,215,19.1,309,101,9,85,7.5,206,66.7
"072903",220,5.7,3834,48,1.3,452,11.8,53,1.4,43,1.1,189,4.9,1900,49.6,1899,49.5,32,0.8,1060,261,6.8,1349,35.2,36,0.9,28,0.7,11,0.3,474,12.4,1935,50.5,16,0.4,66,1.7,1934,50.4,0,0,1432,37.4,407,10.6,2781,72.5,99,2.6,941,88.8,1144,29.8,2274,59.3,452,11.8,1061,261,6.8,414,10.8,941,88.7
"072904",46,20,230,0,0,1,0.4,1,0.4,0,0,36,15.7,81,35.2,108,47,1,0.4,54,16,7,18,7.8,0,0,0,0,3,1.3,1,0.4,122,53,0,0,13,5.7,149,64.8,0,0,55,23.9,15,6.5,228,99.1,6,2.6,49,90.7,63,27.4,202,87.8,1,0.4,54,16,6.9,17,7.3,49,90.7
"072908",6,2.4,255,1,0.4,2,0.8,0,0,0,0,6,2.4,53,20.8,129,50.6,0,0,47,5,2,42,16.5,0,0,0,0,3,1.2,2,0.8,126,49.4,0,0,1,0.4,202,79.2,0,0,71,27.8,14,5.5,254,99.6,6,2.4,36,76.6,47,18.4,203,79.6,2,0.8,47,5,2,15,5.9,36,76.6
"072909",19,6.7,282,0,0,60,21.3,2,0.7,0,0,19,6.7,159,56.4,127,45,5,1.8,79,26,9.2,141,50,0,0,1,0.4,0,0,61,21.6,155,55,6,2.1,4,1.4,123,43.6,0,0,122,43.3,28,9.9,282,100,0,0,28,35.4,96,34,139,49.3,60,21.3,79,26,9.2,28,9.9,28,35.4
"072910",3,2.7,111,0,0,0,0,0,0,0,0,3,2.7,54,48.6,56,50.5,0,0,0,14,12.6,19,17.1,0,0,0,0,0,0,0,0,55,49.5,0,0,1,0.9,57,51.4,0,0,8,7.2,11,9.9,109,98.2,4,3.6,0,0,0,0,88,79.3,0,0,0,14,12.6,11,9.9,0,.
"073901",23,4.3,537,1,0.2,106,19.7,94,17.5,9,1.6,20,3.7,440,81.9,252,46.9,1,0.2,135,30,5.6,336,62.6,12,2.2,1,0.2,1,0.2,115,21.4,285,53.1,1,0.2,2,0.4,97,18.1,1,0.2,369,68.7,67,12.5,537,100,19,3.5,131,97,133,24.8,85,15.8,106,19.7,135,30,5.6,67,12.5,131,97
"073903",17,1.8,920,4,0.4,139,15.1,525,57.1,14,1.5,14,1.5,772,83.9,433,47.1,7,0.8,212,41,4.5,305,33.2,1,0.1,3,0.3,1,0.1,140,15.2,487,52.9,2,0.2,10,1.1,148,16.1,0,0,618,67.2,99,10.8,920,100,22,2.4,65,30.7,168,18.3,63,6.8,139,15.1,212,41,4.5,99,10.8,65,30.7
"073904",7,4.5,155,0,0,0,0,2,1.3,0,0,10,6.5,25,16.1,70,45.2,0,0,0,10,6.5,14,9,0,0,0,0,1,0.6,1,0.6,85,54.8,0,0,1,0.6,130,83.9,0,0,48,31,17,11,155,100,4,2.6,0,0,0,0,134,86.5,0,0,0,10,6.4,19,12.1,0,.
"073905",49,7.2,679,1,0.1,30,4.4,79,11.6,10,1.4,29,4.3,489,72,344,50.7,0,0,227,52,7.7,230,33.9,10,1.5,2,0.3,0,0,37,5.4,335,49.3,0,0,2,0.3,190,28,0,0,319,47,98,14.4,679,100,35,5.2,144,63.4,234,34.5,334,49.2,30,4.4,227,52,7.6,103,15.1,144,63.4
"074903",187,10,1866,8,0.4,267,14.3,134,7.2,30,1.4,139,7.4,1315,70.5,884,47.4,13,0.7,499,100,5.4,528,28.3,38,2,21,1.1,16,0.9,267,14.3,982,52.6,1,0.1,11,0.6,551,29.5,2,0.1,842,45.1,239,12.8,1865,99.9,107,5.7,172,34.5,417,22.3,1071,57.4,267,14.2,500,100,5.3,246,13.1,172,34.4
"074904",12,3.4,353,2,0.6,6,1.7,0,0,2,0.5,4,1.1,122,34.6,178,50.4,0,0,107,11,3.1,26,7.4,4,1.1,0,0,1,0.3,6,1.7,175,49.6,0,0,11,3.1,231,65.4,0,0,86,24.4,30,8.5,353,100,14,4,106,99.1,121,34.3,310,87.8,6,1.7,107,11,3.1,31,8.8,106,99.1
"074905",42,15.2,276,3,1.1,0,0,2,0.7,0,0,39,14.1,162,58.7,138,50,2,0.7,90,1,0.4,28,10.1,6,2.2,0,0,2,0.7,0,0,138,50,0,0,1,0.4,114,41.3,0,0,104,37.7,52,18.8,276,100,7,2.5,86,95.6,103,37.3,234,84.8,0,0,90,1,0.4,53,19.1,86,95.6
"074907",67,10.5,637,1,0.2,55,8.6,57,8.9,2,0.3,50,7.8,384,60.3,309,48.5,6,0.9,213,42,6.6,135,21.2,10,1.6,0,0,2,0.3,55,8.6,328,51.5,0,0,10,1.6,253,39.7,0,0,198,31.1,103,16.2,411,64.5,37,5.8,213,100,257,40.3,405,63.6,55,8.6,213,42,6.6,103,16.2,213,100
"074909",92,10.7,860,0,0,50,5.8,11,1.3,4,0.4,59,6.9,480,55.8,426,49.5,6,0.7,249,58,6.7,171,19.9,17,2,0,0,10,1.2,51,5.9,434,50.5,0,0,21,2.4,380,44.2,0,0,364,42.3,95,11,402,46.7,57,6.6,180,72.3,261,30.3,611,71,50,5.8,249,58,6.7,96,11.1,180,72.3
"074911",23,7,329,3,0.9,6,1.8,3,0.9,0,0,9,2.7,157,47.7,158,48,0,0,87,31,9.4,34,10.3,12,3.6,1,0.3,4,1.2,6,1.8,171,52,0,0,3,0.9,172,52.3,0,0,78,23.7,44,13.4,329,100,25,7.6,23,26.4,80,24.3,260,79,6,1.8,87,31,9.4,44,13.4,23,26.4
"074912",47,6.8,689,1,0.1,52,7.5,8,1.2,5,0.7,29,4.2,284,41.2,310,45,0,0,207,54,7.8,156,22.6,3,0.4,0,0,1,0.1,52,7.5,379,55,0,0,2,0.3,405,58.8,0,0,164,23.8,76,11,291,42.2,18,2.6,135,65.2,204,29.6,505,73.3,52,7.5,207,54,7.8,76,11,135,65.2
"074917",53,9.9,535,0,0,22,4.1,1,0.2,0,0,35,6.5,248,46.4,263,49.2,4,0.7,152,14,2.6,45,8.4,3,0.6,0,0,1,0.2,22,4.1,272,50.8,2,0.4,3,0.6,287,53.6,0,0,85,15.9,59,11,296,55.3,17,3.2,148,97.4,233,43.6,471,88,22,4.1,152,14,2.6,59,11,148,97.4
"075901",36,5.8,618,2,0.3,38,6.1,28,4.5,12,1.9,21,3.4,329,53.2,290,46.9,13,2.1,178,71,11.5,333,53.9,56,9.1,0,0,0,0,38,6.1,328,53.1,48,7.8,1,0.2,289,46.8,0,0,158,25.6,66,10.7,618,100,7,1.1,135,75.8,173,28,248,40.1,38,6.1,178,71,11.4,69,11.1,135,75.8
"075902",115,6,1925,5,0.3,256,13.3,165,8.6,28,1.4,60,3.1,844,43.8,944,49,2,0.1,611,160,8.3,731,38,2,0.1,5,0.3,5,0.3,259,13.5,981,51,0,0,36,1.9,1081,56.2,0,0,668,34.7,206,10.7,1017,52.8,63,3.3,148,24.2,448,23.3,956,49.7,256,13.3,614,160,8.3,212,11,148,24.1
"075903",52,7.3,715,5,0.7,83,11.6,99,13.8,8,1,46,6.4,427,59.7,351,49.1,2,0.3,229,54,7.6,300,42,4,0.6,0,0,3,0.4,83,11.6,364,50.9,3,0.4,3,0.4,288,40.3,0,0,255,35.7,121,16.9,715,100,21,2.9,208,90.8,223,31.2,287,40.1,83,11.5,229,54,7.5,129,17.8,208,90.8
"075906",20,7.5,265,1,0.4,16,6,5,1.9,0,0,11,4.2,85,32.1,131,49.4,2,0.8,72,15,5.7,44,16.6,2,0.8,6,2.3,0,0,16,6,134,50.6,0,0,2,0.8,180,67.9,0,0,70,26.4,17,6.4,265,100,2,0.8,72,100,94,35.5,213,80.4,16,6,72,15,5.6,18,6.8,72,100
"075908",12,4.5,265,0,0,32,12.1,8,3,1,0.4,3,1.1,121,45.7,153,57.7,3,1.1,77,6,2.3,65,24.5,1,0.4,1,0.4,1,0.4,32,12.1,112,42.3,0,0,0,0,144,54.3,0,0,76,28.7,23,8.7,14,5.3,8,3,33,42.9,117,44.2,183,69.1,32,12,78,6,2.3,24,9,33,42.3
"076903",21,6.9,303,0,0,13,4.3,1,0.3,2,0.6,16,5.3,140,46.2,155,51.2,3,1,65,12,4,94,31,4,1.3,3,1,0,0,13,4.3,148,48.8,6,2,0,0,163,53.8,0,0,87,28.7,29,9.6,303,100,7,2.3,65,100,88,29,201,66.3,13,4.3,65,12,3.9,30,9.9,65,100
"076904",21,8.2,255,0,0,9,3.5,12,4.7,5,1.8,12,4.7,171,67.1,124,48.6,1,0.4,68,13,5.1,139,54.5,25,9.8,1,0.4,1,0.4,9,3.5,131,51.4,0,0,1,0.4,84,32.9,0,0,70,27.5,31,12.2,255,100,8,3.1,68,100,105,41.2,95,37.3,9,3.5,68,13,5.1,31,12.2,68,100
"077901",56,7.9,705,1,0.1,52,7.4,27,3.8,21,2.6,37,5.2,546,77.4,331,47,7,1,185,22,3.1,582,82.6,6,0.9,2,0.3,0,0,58,8.2,374,53,28,4,5,0.7,159,22.6,0,0,385,54.6,60,8.5,691,98,5,0.7,176,95.1,222,31.5,90,12.8,52,7.3,187,22,3.1,62,8.7,178,95.2
"077902",67,15.3,439,1,0.2,26,5.9,6,1.4,5,1,60,13.7,338,77,218,49.7,0,0,128,16,3.6,344,78.4,0,0,0,0,0,0,26,5.9,221,50.3,9,2.1,14,3.2,101,23,1,0.2,243,55.4,45,10.3,196,44.6,3,0.7,113,88.3,123,28,84,19.1,26,5.9,128,16,3.6,48,10.9,113,88.3
"078901",17,7.4,230,2,0.9,3,1.3,6,2.6,5,2.2,10,4.3,178,77.4,124,53.9,3,1.3,73,13,5.7,100,43.5,0,0,0,0,0,0,3,1.3,106,46.1,0,0,0,0,52,22.6,0,0,70,30.4,45,19.6,230,100,10,4.3,72,98.6,106,46.1,112,48.7,3,1.3,73,13,5.7,45,19.6,72,98.6
