DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'050910",255,21.1,1208,1137,14,8102,108,1.3,1420,6004,23.7,465,5.7,1488,18.4,63,0.7,780,9.6,5117,63.2,4024,49.7,64,0.8,2366,430,5.3,2372,29.3,73,0.9,8,0.1,43,0.5,464,5.7,4078,50.3,0,0,3873,47.8,2985,36.8,218,2.7,4154,51.3,1199,14.8,3882,47.9,895,11,1928,81.5,2540,31.4,2978,36.8,465,5.7,430,5.3,1209,14.9
"'051901",6,15.8,38,16,9.9,161,0,0,27,160,16.9,0,0,19,11.8,2,1,17,10.6,116,72,83,51.6,3,1.9,50,14,8.7,75,46.6,0,0,0,0,1,0.6,0,0,78,48.4,0,0,9,5.6,45,28,0,0,104,64.6,29,18,161,100,3,1.9,46,92,70,43.5,63,39.1,0,0,14,8.7,29,18
"'052901",5,5.3,95,64,5.6,1151,5,0.4,80,890,9,238,20.7,17,1.5,9,0.8,54,4.7,484,42.1,567,49.3,0,0,326,77,6.7,946,82.2,0,0,16,1.4,2,0.2,250,21.7,584,50.7,0,0,8,0.7,667,57.9,0,0,643,55.9,100,8.7,824,71.6,2,0.2,240,73.6,243,21.1,179,15.6,238,20.7,77,6.7,100,8.7
"'053001",13,17.3,75,76,10.4,729,5,0.7,67,613,10.9,117,16,4,0.5,4,0.5,38,5.2,480,65.8,353,48.4,4,0.5,235,48,6.6,540,74.1,35,4.8,7,1,2,0.3,116,15.9,376,51.6,1,0.1,10,1.4,249,34.2,0,0,381,52.3,69,9.5,729,100,5,0.7,221,94,222,30.5,173,23.7,117,16,48,6.6,69,9.5
"'054901",7,14,50,27,8.2,329,1,0.3,27,270,10,5,1.5,7,2.1,1,0.3,19,5.8,256,77.8,165,50.2,0,0,103,11,3.3,243,73.9,8,2.4,0,0,0,0,5,1.5,164,49.8,13,4,0,0,73,22.2,0,0,177,53.8,42,12.8,329,100,4,1.2,53,51.5,54,16.4,74,22.5,5,1.5,11,3.3,42,12.7
"'054902",11,32.4,34,18,7.6,237,0,0,32,213,15,20,8.4,12,5.1,5,1.9,17,7.2,194,81.9,118,49.8,2,0.8,70,4,1.7,183,77.2,1,0.4,0,0,0,0,20,8.4,119,50.2,26,11,0,0,43,18.1,0,0,139,58.6,29,12.2,237,100,2,0.8,58,82.9,100,42.2,40,16.9,20,8.4,4,1.7,29,12.2
"'054903",18,30.5,59,45,9.3,484,0,0,47,356,13.2,14,2.9,4,0.8,1,0.2,40,8.3,403,83.3,222,45.9,0,0,147,9,1.9,368,76,0,0,0,0,5,1,14,2.9,262,54.1,19,3.9,0,0,81,16.7,0,0,300,62,61,12.6,484,100,3,0.6,113,76.9,155,32,104,21.5,14,2.9,9,1.9,61,12.6
"'055901",6,15.4,39,4,1.1,360,6,1.7,68,362,18.8,20,5.6,2,0.6,0,0,6,1.7,294,81.7,173,48.1,0,0,88,21,5.8,303,84.2,18,5,3,0.8,3,0.8,22,6.1,187,51.9,1,0.3,0,0,66,18.3,1,0.3,232,64.4,39,10.8,360,100,4,1.1,71,80.7,71,19.7,41,11.4,20,5.6,21,5.8,39,10.8
"'056901",25,16.3,153,73,4.3,1717,3,0.2,135,1169,11.5,507,29.5,13,0.8,47,2.6,69,4,1152,67.1,818,47.6,14,0.8,459,63,3.7,1170,68.1,23,1.3,4,0.2,6,0.3,507,29.5,899,52.4,164,9.6,14,0.8,565,32.9,1,0.1,825,48,149,8.7,1717,100,13,0.8,386,84.1,510,29.7,511,29.8,507,29.2,63,3.6,160,9.2
"'056902",3,11.5,26,18,8.5,213,0,0,22,186,11.8,42,19.7,0,0,0,0,18,8.5,123,57.7,103,48.4,0,0,50,14,6.6,98,46,10,4.7,0,0,1,0.5,42,19.7,110,51.6,2,0.9,0,0,90,42.3,0,0,87,40.8,25,11.7,213,100,4,1.9,44,88,61,28.6,110,51.6,42,19.4,14,6.5,29,13.4
"'057802",4,6,67,24,4.9,486,0,0,154,477,32.3,124,25.5,164,33.7,0,0,17,3.5,427,87.9,252,51.9,2,0.4,148,0,0,280,57.6,74,15.2,2,0.4,4,0.8,126,25.9,234,48.1,0,0,0,0,59,12.1,0,0,391,80.5,63,13,486,100,20,4.1,3,2,3,0.6,18,3.7,124,25.5,0,0,63,13
"'057803",93,5.2,1793,623,2.8,22183,1331,6,3229,17243,18.7,7195,32.4,4741,21.4,0,0,414,1.9,16175,72.9,10982,49.5,21,0.1,5105,0,0,14943,67.4,353,1.6,203,0.9,36,0.2,7306,32.9,11201,50.5,0,0,173,0.8,6008,27.1,9,0,11053,49.8,1760,7.9,17189,77.5,432,1.9,4075,79.8,5841,26.3,691,3.1,7195,32.4,0,0,1760,7.9
"'057804",421,62.6,673,282,5.6,5037,13,0.3,2043,3628,56.3,1409,28,1489,29.6,0,0,136,2.7,4641,92.1,2411,47.9,0,0,5037,0,0,3328,66.1,7,0.1,0,0,8,0.2,1580,31.4,2626,52.1,1,0,0,0,396,7.9,2,0,4763,94.6,487,9.7,5037,100,92,1.8,1487,29.5,1487,29.5,105,2.1,1409,28,0,0,487,9.7
"'057805",3,17.6,17,5,2,250,3,1.2,48,219,21.9,102,40.8,17,6.8,0,0,0,0,175,70,110,44,2,0.8,0,0,0,184,73.6,6,2.4,0,0,0,0,106,42.4,140,56,0,0,2,0.8,75,30,0,0,137,54.8,23,9.2,250,100,7,2.8,0,0,0,0,39,15.6,102,40.8,0,0,23,9.2
"'057806",11,11.2,98,39,3.4,1138,14,1.2,436,1182,36.9,237,20.8,389,34.2,0,0,17,1.5,967,85,553,48.6,4,0.4,161,28,2.5,619,54.4,0,0,2,0.2,2,0.2,262,23,585,51.4,1,0.1,2,0.2,171,15,0,0,569,50,88,7.7,1138,100,15,1.3,125,77.6,339,29.8,99,8.7,237,20.8,28,2.5,88,7.7
"'057807",50,6.9,726,330,5.9,5558,9,0.2,919,4596,20,549,9.9,2575,46.3,0,0,263,4.7,3629,65.3,2822,50.8,14,0.3,1472,282,5.1,2201,39.6,10,0.2,0,0,8,0.1,563,10.1,2736,49.2,0,0,339,6.1,1929,34.7,1,0,3113,56,672,12.1,5558,100,168,3,1250,84.9,1382,24.9,596,10.7,549,9.9,282,5.1,672,12.1
"'057808",12,16.9,71,24,1.2,2055,1097,53.4,1001,2369,42.3,984,47.9,374,18.2,0,0,14,0.7,626,30.5,1031,50.2,0,0,171,117,5.7,511,24.9,0,0,371,18.1,7,0.3,1004,48.9,1024,49.8,1,0,1,0,1429,69.5,0,0,1020,49.6,69,3.4,725,35.3,23,1.1,98,57.3,100,4.9,43,2.1,984,47.9,117,5.7,69,3.4
"'057809",0,0,1,0,0,124,0,0,38,110,34.5,13,10.5,92,74.2,0,0,0,0,122,98.4,69,55.6,1,0.8,0,0,0,27,21.8,1,0.8,0,0,0,0,14,11.3,55,44.4,0,0,0,0,2,1.6,0,0,20,16.1,1,0.8,124,100,2,1.6,0,0,0,0,3,2.4,13,10.5,0,0,1,0.8
"'057810",1,5.9,17,1,0.4,245,0,0,134,296,45.3,20,8.2,193,78.8,0,0,3,1.2,243,99.2,131,53.5,0,0,0,0,0,46,18.8,0,0,0,0,0,0,22,9,114,46.5,0,0,3,1.2,2,0.8,0,0,209,85.3,7,2.9,245,100,6,2.4,0,0,0,0,0,0,20,8.2,0,0,7,2.9
"'057813",39,9.7,402,151,3.6,4211,103,2.4,752,3852,19.5,2326,55.2,431,10.2,0,0,138,3.3,3836,91.1,2203,52.3,6,0.1,0,0,0,3581,85,18,0.4,77,1.8,12,0.3,2374,56.4,2008,47.7,0,0,0,0,375,8.9,0,0,3464,82.3,436,10.4,4211,100,21,0.5,0,0,17,0.4,63,1.5,2326,55.2,0,0,436,10.4
"'057814",215,96.8,222,16,5.4,297,2,0.7,259,303,85.5,50,16.8,142,47.8,0,0,7,2.4,297,100,64,21.5,11,3.7,255,0,0,129,43.4,2,0.7,1,0.3,1,0.3,51,17.2,233,78.5,0,0,0,0,0,0,1,0.3,297,100,83,27.9,297,100,5,1.7,57,22.4,60,20.2,17,5.7,50,16.8,0,0,83,27.9
"'057816",6,7.3,82,7,0.7,1067,5,0.5,607,1260,48.2,8,0.7,989,92.7,0,0,52,4.9,916,85.8,568,53.2,1,0.1,0,0,0,45,4.2,0,0,0,0,0,0,8,0.7,499,46.8,0,0,0,0,151,14.2,0,0,170,15.9,58,5.4,1067,100,26,2.4,0,0,4,0.4,2,0.2,8,0.7,0,0,58,5.4
"'057819",0,0,11,3,1.5,202,0,0,38,192,19.8,105,52,22,10.9,0,0,1,0.5,162,80.2,108,53.5,1,0.5,33,0,0,167,82.7,0,0,0,0,1,0.5,107,53,94,46.5,0,0,1,0.5,40,19.8,0,0,114,56.4,12,5.9,202,100,4,2,33,100,34,16.8,8,4,105,52,0,0,12,5.9
"'057827",1,3.1,32,10,1.9,535,0,0,163,536,30.4,152,28.4,224,41.9,0,0,4,0.7,500,93.5,268,50.1,1,0.2,0,0,0,294,55,5,0.9,0,0,2,0.4,163,30.5,267,49.9,0,0,5,0.9,35,6.5,0,0,406,75.9,28,5.2,535,100,7,1.3,0,0,1,0.2,8,1.5,152,28.4,0,0,28,5.2
"'057828",148,61.2,242,148,13.9,1068,18,1.7,586,958,61.2,155,14.5,266,24.9,0,0,78,7.3,630,59,538,50.4,1,0.1,1068,0,0,523,49,48,4.5,0,0,5,0.5,179,16.8,530,49.6,0,0,11,1,438,41,4,0.4,1066,99.8,122,11.4,1068,100,42,3.9,606,56.7,606,56.7,210,19.7,156,14.4,0,0,123,11.4
"'057829",13,9.2,142,29,1.9,1551,6,0.4,149,1235,12.1,774,49.9,51,3.3,0,0,57,3.7,1438,92.7,779,50.2,1,0.1,425,69,4.4,1455,93.8,5,0.3,16,1,0,0,793,51.1,772,49.8,0,0,1,0.1,113,7.3,0,0,1051,67.8,147,9.5,1551,100,9,0.6,391,92,504,32.5,30,1.9,774,49.9,69,4.4,147,9.5
"'057830",18,14.5,124,43,3.4,1271,0,0,188,1090,17.2,651,51.2,56,4.4,0,0,60,4.7,1215,95.6,620,48.8,0,0,354,29,2.3,1192,93.8,0,0,7,0.6,1,0.1,665,52.3,651,51.2,0,0,4,0.3,56,4.4,0,0,991,78,125,9.8,1271,100,3,0.2,269,76,377,29.7,19,1.5,651,51.2,29,2.3,125,9.8
"'057831",5,11.1,45,15,2.3,654,0,0,309,711,43.5,0,0,631,96.5,0,0,4,0.6,487,74.5,323,49.4,1,0.2,124,4,0.6,18,2.8,0,0,0,0,2,0.3,0,0,331,50.6,0,0,0,0,167,25.5,0,0,204,31.2,31,4.7,654,100,2,0.3,103,83.1,104,15.9,1,0.2,0,0,4,0.6,31,4.7
"'057833",13,17.6,74,42,8.4,501,27,5.4,174,484,36,35,7,99,19.8,0,0,27,5.4,265,52.9,243,48.5,3,0.6,0,5,1,149,29.7,0,0,0,0,1,0.2,36,7.2,258,51.5,0,0,12,2.4,236,47.1,3,0.6,192,38.3,53,10.6,377,75.2,13,2.6,0,0,3,0.6,209,41.7,35,7,5,1,53,10.6
"'057834",30,45.5,66,40,6,669,7,1,261,506,51.6,56,8.4,335,50.1,0,0,11,1.6,450,67.3,375,56.1,3,0.4,669,0,0,265,39.6,44,6.6,1,0.1,2,0.3,56,8.4,294,43.9,0,0,1,0.1,219,32.7,0,0,663,99.1,53,7.9,669,100,16,2.4,423,63.2,423,63.2,44,6.6,56,8.4,0,0,53,7.9
"'057835",10,7.8,128,31,2,1557,5,0.3,301,1481,20.3,781,50.2,83,5.3,0,0,24,1.5,1557,100,765,49.1,0,0,119,22,1.4,1449,93.1,0,0,0,0,4,0.3,903,58,792,50.9,0,0,4,0.3,0,0,0,0,918,59,117,7.5,1557,100,3,0.2,81,68.1,112,7.2,13,0.8,781,50.2,22,1.4,117,7.5
"'057836",2,5.1,39,11,3.5,316,0,0,46,256,18,0,0,303,95.9,0,0,9,2.8,293,92.7,154,48.7,0,0,0,15,4.7,7,2.2,0,0,0,0,0,0,0,0,162,51.3,0,0,2,0.6,23,7.3,0,0,84,26.6,0,0,316,100,6,1.9,0,0,1,0.3,0,0,0,0,15,4.7,0,0
"'057839",4,3.3,121,51,5.2,985,3,0.3,103,828,12.4,676,68.6,2,0.2,0,0,47,4.8,879,89.2,487,49.4,0,0,0,29,2.9,971,98.6,0,0,0,0,1,0.1,686,69.6,498,50.6,0,0,0,0,106,10.8,0,0,829,84.2,116,11.8,985,100,0,0,0,0,0,0,8,0.8,676,68.6,29,2.9,116,11.8
"'057840",1,50,2,4,1.2,336,108,32.1,40,227,17.6,24,7.1,88,26.2,0,0,4,1.2,10,3,214,63.7,0,0,336,0,0,54,16.1,1,0.3,0,0,2,0.6,31,9.2,122,36.3,0,0,0,0,326,97,0,0,82,24.4,0,0,0,0,13,3.9,232,69,232,69,71,21.1,24,7.1,0,0,0,0
"'057841",7,6.7,105,13,1,1256,1,0.1,282,1156,24.4,699,55.7,185,14.7,0,0,43,3.4,1151,91.6,659,52.5,0,0,0,0,0,1029,81.9,0,0,0,0,2,0.2,724,57.6,597,47.5,0,0,4,0.3,105,8.4,0,0,1097,87.3,117,9.3,1256,100,10,0.8,0,0,1,0.1,29,2.3,699,55.7,0,0,117,9.3
"'057844",12,20.7,58,3,0.6,541,150,27.7,223,580,38.4,238,44,166,30.7,0,0,1,0.2,331,61.2,279,51.6,0,0,88,3,0.6,35,6.5,0,0,60,11.1,5,0.9,241,44.5,262,48.4,2,0.4,1,0.2,210,38.8,1,0.2,320,59.1,37,6.8,541,100,13,2.4,38,43.2,38,7,171,31.6,238,44,3,0.6,37,6.8
"'057845",4,5.4,74,102,7.5,1365,23,1.7,248,1179,21,105,7.7,175,12.8,0,0,60,4.4,587,43,681,49.9,0,0,350,0,0,728,53.3,1,0.1,0,0,5,0.4,125,9.2,684,50.1,0,0,2,0.1,778,57,0,0,281,20.6,84,6.2,1365,100,42,3.1,174,49.7,176,12.9,392,28.7,105,7.7,0,0,84,6.2
"'057846",23,14.9,154,51,3.5,1464,6,0.4,363,1448,25.1,582,39.8,273,18.6,0,0,45,3.1,1170,79.9,693,47.3,0,0,393,69,4.7,1024,69.9,30,2,0,0,17,1.2,610,41.7,771,52.7,0,0,20,1.4,294,20.1,3,0.2,786,53.7,119,8.1,1464,100,32,2.2,332,84.5,340,23.2,109,7.4,582,39.8,69,4.7,119,8.1
"'057847",5,5.2,97,69,5.6,1232,8,0.6,225,1157,19.4,21,1.7,489,39.7,0,0,40,3.2,573,46.5,596,48.4,4,0.3,272,0,0,477,38.7,0,0,1,0.1,2,0.2,37,3,636,51.6,0,0,2,0.2,659,53.5,0,0,279,22.6,96,7.8,1232,100,71,5.8,130,47.8,131,10.6,185,15,21,1.7,0,0,96,7.8
"'057848",216,15.6,1385,957,4.7,20535,939,4.6,4133,16498,25.1,14302,69.6,5810,28.3,0,0,455,2.2,12629,61.5,10598,51.6,8,0,3550,1121,5.5,10912,53.1,129,0.6,227,1.1,57,0.3,6779,33,9937,48.4,2,0,1083,5.3,7906,38.5,20,0.1,13584,66.2,1308,6.4,19165,93.3,680,3.3,3375,95.1,3414,16.6,2117,10.3,14304,69.6,1121,5.5,1308,6.4
"'057850",25,18.8,133,162,7.3,2226,35,1.6,326,1570,20.8,397,17.8,307,13.8,0,0,0,0,1257,56.5,1061,47.7,1,0,476,113,5.1,984,44.2,8,0.4,0,0,2,0.1,399,17.9,1165,52.3,0,0,0,0,969,43.5,5,0.2,1106,49.7,164,7.4,1218,54.7,91,4.1,384,80.7,842,37.8,802,36,397,17.8,113,5.1,164,7.4
"'057851",5,25,20,0,0,96,6,6.3,42,96,43.8,31,32.3,35,36.5,0,0,0,0,59,61.5,51,53.1,0,0,0,0,0,43,44.8,0,0,0,0,0,0,33,34.4,45,46.9,0,0,0,0,37,38.5,0,0,43,44.8,19,19.8,0,0,0,0,0,0,0,0,12,12.5,31,32.3,0,0,19,19.8
"'057903",488,13.4,3647,1023,4.1,24888,2841,11.4,4353,19634,22.2,8916,35.8,4523,18.2,53,0.2,831,3.3,15821,63.6,12038,48.4,0,0,7243,2408,9.7,13797,55.4,440,1.8,1477,5.9,90,0.4,8725,35.1,12850,51.6,1,0,10,0,9067,36.4,19,0.1,14167,56.9,3467,13.9,22964,92.3,846,3.4,4974,68.7,5624,22.6,2772,11.1,8919,35.8,2408,9.7,3509,14.1
"'057904",112,16.9,664,301,4.2,7112,68,1,1215,5579,21.8,594,8.4,4679,65.8,19,0.2,172,2.4,4671,65.7,3434,48.3,51,0.7,2625,390,5.5,1868,26.3,8,0.1,31,0.4,19,0.3,579,8.1,3678,51.7,0,0,228,3.2,2441,34.3,5,0.1,3285,46.2,566,8,6506,91.5,288,4,1959,74.6,2625,36.9,185,2.6,594,8.3,390,5.5,573,8
"'057905",2484,16,15515,7290,5.1,143430,1753,1.2,25125,115571,21.7,65945,46,30021,20.9,198,0.1,6756,4.7,122040,85.1,70408,49.1,366,0.3,41176,24721,17.2,100499,70.1,2512,1.8,9972,7,669,0.5,68250,47.6,73022,50.9,25,0,1713,1.2,21390,14.9,87,0.1,95247,66.4,14316,10,139475,97.2,1736,1.2,26886,65.3,32781,22.9,8665,6,65975,46,24736,17.2,14339,10
"'057906",166,19,873,308,4.2,7339,21,0.3,1316,4593,28.7,631,8.6,5360,73,14,0.2,158,2.2,5294,72.1,3507,47.8,96,1.3,2758,393,5.4,1598,21.8,5,0.1,14,0.2,26,0.4,655,8.9,3832,52.2,0,0,9,0.1,2045,27.9,0,0,3054,41.6,711,9.7,7306,99.6,213,2.9,2224,80.6,2784,37.9,121,1.6,631,8.6,393,5.4,715,9.7
"'057907",177,13.9,1269,466,3.9,11944,116,1,1648,8201,20.1,2534,21.2,4775,40,69,0.5,339,2.8,9302,77.9,5907,49.5,69,0.6,4637,530,4.4,6541,54.8,85,0.7,116,1,25,0.2,2725,22.8,6037,50.5,1,0,197,1.6,2642,22.1,3,0,8984,75.2,1208,10.1,7316,61.3,227,1.9,3644,78.6,4883,40.9,257,2.2,2534,21.2,530,4.4,1210,10.1
"'057909",814,14.4,5663,4049,7.6,52960,4959,9.4,7519,41142,18.3,18610,35.1,9709,18.3,190,0.3,3572,6.7,39220,74.1,25623,48.4,78,0.1,17310,4305,8.1,27705,52.3,646,1.2,1483,2.8,743,1.4,19458,36.7,27337,51.6,4,0,414,0.8,13740,25.9,51,0.1,26307,49.7,5428,10.2,51359,97,1528,2.9,12464,72,15719,29.7,8265,15.6,18830,35.1,4329,8.1,5571,10.4
"'057910",390,13.6,2868,1909,7,27284,894,3.3,4600,22089,20.8,9505,34.8,4827,17.7,152,0.5,1231,4.5,20281,74.3,13697,50.2,45,0.2,8969,1781,6.5,18513,67.9,828,3,483,1.8,112,0.4,9279,34,13587,49.8,1,0,271,1,7003,25.7,26,0.1,19298,70.7,2620,9.6,18301,67.1,631,2.3,6466,72.1,7378,27,2281,8.4,9527,34.7,1782,6.5,2639,9.6
"'057911",37,5.1,726,1060,15.9,6666,482,7.2,332,4569,7.3,68,1,52,0.8,3,0,475,7.1,13,0.2,3264,49,2,0,2260,1024,15.4,425,6.4,1,0,0,0,28,0.4,73,1.1,3402,51,0,0,0,0,6653,99.8,9,0.1,662,9.9,682,10.2,0,0,220,3.3,1162,51.4,1841,27.6,5450,81.8,68,1,1028,15.3,725,10.8
"'057912",390,13.6,2862,2260,7,32339,1033,3.2,4889,24932,19.6,16395,50.7,4212,13,143,0.4,1900,5.9,27894,86.3,15681,48.5,32,0.1,9815,4512,14,23102,71.4,584,1.8,2488,7.7,771,2.4,15723,48.6,16658,51.5,8,0,6,0,4445,13.7,53,0.2,21877,67.6,2699,8.3,21804,67.4,380,1.2,7458,76,8228,25.4,2788,8.6,16397,50.6,4515,13.9,2728,8.4
"'057913",122,16.7,732,245,3.5,6978,17,0.2,1196,5101,23.4,685,9.8,5111,73.2,20,0.3,123,1.8,5807,83.2,3405,48.8,53,0.8,2179,588,8.4,1565,22.4,187,2.7,17,0.2,37,0.5,698,10,3573,51.2,0,0,311,4.5,1171,16.8,8,0.1,4837,69.3,637,9.1,6978,100,157,2.2,1849,84.9,2046,29.3,83,1.2,693,9.8,597,8.4,646,9.1
"'057914",781,15.4,5063,3906,10.2,38311,450,1.2,5735,29743,19.3,11372,29.7,9635,25.1,280,0.7,3611,9.4,30546,79.7,18666,48.7,125,0.3,12237,2707,7.1,23263,60.7,574,1.5,272,0.7,257,0.7,11895,31,19645,51.3,7,0,15,0,7765,20.3,40,0.1,26160,68.3,4838,12.6,38306,100,839,2.2,9572,78.2,11290,29.5,3827,10,11372,29.6,2707,7.1,4900,12.8
"'057916",860,16.4,5258,3770,10.1,37358,2565,6.9,6145,29438,20.9,10409,27.9,8374,22.4,191,0.5,3475,9.3,20892,55.9,18216,48.8,177,0.5,10495,3618,9.7,13934,37.3,396,1.1,3263,8.7,104,0.3,10462,28,19142,51.2,2,0,466,1.2,16466,44.1,38,0.1,20183,54,4942,13.2,18865,50.5,1126,3,6832,65.1,8988,24.1,11217,30,10476,27.8,3626,9.6,5044,13.4
"'057919",23,8.4,273,178,8.5,2104,486,23.1,97,1397,6.9,148,7,203,9.6,2,0.1,89,4.2,341,16.2,1002,47.6,7,0.3,640,232,11,326,15.5,11,0.5,11,0.5,6,0.3,170,8.1,1102,52.4,0,0,124,5.9,1763,83.8,2,0.1,595,28.3,286,13.6,2104,100,86,4.1,581,90.8,760,36.1,995,47.3,148,7,233,11,292,13.8
"'057922",105,9.3,1128,903,6.9,13107,7120,54.3,1489,10058,14.8,2226,17,549,4.2,10,0.1,683,5.2,1161,8.9,6397,48.8,9,0.1,4218,1722,13.1,1744,13.3,11,0.1,781,6,35,0.3,2063,15.7,6710,51.2,0,0,403,3.1,11946,91.1,8,0.1,3457,26.4,1128,8.6,2946,22.5,428,3.3,3093,73.3,3098,23.6,3223,24.6,2228,17,1722,13.1,1148,8.7
"'058902",2,13.3,15,11,7.4,149,0,0,42,147,28.6,24,16.1,1,0.7,0,0,9,6,108,72.5,80,53.7,0,0,28,10,6.7,105,70.5,0,0,10,6.7,0,0,24,16.1,69,46.3,2,1.3,3,2,41,27.5,0,0,78,52.3,11,7.4,149,100,5,3.4,27,96.4,51,34.2,38,25.5,24,16.1,10,6.7,11,7.4
"'058905",2,13.3,15,9,3.5,259,0,0,32,252,12.7,15,5.8,0,0,0,0,9,3.5,58,22.4,138,53.3,1,0.4,57,8,3.1,96,37.1,0,0,0,0,2,0.8,15,5.8,121,46.7,4,1.5,15,5.8,201,77.6,0,0,47,18.1,20,7.7,259,100,4,1.5,53,93,53,20.5,157,60.6,15,5.8,8,3.1,21,8.1
"'058906",36,14.9,241,167,10.4,1602,13,0.8,275,1610,17.1,75,4.7,53,3.3,62,3.3,150,9.4,1345,84,770,48.1,7,0.4,496,96,6,1322,82.5,28,1.7,0,0,1,0.1,77,4.8,832,51.9,2,0.1,21,1.3,257,16,0,0,977,61,217,13.5,1602,100,9,0.6,337,67.9,500,31.2,204,12.7,75,4.7,96,6,225,14
"'058909",2,6.7,30,18,7.3,246,1,0.4,28,245,11.4,31,12.6,0,0,0,0,16,6.5,155,63,112,45.5,2,0.8,67,28,11.4,110,44.7,0,0,1,0.4,4,1.6,31,12.6,134,54.5,3,1.2,1,0.4,91,37,0,0,111,45.1,26,10.6,246,100,4,1.6,57,85.1,72,29.3,127,51.6,32,12.9,28,11.2,27,10.8
"'059901",69,16.5,418,178,4.5,3953,8,0.2,379,2590,14.6,897,22.7,24,0.6,73,1.8,168,4.2,3087,78.1,1943,49.2,13,0.3,1154,113,2.9,3578,90.5,16,0.4,90,2.3,7,0.2,946,23.9,2010,50.8,241,6.1,96,2.4,866,21.9,2,0.1,2603,65.8,452,11.4,3953,100,14,0.4,936,81.1,1073,27.1,320,8.1,897,22.6,113,2.8,465,11.7
"'059902",2,8,25,4,2.6,152,0,0,11,127,8.7,15,9.9,0,0,0,0,7,4.6,85,55.9,78,51.3,0,0,0,1,0.7,124,81.6,12,7.9,0,0,0,0,17,11.2,74,48.7,0,0,0,0,67,44.1,0,0,71,46.7,21,13.8,152,100,0,0,0,0,0,0,28,18.4,15,9.9,1,0.7,21,13.8
"'060902",24,24.5,98,110,13,847,2,0.2,85,625,13.6,27,3.2,65,7.7,5,0.6,71,8.4,561,66.2,424,50.1,4,0.5,235,91,10.7,134,15.8,5,0.6,1,0.1,10,1.2,27,3.2,423,49.9,2,0.2,18,2.1,286,33.8,0,0,344,40.6,102,12,847,100,49,5.8,211,89.8,218,25.7,587,69.3,27,3.2,91,10.7,104,12.2
"'060914",0,0,30,24,16.2,148,1,0.7,36,141,25.5,11,7.4,55,37.2,1,0.6,15,10.1,132,89.2,85,57.4,0,0,42,5,3.4,22,14.9,5,3.4,0,0,1,0.7,11,7.4,63,42.6,0,0,0,0,16,10.8,0,0,65,43.9,36,24.3,148,100,11,7.4,37,88.1,62,41.9,58,39.2,11,7.4,5,3.4,36,24.3
"'061802",15,21.7,69,6,0.9,695,9,1.3,173,586,29.5,293,42.2,139,20,0,0,9,1.3,674,97,345,49.6,3,0.4,0,0,0,380,54.7,73,10.5,1,0.1,1,0.1,295,42.4,350,50.4,0,0,3,0.4,21,3,0,0,666,95.8,76,10.9,695,100,16,2.3,0,0,0,0,150,21.6,293,42.2,0,0,76,10.9
"'061804",7,6.3,111,133,9.9,1344,395,29.4,301,1178,25.6,74,5.5,187,13.9,0,0,47,3.5,51,3.8,649,48.3,0,0,359,85,6.3,277,20.6,0,0,12,0.9,11,0.8,76,5.7,695,51.7,0,0,7,0.5,1293,96.2,0,0,338,25.1,112,8.3,0,0,56,4.2,305,85,514,38.2,418,31.1,74,5.5,85,6.3,112,8.3
"'061805",7,9.7,72,59,10.7,553,126,22.8,186,598,31.1,44,8,34,6.1,0,0,43,7.8,21,3.8,267,48.3,0,0,58,81,14.6,117,21.2,0,0,1,0.2,0,0,56,10.1,286,51.7,0,0,28,5.1,532,96.2,4,0.7,108,19.5,67,12.1,0,0,33,6,20,34.5,20,3.6,239,43.2,44,8,81,14.6,67,12.1
"'061901",693,16.9,4093,3428,10.8,31771,1068,3.4,3975,23188,17.1,5626,17.7,6437,20.3,201,0.6,2160,6.8,15649,49.3,15565,49,116,0.4,9786,3070,9.7,10769,33.9,362,1.1,426,1.3,129,0.4,5321,16.7,16206,51,3,0,204,0.6,16122,50.7,52,0.2,11251,35.4,4025,12.7,11322,35.6,1178,3.7,7780,79.5,9824,30.9,12138,38.2,5635,17.6,3073,9.6,4138,13
