DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'009901",29,15.2,191,38,2.8,1347,8,0.6,95,977,9.7,409,30.4,9,0.7,40,2.8,15,1.1,1180,87.6,630,46.8,9,0.7,370,36,2.7,1155,85.7,0,0,94,7,1,0.1,411,30.5,717,53.2,102,7.6,6,0.4,167,12.4,1,0.1,872,64.7,188,14,1347,100,5,0.4,332,89.7,431,32,168,12.5,409,30.3,36,2.7,189,14
"'010901",13,26,50,24,9.1,265,1,0.4,57,252,22.6,4,1.5,7,2.6,3,0.9,8,3,151,57,141,53.2,0,0,79,16,6,79,29.8,83,31.3,0,0,0,0,4,1.5,124,46.8,0,0,2,0.8,114,43,0,0,157,59.2,33,12.5,265,100,6,2.3,70,88.6,80,30.2,172,64.9,4,1.5,16,6,35,13.1
"'010902",73,19.7,371,204,8.9,2301,9,0.4,244,1767,13.8,117,5.1,5,0.2,27,1.1,102,4.4,1104,48,1103,47.9,9,0.4,681,126,5.5,794,34.5,7,0.3,4,0.2,5,0.2,122,5.3,1198,52.1,0,0,159,6.9,1197,52,2,0.1,1201,52.2,361,15.7,1065,46.3,55,2.4,500,73.4,680,29.6,1431,62.2,117,5.1,126,5.5,364,15.8
"'011901",210,14.7,1429,1308,10.9,11947,48,0.4,1301,7968,16.3,4381,36.7,354,3,217,1.8,1087,9.1,8391,70.2,5790,48.5,28,0.2,3805,735,6.2,8620,72.2,529,4.4,223,1.9,16,0.1,4470,37.4,6157,51.5,92,0.8,78,0.7,3556,29.8,10,0.1,8919,74.7,1440,12.1,8142,68.2,343,2.9,2343,61.6,2772,23.2,2556,21.4,4386,36.6,735,6.1,1482,12.4
"'011902",98,16.7,588,445,8.9,4985,10,0.2,565,3296,17.1,2153,43.2,447,9,28,0.6,269,5.4,3543,71.1,2496,50.1,8,0.2,1583,379,7.6,3781,75.8,120,2.4,61,1.2,3,0.1,2058,41.3,2489,49.9,76,1.5,5,0.1,1442,28.9,8,0.2,3877,77.8,616,12.4,2628,52.7,113,2.3,1253,79.2,1306,26.2,623,12.5,2154,43.1,379,7.6,626,12.5
"'011904",29,12.9,225,166,9.3,1780,10,0.6,140,1023,13.7,141,7.9,122,6.9,42,2.3,100,5.6,813,45.7,842,47.3,2,0.1,569,126,7.1,603,33.9,30,1.7,0,0,1,0.1,148,8.3,938,52.7,7,0.4,119,6.7,967,54.3,1,0.1,819,46,222,12.5,1774,99.7,74,4.2,395,69.4,397,22.3,969,54.4,141,7.9,126,7,230,12.9
"'011905",3,5.8,52,35,11,319,0,0,71,285,24.9,74,23.2,3,0.9,0,0,25,7.8,184,57.7,153,48,1,0.3,72,23,7.2,173,54.2,8,2.5,1,0.3,0,0,76,23.8,166,52,4,1.3,2,0.6,135,42.3,2,0.6,139,43.6,48,15,319,100,5,1.6,61,84.7,78,24.5,136,42.6,74,23.2,23,7.2,48,15
"'012901",13,14.3,91,95,15.4,618,1,0.2,57,509,11.2,4,0.6,10,1.6,1,0.2,58,9.4,374,60.5,284,46,4,0.6,164,19,3.1,135,21.8,6,1,1,0.2,2,0.3,4,0.6,334,54,1,0.2,2,0.3,244,39.5,0,0,259,41.9,107,17.3,618,100,43,7,145,88.4,149,24.1,427,69.1,4,0.6,19,3.1,109,17.6
"'013801",2,5.1,39,11,2.7,401,7,1.7,62,349,17.8,5,1.2,4,1,0,0,5,1.2,335,83.5,203,50.6,2,0.5,0,22,5.5,328,81.8,4,1,0,0,0,0,5,1.2,198,49.4,0,0,9,2.2,66,16.5,0,0,250,62.3,52,13,401,100,7,1.7,0,0,0,0,55,13.7,5,1.2,22,5.5,52,13
"'013901",52,12.8,405,144,4.8,2996,9,0.3,391,2141,18.3,62,2.1,73,2.4,24,0.7,37,1.2,2515,83.9,1443,48.2,8,0.3,969,135,4.5,2515,83.9,20,0.7,0,0,3,0.1,68,2.3,1553,51.8,3,0.1,21,0.7,481,16.1,1,0,1685,56.2,405,13.5,2996,100,33,1.1,862,89,1146,38.3,362,12.1,62,2.1,135,4.5,417,13.9
