DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"001902",576,3,0.5,3,0.5,27,4.7,6,1,192,33.3,55,9.5,42,7.3,0,0,3,0.5,384,66.7,0,0,203,35.2,82,14.2,25,4.3,150,26,479,83.2
"001903",1267,11,0.9,19,1.5,67,5.3,5,0.4,673,53.1,39,3.1,137,10.8,1,0.1,19,1.5,594,46.9,2,0.2,453,35.8,139,11,38,3,299,23.6,1011,79.8
"001904",846,6,0.7,18,2.1,76,9,15,1.6,446,52.7,59,7,82,9.7,6,0.7,18,2.1,400,47.3,0,0,356,42.1,75,8.9,28,3.3,229,27.1,648,76.6
"001906",377,1,0.3,6,1.6,28,7.4,4,0.9,172,45.6,24,6.4,51,13.5,1,0.3,6,1.6,205,54.4,0,0,137,36.3,37,9.8,10,2.7,118,31.3,286,75.9
"001907",3453,28,0.8,516,14.9,949,27.5,126,3.4,2587,74.9,93,2.7,1382,40,10,0.3,557,16.1,866,25.1,4,0.1,1980,57.3,303,8.8,106,3.1,1222,35.4,974,28.2
"001908",1600,10,0.6,85,5.3,280,17.5,21,1.2,1036,64.8,36,2.3,404,25.3,10,0.6,91,5.7,564,35.3,0,0,811,50.7,169,10.6,63,3.9,414,25.9,833,52.1
"001909",411,1,0.2,4,1,5,1.2,2,0.5,202,49.1,18,4.4,23,5.6,1,0.2,4,1,209,50.9,0,0,157,38.2,52,12.7,13,3.2,154,37.5,368,89.5
"002901",3954,14,0.4,483,12.2,42,1.1,52,1.2,1674,42.3,179,4.5,2640,66.8,20,0.5,447,11.3,2280,57.7,3,0.1,1521,38.5,279,7.1,65,1.6,873,22.1,1170,29.6
"003801",1037,18,1.7,58,5.6,168,16.2,0,0,470,45.3,106,10.2,243,23.4,0,0,58,5.6,567,54.7,1,0.1,322,31.1,69,6.7,24,2.3,130,12.5,583,56.2
"003902",2842,30,1.1,190,6.7,171,6,37,1.2,1497,52.7,162,5.7,692,24.3,20,0.7,197,6.9,1345,47.3,0,0,1001,35.2,212,7.5,62,2.2,892,31.4,1867,65.7
"003903",8176,122,1.5,1982,24.2,2375,29,335,3.7,6365,77.8,872,10.7,3330,40.7,19,0.2,1563,19.1,1811,22.2,13,0.2,5504,67.3,845,10.3,158,1.9,1807,22.1,2159,26.4
"003904",1723,2,0.1,15,0.9,38,2.2,29,1.6,917,53.2,86,5,122,7.1,10,0.6,15,0.9,806,46.8,1,0.1,807,46.8,146,8.5,53,3.1,583,33.8,1497,86.9
"003905",1903,6,0.3,337,17.7,222,11.7,25,1.2,1319,69.3,62,3.3,1030,54.1,5,0.3,342,18,584,30.7,1,0.1,1105,58.1,217,11.4,25,1.3,505,26.5,614,32.3
"003906",386,0,0,0,0,4,1,5,1.1,234,60.6,8,2.1,10,2.6,6,1.6,1,0.3,152,39.4,0,0,151,39.1,55,14.2,14,3.6,106,27.5,352,91.2
"003907",1526,3,0.2,59,3.9,85,5.6,33,1.9,864,56.6,69,4.5,318,20.8,8,0.5,62,4.1,662,43.4,0,0,638,41.8,166,10.9,35,2.3,489,32,1077,70.6
"004901",3387,55,1.6,148,4.4,58,1.7,73,1.9,1895,55.9,133,3.9,1450,42.8,13,0.4,148,4.4,1492,44.1,2,0.1,1752,51.7,340,10,82,2.4,775,22.9,1727,51
"005901",482,2,0.4,4,0.8,0,0,6,1.2,194,40.2,37,7.7,49,10.2,4,0.8,4,0.8,288,59.8,0,0,173,35.9,58,12,24,5,136,28.2,403,83.6
"005902",958,1,0.1,4,0.4,4,0.4,1,0.1,226,23.6,48,5,79,8.2,7,0.7,4,0.4,732,76.4,0,0,292,30.5,81,8.5,15,1.6,264,27.6,852,88.9
"005904",436,0,0,27,6.2,3,0.7,0,0,180,41.3,39,8.9,129,29.6,4,0.9,27,6.2,256,58.7,0,0,155,35.6,35,8,1,0.2,169,38.8,299,68.6
"006902",335,0,0,5,1.5,8,2.4,1,0.3,172,51.3,10,3,35,10.4,3,0.9,6,1.8,163,48.7,0,0,118,35.2,40,11.9,11,3.3,94,28.1,278,83
"007901",498,0,0,30,6,0,0,11,2,374,75.1,21,4.2,458,92,0,0,31,6.2,124,24.9,0,0,336,67.5,59,11.8,0,0,146,29.3,40,8
"007902",1575,3,0.2,32,2,15,1,24,1.3,857,54.4,69,4.4,926,58.8,1,0.1,32,2,718,45.6,0,0,781,49.6,133,8.4,20,1.3,456,29,610,38.7
"007904",1598,1,0.1,156,9.8,12,0.8,31,1.7,1141,71.4,55,3.4,1277,79.9,6,0.4,166,10.4,457,28.6,3,0.2,587,36.7,120,7.5,12,0.8,492,30.8,287,18
"007905",3476,13,0.4,110,3.2,14,0.4,92,2.4,1955,56.2,156,4.5,2445,70.3,4,0.1,114,3.3,1521,43.8,2,0.1,1809,52,291,8.4,28,0.8,1029,29.6,970,27.9
"007906",1768,2,0.1,80,4.5,9,0.5,49,2.5,1352,76.5,97,5.5,1521,86,2,0.1,85,4.8,416,23.5,0,0,1096,62,146,8.3,10,0.6,514,29.1,224,12.7
"008901",2234,13,0.6,197,8.8,212,9.5,22,0.9,1054,47.2,244,10.9,667,29.9,3,0.1,198,8.9,1180,52.8,1,0,802,35.9,207,9.3,47,2.1,632,28.3,1291,57.8
"008902",2813,19,0.7,386,13.7,268,9.5,23,0.7,1640,58.3,141,5,1382,49.1,3,0.1,399,14.2,1173,41.7,2,0.1,1248,44.4,241,8.6,61,2.2,819,29.1,1078,38.3
"008903",799,4,0.5,102,12.8,76,9.5,16,1.7,500,62.6,31,3.9,398,49.8,1,0.1,107,13.4,299,37.4,0,0,337,42.2,81,10.1,16,2,243,30.4,304,38
"009901",1450,8,0.6,276,19,5,0.3,23,1.5,1183,81.6,23,1.6,1234,85.1,1,0.1,279,19.2,267,18.4,0,0,767,52.9,180,12.4,2,0.1,328,22.6,200,13.8
"010901",298,0,0,4,1.3,11,3.7,7,2.1,184,61.7,16,5.4,69,23.2,0,0,7,2.3,114,38.3,0,0,155,52,30,10.1,7,2.3,91,30.5,211,70.8
"010902",2246,12,0.5,78,3.5,14,0.6,58,2.3,1205,53.7,111,4.9,728,32.4,6,0.3,85,3.8,1041,46.3,2,0.1,1048,46.7,245,10.9,48,2.1,683,30.4,1436,63.9
"011901",10501,50,0.5,2481,23.6,468,4.5,347,3.1,6740,64.2,701,6.7,6804,64.8,28,0.3,2619,24.9,3761,35.8,3,0,6342,60.4,1087,10.4,284,2.7,2527,24.1,2864,27.3
"011902",4298,18,0.4,1197,27.9,535,12.4,86,1.8,3160,73.5,357,8.3,2724,63.4,5,0.1,1046,24.3,1138,26.5,3,0.1,2853,66.4,397,9.2,90,2.1,1265,29.4,923,21.5
"011904",1753,12,0.7,113,6.4,137,7.8,46,2.3,1101,62.8,139,7.9,548,31.3,6,0.3,115,6.6,652,37.2,1,0.1,774,44.2,149,8.5,62,3.5,429,24.5,987,56.3
"011905",343,0,0,53,15.5,5,1.5,0,0,216,63,28,8.2,159,46.4,0,0,53,15.5,127,37,0,0,163,47.5,33,9.6,4,1.2,77,22.4,175,51
"012901",594,5,0.8,5,0.8,10,1.7,3,0.5,332,55.9,10,1.7,121,20.4,2,0.3,5,0.8,262,44.1,0,0,187,31.5,67,11.3,32,5.4,163,27.4,424,71.4
"013801",443,10,2.3,10,2.3,6,1.4,0,0,355,80.1,10,2.3,354,79.9,0,0,10,2.3,88,19.9,0,0,212,47.9,29,6.5,10,2.3,0,0,63,14.2
"013901",3335,10,0.3,63,1.9,94,2.8,74,2,2598,77.9,133,4,2777,83.3,1,0,84,2.5,737,22.1,3,0.1,2120,63.6,326,9.8,32,1,911,27.3,418,12.5
"013902",317,1,0.3,7,2.2,10,3.2,0,0,266,83.9,7,2.2,244,77,1,0.3,7,2.2,51,16.1,0,0,72,22.7,16,5,3,0.9,0,0,58,18.3
"013903",408,1,0.2,3,0.7,5,1.2,20,4,292,71.6,17,4.2,267,65.4,3,0.7,3,0.7,116,28.4,0,0,282,69.1,37,9.1,1,0.2,181,44.4,131,32.1
"013905",837,8,1,11,1.3,9,1.1,7,0.8,477,57,46,5.5,560,66.9,5,0.6,11,1.3,360,43,2,0.2,312,37.3,80,9.6,5,0.6,289,34.5,248,29.6
"014801",2219,11,0.5,29,1.3,333,15,0,0,1606,72.4,0,0,1337,60.3,10,0.5,61,2.7,613,27.6,9,0.4,2052,92.5,237,10.7,31,1.4,1229,55.4,488,22
"014803",815,25,3.1,14,1.7,103,12.6,0,0,337,41.3,0,0,219,26.9,5,0.6,17,2.1,478,58.7,1,0.1,343,42.1,98,12,46,5.6,102,12.5,416,51
