state,county,population,below50,below125,below150,below185,below200,below300,below400
Indiana,LaPorte County,110026,7251,20253,24449,30450,33228,53266,68947
Indiana,Lawrence County,45552,2360,6907,9326,12411,13850,22493,30608
Indiana,Madison County,129486,7557,26033,31281,39725,43176,66500,86349
Indiana,Marion County,957337,76394,203963,258211,327081,355230,523084,650876
Indiana,Marshall County,46336,2397,7641,10618,13925,15360,23952,32227
Indiana,Martin County,10169,267,1456,1929,2584,2794,5054,6558
Indiana,Miami County,35684,2463,6521,8465,10874,11675,18124,23614
Indiana,Monroe County,147318,17218,33718,38937,46377,49790,68809,84602
Indiana,Montgomery County,38295,1600,5801,7652,10401,11713,18217,23549
Indiana,Morgan County,70141,2799,7826,10508,13952,15923,30036,41475
Indiana,Newton County,13981,951,1993,2560,4047,4458,7029,9071
Indiana,Noble County,47640,1450,5162,7467,11470,12698,24063,33083
Indiana,Ohio County,5890,258,731,887,1394,1515,2676,3456
Indiana,Orange County,19552,680,3478,4637,6137,7009,11201,14272
Indiana,Owen County,20854,1007,4267,5406,6455,7275,11805,15543
Indiana,Parke County,16912,1009,2803,4144,5007,5416,8536,10931
Indiana,Perry County,19091,847,2827,3283,4479,4892,8850,12473
Indiana,Pike County,12364,315,1686,2127,2719,2872,5798,8373
Indiana,Porter County,169482,7511,20881,25289,32777,36286,63325,89450
Indiana,Posey County,25480,1003,2972,3733,4769,5367,9979,14165
Indiana,Pulaski County,12482,657,2054,2525,3569,4145,6834,9013
Indiana,Putnam County,37419,1475,4248,6027,8036,8739,16472,21126
Indiana,Randolph County,24694,1262,3881,5115,7120,8009,12508,17224
Indiana,Ripley County,28457,1556,4343,5363,7103,8178,12919,18520
Indiana,Rush County,16632,1027,2974,3671,4786,5176,8811,11783
Indiana,St. Joseph County,270881,18514,48635,60680,77614,84581,131490,172668
Indiana,Scott County,23785,1159,5539,6535,8404,9224,12993,16497
Indiana,Shelby County,44559,1930,5767,7862,10815,11716,20515,28165
Indiana,Spencer County,20364,555,2762,3729,4869,5500,8761,12349
Indiana,Starke County,22996,2073,4953,6153,8161,9075,13668,17177
Indiana,Steuben County,34591,1456,4609,6009,8053,9344,15188,21533
Indiana,Sullivan County,20647,885,3594,5033,6827,7224,10747,13392
Indiana,Switzerland County,10727,868,3055,3472,4003,4226,6088,7696
Indiana,Tippecanoe County,193302,18588,40358,49244,61594,67715,97217,118950
Indiana,Tipton County,15154,341,1932,2580,3517,3791,5956,8147
Indiana,Union County,7140,104,725,1185,1737,1888,3502,4552
Indiana,Vanderburgh County,181548,12288,36957,43864,55344,60643,93899,119472
Indiana,Vermillion County,15485,1323,2955,3867,4831,5174,8568,10871
Indiana,Vigo County,107305,9422,24706,29022,36265,39203,56166,71259
Indiana,Wabash County,31198,1613,4781,6542,8408,9683,15224,20319
Indiana,Warren County,8219,536,1056,1290,1764,1944,3623,4900
Indiana,Warrick County,62608,1577,5394,6726,10068,11587,20436,31980
Indiana,Washington County,27942,1252,5435,6815,8877,9642,14771,19654
Indiana,Wayne County,66176,4854,13508,16478,21095,23994,37063,45900
Indiana,Wells County,28010,750,3360,4622,6492,7426,13527,18153
Indiana,White County,24163,1084,3275,4319,6585,7242,12175,17074
Indiana,Whitley County,33899,1363,4029,5360,6971,7848,14868,20215
Iowa,Adair County,7048,326,997,1388,1780,2038,3514,4569
Iowa,Adams County,3633,268,611,688,982,1121,1898,2530
Iowa,Allamakee County,13761,718,2187,2569,3783,4052,6511,9001
Iowa,Appanoose County,12462,1270,3169,3903,4769,5188,7888,9580
Iowa,Audubon County,5528,220,896,1018,1614,1787,2951,3906
Iowa,Benton County,25558,886,3054,3561,4777,5708,10081,13917
Iowa,Black Hawk County,131813,9682,25175,30992,39493,43709,64087,82157
Iowa,Boone County,26381,910,2784,3837,5024,5590,11025,15368
Iowa,Bremer County,25032,836,2227,2996,3942,4425,8538,12626
Iowa,Buchanan County,21141,736,2245,2862,4281,4902,9205,12800
Iowa,Buena Vista County,19950,647,3023,4167,6541,7373,11085,13642
Iowa,Butler County,14508,648,2111,2735,3556,4012,6752,9388
Iowa,Calhoun County,9656,525,1529,1877,2465,2672,4562,6225
Iowa,Carroll County,20150,516,2885,3641,4926,5355,8662,12276
Iowa,Cass County,12990,526,2270,2840,3751,4262,6163,8370
Iowa,Cedar County,18475,482,1932,2323,3415,3832,7366,11050
Iowa,Cerro Gordo County,42672,1526,5752,7428,10304,11721,19763,26352
Iowa,Cherokee County,11281,698,1648,2191,2892,3156,4730,6719
Iowa,Chickasaw County,11970,278,1394,1849,2524,2912,5117,7447
Iowa,Clarke County,9383,1164,1959,2747,3195,3759,5087,6609
Iowa,Clay County,16138,471,2239,2837,4484,4928,8159,10726
Iowa,Clayton County,17527,644,2796,4035,4760,5155,8781,11519
Iowa,Clinton County,46734,2485,8274,10782,13200,14487,22983,30055
Iowa,Crawford County,16998,1738,3902,4467,5550,5913,10733,12734
Iowa,Dallas County,90418,1334,6695,8824,12770,14475,24532,36338
Iowa,Davis County,8977,134,1207,1345,1869,2339,4408,5596
Iowa,Decatur County,7908,595,1561,1935,2481,2684,4419,5548
Iowa,Delaware County,17107,636,2035,2467,3314,3746,6704,9691
Iowa,Des Moines County,39227,2444,8014,8896,11145,12355,20399,26100
Iowa,Dickinson County,17260,347,1946,2689,3474,3929,6878,9697
Iowa,Dubuque County,97193,4479,12105,15782,20079,21926,37764,54353
Iowa,Emmet County,9322,372,1029,1459,1923,2260,4004,6014
Iowa,Fayette County,19604,1157,3331,4444,5696,6178,10623,13590
Iowa,Floyd County,15713,510,2490,3039,4103,4552,7410,10404
Iowa,Franklin County,10091,633,2109,2572,3126,3437,5212,7008
Iowa,Fremont County,6895,246,885,1282,1700,1873,3190,4425
Iowa,Greene County,8923,324,1314,1567,2156,2653,4595,6158
Iowa,Grundy County,12262,271,978,1341,1985,2307,4394,6877
Iowa,Guthrie County,10702,345,1428,1713,2444,2836,4767,6470
Iowa,Hamilton County,14905,476,1580,2083,2829,3390,6702,9484
Iowa,Hancock County,10709,540,1519,1801,2380,2653,4735,6866
Iowa,Hardin County,16924,788,2395,3175,4129,4670,8326,11140
Iowa,Harrison County,14043,493,1852,2319,3280,3611,5981,8603
Iowa,Henry County,19889,722,2527,3713,4840,5345,9013,12159
Iowa,Howard County,9201,368,985,1418,2192,2615,4588,6219
Iowa,Humboldt County,9518,557,1660,2122,2663,2831,4335,6093
Iowa,Ida County,6862,393,1016,1346,1839,2088,3231,4314
Iowa,Iowa County,16155,567,1821,2187,2921,3584,6942,9424
Iowa,Jackson County,19348,1081,3318,4028,4721,5426,8617,12039
Iowa,Jasper County,37032,1399,4408,5762,9052,10391,16265,21595
Iowa,Jefferson County,18153,1574,3467,4336,6191,6954,9845,12379
Iowa,Johnson County,150819,15011,30626,35855,42598,45876,64277,81303
Iowa,Jones County,20575,871,2723,3717,4584,5183,8653,12129
Iowa,Keokuk County,10163,523,1826,2232,2840,3036,5127,6904
Iowa,Kossuth County,14864,611,2384,2887,3806,4294,6910,9382
Iowa,Lee County,33946,1383,5320,7148,9484,10406,16628,22571
Iowa,Linn County,225601,8577,28514,36860,47192,53955,89348,123355
Iowa,Louisa County,11125,355,1406,1767,2575,2922,4902,7224
Iowa,Lucas County,8556,413,1584,2044,2598,3030,4246,5759
Iowa,Lyon County,11800,287,947,1505,2092,2727,5374,7327
Iowa,Madison County,16148,221,1131,1620,2797,3100,5971,8495
Iowa,Mahaska County,22351,965,3684,5003,6610,7142,11186,14452
Iowa,Marion County,33193,1065,3103,4362,5880,6735,13910,19660
Iowa,Marshall County,39804,2005,6240,7692,11005,12558,20158,26120
Iowa,Mills County,15023,254,1470,1959,2762,3302,5994,8095
Iowa,Mitchell County,10588,173,1230,1761,2683,2991,4972,6459
Iowa,Monona County,8675,386,1409,1746,2129,2377,4171,5770
Iowa,Monroe County,7761,268,1349,1553,1879,2260,3350,4951
Iowa,Montgomery County,10016,507,1977,2333,2868,3281,5263,6847
Iowa,Muscatine County,42703,2118,6039,8074,10489,12274,19795,26727
Iowa,O'Brien County,13796,392,2098,2856,3498,3735,6476,8501
Iowa,Osceola County,6016,366,856,995,1613,1752,2684,3833
Iowa,Page County,15205,865,2294,2929,3999,4411,7522,9929
Iowa,Palo Alto County,8941,106,806,1133,1608,1763,4097,5686
Iowa,Plymouth County,25141,591,2621,3361,4740,5013,9539,14152
Iowa,Pocahontas County,6725,208,1115,1385,1976,2209,3487,4406
Iowa,Polk County,485418,21804,67363,83550,110998,122855,200286,271031
Iowa,Pottawattamie County,93478,4457,13143,18206,23635,26287,41162,56651
Iowa,Poweshiek County,18391,773,2377,2949,3801,4206,6983,10031
Iowa,Ringgold County,4922,92,941,1037,1310,1705,2440,3210
Iowa,Sac County,9711,401,1416,1976,2427,2770,4482,6067
Iowa,Scott County,172938,8887,25359,31659,40089,43851,74840,99175
Iowa,Shelby County,11544,504,1457,1755,2812,2994,5166,6934
Iowa,Sioux County,34900,720,2604,3782,5710,6399,12932,19476
Iowa,Story County,97355,10451,20226,23123,26875,29002,40559,51880
Iowa,Tama County,16962,1012,2758,3426,4693,5157,8047,11122
Iowa,Taylor County,6160,167,627,810,1222,1557,2964,4208
Iowa,Union County,12303,527,1876,2532,3308,3597,5833,8130
Iowa,Van Buren County,7104,326,1362,1808,2371,2577,3817,5155
Iowa,Wapello County,35102,2475,7965,9966,12600,13654,20276,25621
Iowa,Warren County,50867,1446,4289,5381,7605,8696,15104,23776
Iowa,Washington County,22100,726,2478,3383,5068,6030,10603,14130
Iowa,Wayne County,6426,385,1363,1594,2151,2522,3914,4849
Iowa,Webster County,36348,2618,6263,8258,10354,11435,18069,22891
Iowa,Winnebago County,10474,274,1063,1600,2282,2899,4768,6410
Iowa,Winneshiek County,20090,453,2222,2605,3640,4080,7256,10163
Iowa,Woodbury County,102687,5089,17669,21920,29167,31413,50591,67190
Iowa,Worth County,7422,241,665,960,1377,1619,3210,4449
Iowa,Wright County,12644,580,2275,3310,4314,4700,6932,8722
Kansas,Allen County,12503,957,2600,3205,4236,4690,7166,8916
Kansas,Anderson County,7877,337,1572,1838,2318,2491,4551,5660
Kansas,Atchison County,16210,889,2551,3146,4099,4601,7586,10474
Kansas,Barber County,4493,423,1069,1317,1537,1624,2506,3082
Kansas,Barton County,26209,1523,4807,6855,8587,9193,13238,17768
Kansas,Bourbon County,14539,685,2883,4051,5538,6003,8936,11252
Kansas,Brown County,9575,659,1833,2403,3046,3264,5318,6896
Kansas,Butler County,66890,2647,8187,11073,14862,16631,27376,38762
Kansas,Chase County,2604,59,268,487,705,764,1383,1850
Kansas,Chautauqua County,3280,178,773,1080,1385,1557,2102,2634
Kansas,Cherokee County,20017,932,3675,5398,7200,7805,11618,15427
Kansas,Cheyenne County,2639,231,430,620,762,842,1396,1885
Kansas,Clark County,2006,95,264,375,480,546,978,1330
Kansas,Clay County,8030,302,1160,1386,2010,2347,4501,5724
Kansas,Cloud County,8831,447,1557,2266,3101,3281,5212,6385
Kansas,Coffey County,8218,352,1251,1650,2102,2375,3870,5024
Kansas,Comanche County,1759,39,178,249,313,356,791,1189
Kansas,Cowley County,35090,2149,6127,7773,10901,12029,18189,23635
Kansas,Crawford County,38874,3500,10127,11791,14666,16136,22844,27404
Kansas,Decatur County,2826,274,585,652,822,912,1494,1875
Kansas,Dickinson County,18614,655,2479,3442,4986,5494,9440,13250
Kansas,Doniphan County,7616,382,1488,1725,2061,2232,3440,4692
Kansas,Douglas County,121304,10088,23332,27837,34009,36150,52473,67598
Kansas,Edwards County,2822,101,352,618,874,974,1533,2047
Kansas,Elk County,2502,146,540,753,994,1064,1426,1895
Kansas,Ellis County,28747,1601,4913,6172,7618,8284,13681,17819
Kansas,Ellsworth County,6176,145,599,896,1340,1515,2507,3460
Kansas,Finney County,36451,2136,6388,8531,11417,12451,19807,25733
Kansas,Ford County,33718,1120,6488,8503,11275,12940,20604,25647
Kansas,Franklin County,25643,1263,3484,4803,7058,8140,12969,16955
Kansas,Geary County,33309,2189,6737,8776,11178,12400,19387,23991
Kansas,Gove County,2650,65,311,495,799,866,1538,1866
Kansas,Graham County,2464,106,579,750,842,928,1386,1794
Kansas,Grant County,7324,593,1137,1523,2059,2997,4211,4826
Kansas,Gray County,6020,99,406,607,1112,1258,2587,3773
Kansas,Greeley County,1156,76,170,256,334,373,682,849
Kansas,Greenwood County,6010,247,1180,1488,2061,2267,3592,4203
Kansas,Hamilton County,2552,172,360,501,745,866,1472,1830
Kansas,Harper County,5506,418,1066,1432,1871,1959,3161,4041
Kansas,Harvey County,34434,944,4755,6534,8769,9577,15641,21506
Kansas,Haskell County,3990,153,598,890,1292,1420,2075,2675
Kansas,Hodgeman County,1872,76,239,268,373,530,881,1199
Kansas,Jackson County,13249,420,1943,2447,3210,3545,6202,8792
Kansas,Jefferson County,18974,428,1743,2316,3681,4361,7364,10857
Kansas,Jewell County,2854,192,677,846,1062,1158,1677,2160
Kansas,Johnson County,597574,13013,40239,51385,71924,81200,155105,237605
Kansas,Kearny County,3863,303,751,960,1327,1447,2246,2849
Kansas,Kingman County,7173,172,698,881,1455,1598,3227,4697
Kansas,Kiowa County,2483,62,341,453,577,612,1190,1561
Kansas,Labette County,19938,924,4277,5386,6894,7415,12065,14723
Kansas,Lane County,1523,82,291,324,443,478,866,1139
Kansas,Leavenworth County,81499,2757,7530,9877,15074,16724,28750,40625
Kansas,Lincoln County,3013,176,512,648,782,983,1738,2219
Kansas,Linn County,9687,723,2015,2501,3244,3381,5473,6652
Kansas,Logan County,2789,176,509,619,794,943,1547,1990
Kansas,Lyon County,33237,2579,6577,8394,10065,11312,17247,23351
Kansas,McPherson County,28557,923,3453,4701,6356,7591,12727,17211
Kansas,Marion County,11865,432,1584,2076,3592,4042,6378,8112
Kansas,Marshall County,9713,153,1361,1697,2271,2471,4927,6451
Kansas,Meade County,4120,157,534,804,996,1056,2156,2896
Kansas,Miami County,33740,1172,3094,3982,5267,5949,12560,18499
Kansas,Mitchell County,6053,448,997,1214,1783,2012,3444,4263
Kansas,Montgomery County,32114,2654,7835,9487,12022,13277,18992,23463
Kansas,Morris County,5551,222,718,1007,1455,1782,2620,3581
Kansas,Morton County,2656,178,570,631,1016,1084,1595,1900
Kansas,Nemaha County,10109,324,1076,1493,1862,2206,4147,5885
Kansas,Neosho County,16008,791,3200,4071,5380,5834,9243,11249
Kansas,Ness County,2838,113,516,612,770,913,1454,1882
Kansas,Norton County,5416,166,575,739,1273,1279,2499,3261
Kansas,Osage County,15855,1054,2571,3194,4048,4467,7731,10258
Kansas,Osborne County,3494,184,632,813,1036,1105,1870,2502
Kansas,Ottawa County,5776,349,912,1144,1404,1561,2692,3558
Kansas,Pawnee County,6539,187,687,1220,1705,1967,3080,3773
Kansas,Phillips County,5297,225,938,1075,1362,1439,2640,3630
Kansas,Pottawatomie County,24203,726,2506,3308,5422,5980,10493,14096
Kansas,Pratt County,9324,436,1384,1833,2891,3193,4916,6181
Kansas,Rawlins County,2490,71,363,647,796,845,1411,1640
Kansas,Reno County,62421,3283,10596,13826,18572,20543,33076,42864
Kansas,Republic County,4607,190,733,967,1145,1282,2295,3250
Kansas,Rice County,9532,332,1511,1919,2509,2762,4799,6383
Kansas,Riley County,74059,8070,17712,20814,24837,26597,36444,44653
Kansas,Rooks County,4985,88,526,827,1260,1397,2874,3604
Kansas,Rush County,2953,113,407,542,777,826,1655,2119
Kansas,Russell County,6896,425,1160,1488,1995,2134,3619,4898
Kansas,Saline County,54384,2021,8295,11638,16238,17926,27004,36428
Kansas,Scott County,4893,82,641,1195,1579,1612,2652,3453
Kansas,Sedgwick County,515416,31318,91628,112510,146568,161713,260784,335527
Kansas,Seward County,21902,1445,4389,5691,7470,8580,14497,17118
Kansas,Shawnee County,177293,7764,25785,33299,43724,48778,80830,109887
Kansas,Sheridan County,2515,60,273,401,584,627,1008,1505
Kansas,Sherman County,5904,141,563,749,990,1036,2617,3622
Kansas,Smith County,3594,147,528,670,1029,1124,1963,2521
Kansas,Stafford County,4125,144,846,980,1128,1298,2038,2768
Kansas,Stanton County,2030,292,451,530,632,705,1099,1346
Kansas,Stevens County,5498,351,1001,1328,2202,2434,3416,4059
Kansas,Sumner County,22928,1034,4125,5025,6930,7448,10943,15104
Kansas,Thomas County,7748,353,930,1300,1647,1783,3593,4407
Kansas,Trego County,2802,36,262,454,592,656,1288,1678
Kansas,Wabaunsee County,6877,183,600,784,1285,1346,3095,4427
Kansas,Wallace County,1583,98,267,370,522,548,851,1069
Kansas,Washington County,5474,177,713,943,1376,1880,3104,3919
Kansas,Wichita County,2112,23,216,335,447,464,938,1395
Kansas,Wilson County,8600,542,1619,2086,2947,3330,4663,6052
Kansas,Woodson County,3117,181,530,783,1012,1096,1810,2425
Kansas,Wyandotte County,165447,11358,42072,51311,65379,71288,100640,123577
Kentucky,Adair County,19366,738,4806,5802,6945,7758,10980,13646
Kentucky,Allen County,21065,2114,4905,5998,7679,8388,12524,15225
Kentucky,Anderson County,22580,1446,4362,5166,6709,7979,11913,15068
Kentucky,Ballard County,7914,600,1634,2359,2645,2876,4263,5293
Kentucky,Barren County,44026,4713,12946,15330,18961,19887,29046,34471
Kentucky,Bath County,12421,1390,3606,4275,5315,5555,8452,9732
Kentucky,Bell County,26426,3104,9747,11683,14170,15039,19921,22451
Kentucky,Boone County,132368,3873,12183,16215,21919,24254,44853,65107
Kentucky,Bourbon County,19998,1156,3788,5638,7035,7444,10698,13233
Kentucky,Boyd County,47361,3241,9725,12283,15363,16277,24497,32722
Kentucky,Boyle County,30090,1538,5345,6913,9213,9795,14695,18124
Kentucky,Bracken County,8308,674,1972,2436,2746,2904,3682,5901
Kentucky,Breathitt County,12802,1802,5001,5636,6744,7120,9087,10240
Kentucky,Breckinridge County,20283,1375,4862,6090,7572,8060,11364,14031
Kentucky,Bullitt County,80921,2765,10669,13764,17500,19174,32856,48430
Kentucky,Butler County,12756,1049,2881,3520,4762,5109,7406,9367
Kentucky,Caldwell County,12679,1132,3059,3445,4143,4362,7233,8746
Kentucky,Calloway County,38991,2654,9114,10720,13210,14229,21035,26170
Kentucky,Campbell County,93608,5503,13822,16500,21243,22851,36979,51754
Kentucky,Carlisle County,4738,344,1297,1603,1861,2035,2904,3764
Kentucky,Carroll County,10691,1249,2960,3398,3904,4504,6039,7455
Kentucky,Carter County,26976,3305,8098,9481,10989,12202,16410,19576
Kentucky,Casey County,15968,1287,5938,6882,8333,8767,11091,13217
Kentucky,Christian County,71470,5510,16983,22244,27050,29446,42403,50708
Kentucky,Clark County,36152,2564,7134,8527,11313,12266,18215,24091
Kentucky,Clay County,20110,2806,7862,9091,10182,11685,14610,16791
Kentucky,Clinton County,10175,937,3136,4152,5248,5412,7057,8480
Kentucky,Crittenden County,8940,408,1714,2403,3103,3388,5132,6338
Kentucky,Cumberland County,6660,520,1786,2331,2712,3067,4425,5187
Kentucky,Daviess County,101001,7392,20373,25441,31205,33133,51232,66936
Kentucky,Edmonson County,12195,888,2684,3612,4850,5462,7536,9430
Kentucky,Elliott County,7461,722,2023,2320,2690,3010,3871,5197
Kentucky,Estill County,14187,1436,4904,5567,7185,7476,9964,11663
Kentucky,Fayette County,322200,23287,63235,73814,91843,101205,147630,186389
Kentucky,Fleming County,14519,1078,3944,4642,5558,6312,9135,11249
Kentucky,Floyd County,35931,5237,12234,14049,16136,16886,25960,29617
Kentucky,Franklin County,50744,3331,7830,9850,12434,14200,23584,30169
Kentucky,Fulton County,6064,774,1842,2311,2846,2917,4078,4800
Kentucky,Gallatin County,8760,658,1577,2200,2832,3015,4838,6705
Kentucky,Garrard County,17554,1024,3504,4103,5308,5669,8648,12144
Kentucky,Grant County,25107,1603,4673,5695,7783,8605,13393,17225
Kentucky,Graves County,37125,2971,9576,11567,13884,14963,21422,27140
Kentucky,Grayson County,26313,2280,7771,9392,11601,12453,17111,20313
Kentucky,Green County,11000,827,3288,4122,4954,5352,7278,8703
Kentucky,Greenup County,35359,2738,7304,8469,10525,12044,18337,24131
Kentucky,Hancock County,8748,864,1694,2071,2341,2603,4364,6120
Kentucky,Hardin County,109627,5042,17640,22012,29254,32787,55111,70893
Kentucky,Harlan County,26307,3690,10527,12475,14290,15276,19673,22250
Kentucky,Harrison County,18763,1243,4116,5119,6128,6275,9962,12555
Kentucky,Hart County,18833,1514,5694,6676,8173,8789,11871,14543
Kentucky,Henderson County,45550,3564,9880,11325,14102,16407,23666,31609
Kentucky,Henry County,15999,1238,3563,4426,5793,6330,9593,11907
Kentucky,Hickman County,4461,280,1260,1426,1783,1864,2547,3107
Kentucky,Hopkins County,45044,4824,10897,13028,16766,18499,25765,31437
Kentucky,Jackson County,13368,1544,4834,5425,6543,6893,9610,11619
Kentucky,Jefferson County,768419,47386,135840,165789,207625,227508,355549,465677
Kentucky,Jessamine County,53476,2638,8340,10124,14223,15499,24446,32573
Kentucky,Johnson County,22427,1857,6747,8349,9493,10027,13347,16871
Kentucky,Kenton County,166552,9254,24736,30149,38058,41645,70174,96809
Kentucky,Knott County,15041,1842,5821,6729,7861,8293,10772,12199
Kentucky,Knox County,31288,5391,12790,14204,16209,17275,21990,25514
Kentucky,Larue County,14269,1218,2992,3518,4424,5376,8249,10859
Kentucky,Laurel County,60631,6934,16360,20240,24919,27048,37020,44606
Kentucky,Lawrence County,15604,1779,5073,5674,7759,8371,11196,12716
Kentucky,Lee County,7088,993,2807,3340,3725,3896,5148,5834
Kentucky,Leslie County,10081,927,3341,4095,4729,5070,7021,8363
Kentucky,Letcher County,21936,3034,8032,9085,10657,11469,15460,17678
Kentucky,Lewis County,13345,1935,4776,6341,7186,7368,9605,10817
Kentucky,Lincoln County,24493,1565,6488,7884,10468,11062,15477,19156
Kentucky,Livingston County,9172,636,1814,2076,2993,3259,4661,6234
Kentucky,Logan County,27049,1645,5839,7432,9113,9943,15207,20556
Kentucky,Lyon County,8226,344,1099,1438,2056,2444,3566,4215
Kentucky,McCracken County,65485,4027,13707,17455,22256,24468,34549,43046
Kentucky,McCreary County,17333,2301,6730,8080,9864,10256,12342,13688
Kentucky,McLean County,9202,563,1661,1939,2747,3109,4533,6098
Kentucky,Madison County,92090,6939,18987,22374,27439,29252,46644,58343
Kentucky,Magoffin County,12346,1386,4458,5632,7097,7634,9668,10893
Kentucky,Marion County,19257,1476,4931,5758,7363,7814,11395,13527
Kentucky,Marshall County,31225,1668,4426,6085,8113,8615,13771,19229
Kentucky,Martin County,11421,809,2190,3134,4326,4672,6761,8302
Kentucky,Mason County,17122,1130,3686,4746,5882,6840,9097,10920
Kentucky,Meade County,28379,1468,4567,5554,7190,8136,13091,18390
Kentucky,Menifee County,6463,349,1754,2173,2829,2903,4067,5322
Kentucky,Mercer County,21690,1167,3837,4667,5943,6600,10585,13854
Kentucky,Metcalfe County,10062,974,2708,3547,4699,4965,6381,8226
Kentucky,Monroe County,10616,1142,3079,3767,4689,4924,6577,8030
Kentucky,Montgomery County,28042,1991,6232,7949,9999,10530,16544,21310
Kentucky,Morgan County,13270,1099,3394,4029,5241,5457,7671,8915
Kentucky,Muhlenberg County,30815,1976,5996,8289,10745,11637,17117,22324
Kentucky,Nelson County,45915,1695,5127,6812,10058,11299,21214,29495
Kentucky,Nicholas County,7189,373,1882,2413,3010,3269,4531,5454
Kentucky,Ohio County,24081,1768,5523,6836,9638,10909,15088,18788
Kentucky,Oldham County,66508,972,3973,5290,6933,8287,14675,24663
Kentucky,Owen County,10847,1078,2336,2740,3957,4223,6440,7660
Kentucky,Owsley County,4416,469,1446,1702,2275,2435,3038,3428
Kentucky,Pendleton County,14587,1219,2794,3437,4378,4493,7636,10160
Kentucky,Perry County,26266,2365,7200,8562,11496,11787,16366,19427
Kentucky,Pike County,58595,6231,18699,21585,26139,27861,38809,45722
Kentucky,Powell County,12283,1435,3398,3728,4490,4799,7006,8973
Kentucky,Pulaski County,64789,6216,18680,21256,24896,27067,39960,48998
Kentucky,Robertson County,2139,264,603,638,762,810,1192,1485
Kentucky,Rockcastle County,16795,1506,4889,5695,7058,7701,10705,12835
Kentucky,Rowan County,24534,1854,7050,8385,9543,9875,13252,15518
Kentucky,Russell County,17846,1445,4582,5608,7227,7658,10933,13301
Kentucky,Scott County,55961,2375,6975,8499,10262,11390,21148,31051
Kentucky,Shelby County,48100,2272,6301,8724,12595,13829,20584,27360
Kentucky,Simpson County,18319,1163,2680,3406,5195,6015,10167,13645
Kentucky,Spencer County,18945,733,2030,2960,3742,4258,6819,9669
Kentucky,Taylor County,25572,1399,5511,6240,7894,8534,13605,17377
Kentucky,Todd County,12334,1210,2993,3378,4545,4738,7664,9036
Kentucky,Trigg County,14569,650,2764,3452,4022,4752,7666,10087
Kentucky,Trimble County,8528,764,1863,2055,2474,2900,4478,6187
Kentucky,Union County,14582,1768,2974,3783,5408,5920,8706,10553
Kentucky,Warren County,130836,9400,28047,33627,42184,44603,65851,83469
Kentucky,Washington County,12044,640,1942,2545,3003,3432,6151,8245
Kentucky,Wayne County,20447,1869,5920,7323,9275,10486,14430,16520
Kentucky,Webster County,13021,935,3246,3999,4836,5278,7561,9486
Kentucky,Whitley County,36252,3175,9016,11929,15119,16531,22912,27910
Kentucky,Wolfe County,7188,1039,3436,4009,4417,4675,5586,6175
Kentucky,Woodford County,26486,917,3336,4471,5759,6159,10675,15265
Louisiana,Acadia Parish,62371,7517,18416,21110,24972,27169,35979,45089
Louisiana,Allen Parish,25572,1291,4210,5338,7309,8068,11875,14531
Louisiana,Ascension Parish,125061,6836,15358,18991,24309,26230,44285,59496
Louisiana,Assumption Parish,22236,1707,5468,7192,8547,8885,12397,15043
Louisiana,Avoyelles Parish,40465,3925,11658,14429,17111,18273,24452,28125
Louisiana,Beauregard Parish,37387,2360,6701,9553,11289,12550,18870,24965
Louisiana,Bienville Parish,13391,2078,5011,5972,6734,7193,8872,10185
Louisiana,Bossier Parish,126952,8847,27130,32360,40561,44578,62867,82541
Louisiana,Caddo Parish,243243,21092,69931,82143,99568,106590,145096,171925
Louisiana,Calcasieu Parish,202858,14617,42620,51969,66530,72170,103787,131601
Louisiana,Caldwell Parish,9959,747,2715,3357,3642,3733,6040,6666
Louisiana,Cameron Parish,6963,184,1084,1859,2203,2225,3459,4338
Louisiana,Catahoula Parish,9586,752,2475,2747,3155,3352,5112,6116
Louisiana,Claiborne Parish,15854,1411,5950,6853,8206,8518,10678,11798
Louisiana,Concordia Parish,19533,2330,6911,8355,9216,9725,12235,14239
Louisiana,De Soto Parish,27395,2780,7075,8729,10631,11980,16800,20210
Louisiana,East Baton Rouge Parish,443158,35081,95110,111080,140461,151088,215982,267212
Louisiana,East Carroll Parish,6947,1224,2392,2691,2877,2952,3217,3445
Louisiana,East Feliciana Parish,19228,1353,2881,3266,4510,4978,7711,9855
Louisiana,Evangeline Parish,33491,3360,11956,14265,16115,17689,22801,26330
Louisiana,Franklin Parish,20109,2816,6548,7800,9300,10151,12324,14517
Louisiana,Grant Parish,22339,1239,4666,5307,6302,7357,11564,13685
Louisiana,Iberia Parish,70763,7130,19686,22773,27754,30686,42590,50625
Louisiana,Iberville Parish,32626,1970,6595,8071,10213,11198,15933,20066
Louisiana,Jackson Parish,15822,1369,3880,4570,5897,6506,8895,10660
Louisiana,Jefferson Parish,434903,28666,85100,103091,130956,144338,215890,276011
Louisiana,Jefferson Davis Parish,31425,2650,7563,8531,10462,12573,17692,22038
Louisiana,Lafayette Parish,243692,17758,50238,60633,74816,81422,115751,150581
Louisiana,Lafourche Parish,97980,6241,20880,25912,31480,34297,50729,64886
Louisiana,LaSalle Parish,14950,802,2988,3689,4281,5053,7616,9211
Louisiana,Lincoln Parish,47118,7235,15799,17900,20493,21975,28512,33266
Louisiana,Livingston Parish,140524,6507,19535,26021,33341,37040,59451,82979
