DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"001902",577,3,0.5,1,0.2,27,4.7,4,0.6,210,36.4,60,10.4,37,6.4,0,0,1,0.2,367,63.6,0,0,206,35.7,76,13.2,32,5.5,181,31.4,478,82.8
"001903",1217,13,1.1,16,1.3,64,5.3,5,0.4,648,53.2,47,3.9,108,8.9,1,0.1,16,1.3,569,46.8,2,0.2,406,33.4,126,10.4,38,3.1,273,22.4,991,81.4
"001904",803,7,0.9,19,2.4,89,11.1,9,1.1,446,55.5,46,5.7,83,10.3,4,0.5,19,2.4,357,44.5,0,0,334,41.6,78,9.7,32,4,213,26.5,588,73.2
"001906",370,1,0.3,3,0.8,30,8.1,2,0.5,156,42.2,24,6.5,41,11.1,0,0,3,0.8,214,57.8,0,0,117,31.6,41,11.1,6,1.6,118,31.9,292,78.9
"001907",3352,29,0.9,470,14,911,27.2,79,2.1,2458,73.3,103,3.1,1311,39.1,47,1.4,523,15.6,894,26.7,3,0.1,2069,61.7,292,8.7,93,2.8,1096,32.7,958,28.6
"001908",1595,13,0.8,86,5.4,277,17.4,26,1.5,1020,63.9,33,2.1,398,25,5,0.3,95,6,575,36.1,0,0,796,49.9,148,9.3,57,3.6,334,20.9,845,53
"001909",389,0,0,0,0,5,1.3,7,1.6,163,41.9,16,4.1,22,5.7,4,1,0,0,226,58.1,0,0,138,35.5,48,12.3,8,2.1,148,38,350,90
"002901",4006,14,0.3,526,13.1,60,1.5,32,0.8,1464,36.5,119,3,2670,66.7,7,0.2,507,12.7,2542,63.5,0,0,1690,42.2,256,6.4,59,1.5,867,21.6,1196,29.9
"003801",811,19,2.3,41,5.1,134,16.5,0,0,407,50.2,60,7.4,140,17.3,0,0,41,5.1,404,49.8,1,0.1,273,33.7,49,6,15,1.8,75,9.2,502,61.9
"003902",2816,24,0.9,168,6,191,6.8,64,2.1,1499,53.2,148,5.3,647,23,25,0.9,178,6.3,1317,46.8,1,0,988,35.1,200,7.1,38,1.3,694,24.6,1890,67.1
"003903",8322,143,1.7,1946,23.4,2413,29,316,3.5,6152,73.9,876,10.5,3268,39.3,19,0.2,1548,18.6,2170,26.1,10,0.1,5105,61.3,871,10.5,167,2,1640,19.7,2302,27.7
"003904",1755,2,0.1,17,1,29,1.7,27,1.4,888,50.6,91,5.2,116,6.6,9,0.5,17,1,867,49.4,0,0,810,46.2,169,9.6,40,2.3,537,30.6,1559,88.8
"003905",1930,6,0.3,353,18.3,232,12,31,1.4,1296,67.2,75,3.9,1039,53.8,2,0.1,366,19,634,32.8,2,0.1,1146,59.4,213,11,30,1.6,475,24.6,619,32.1
"003906",412,0,0,0,0,4,1,0,0,245,59.5,20,4.9,16,3.9,3,0.7,0,0,167,40.5,0,0,184,44.7,57,13.8,8,1.9,138,33.5,381,92.5
"003907",1575,1,0.1,52,3.3,98,6.2,33,1.9,837,53.1,58,3.7,315,20,7,0.4,52,3.3,738,46.9,0,0,703,44.6,162,10.3,30,1.9,437,27.7,1124,71.4
"004901",3246,71,2.2,116,3.6,48,1.5,131,3.6,1801,55.5,130,4,1305,40.2,12,0.4,117,3.6,1445,44.5,1,0,1594,49.1,282,8.7,79,2.4,882,27.2,1730,53.3
"005901",482,0,0,6,1.2,4,0.8,8,1.6,179,37.1,37,7.7,42,8.7,3,0.6,8,1.7,303,62.9,0,0,152,31.5,52,10.8,21,4.4,137,28.4,412,85.5
"005902",901,1,0.1,3,0.3,3,0.3,4,0.4,213,23.6,48,5.3,61,6.8,3,0.3,3,0.3,688,76.4,0,0,319,35.4,81,9,15,1.7,211,23.4,818,90.8
"005904",458,1,0.2,38,8.3,1,0.2,0,0,158,34.5,36,7.9,130,28.4,5,1.1,38,8.3,300,65.5,0,0,200,43.7,35,7.6,2,0.4,198,43.2,319,69.7
"006902",357,0,0,3,0.8,9,2.5,2,0.5,146,40.9,9,2.5,45,12.6,2,0.6,3,0.8,211,59.1,0,0,119,33.3,37,10.4,8,2.2,92,25.8,293,82.1
"007901",513,0,0,27,5.3,1,0.2,6,1,356,69.4,11,2.1,447,87.1,0,0,32,6.2,157,30.6,0,0,349,68,53,10.3,3,0.6,123,24,62,12.1
"007902",1633,2,0.1,35,2.1,16,1,29,1.6,919,56.3,83,5.1,956,58.5,3,0.2,35,2.1,714,43.7,0,0,767,47,133,8.1,14,0.9,500,30.6,642,39.3
"007904",1720,0,0,138,8,16,0.9,38,2,1228,71.4,75,4.4,1368,79.5,8,0.5,146,8.5,492,28.6,4,0.2,897,52.2,113,6.6,9,0.5,545,31.7,315,18.3
"007905",3568,16,0.4,109,3.1,17,0.5,75,1.9,1820,51,149,4.2,2485,69.6,8,0.2,110,3.1,1748,49,0,0,1677,47,256,7.2,29,0.8,961,26.9,1013,28.4
"007906",1742,2,0.1,70,4,5,0.3,35,1.8,1336,76.7,93,5.3,1476,84.7,6,0.3,78,4.5,406,23.3,0,0,1024,58.8,134,7.7,8,0.5,478,27.4,245,14.1
"008901",2159,6,0.3,182,8.4,219,10.1,25,1.1,996,46.1,230,10.7,611,28.3,7,0.3,182,8.4,1163,53.9,1,0,906,42,173,8,48,2.2,546,25.3,1267,58.7
"008902",2793,11,0.4,341,12.2,289,10.3,41,1.4,1585,56.7,159,5.7,1310,46.9,6,0.2,348,12.5,1208,43.3,2,0.1,1275,45.6,226,8.1,53,1.9,670,24,1122,40.2
"008903",836,6,0.7,93,11.1,84,10,6,0.7,475,56.8,24,2.9,399,47.7,0,0,96,11.5,361,43.2,0,0,368,44,57,6.8,18,2.2,249,29.8,329,39.4
"009901",1423,10,0.7,276,19.4,7,0.5,41,2.6,1210,85,30,2.1,1183,83.1,0,0,278,19.5,213,15,0,0,732,51.4,153,10.8,1,0.1,308,21.6,222,15.6
"010901",268,0,0,19,7.1,4,1.5,3,0.9,163,60.8,13,4.9,66,24.6,1,0.4,19,7.1,105,39.2,0,0,118,44,32,11.9,8,3,93,34.7,189,70.5
"010902",2272,9,0.4,83,3.7,11,0.5,42,1.6,1152,50.7,132,5.8,711,31.3,13,0.6,87,3.8,1120,49.3,2,0.1,1034,45.5,231,10.2,29,1.3,637,28,1497,65.9
"011901",9905,52,0.5,2069,20.9,554,5.6,263,2.5,6640,67,700,7.1,5948,60.1,40,0.4,2255,22.8,3265,33,6,0.1,6300,63.6,1057,10.7,261,2.6,2303,23.3,3044,30.7
"011902",4258,15,0.4,930,21.8,568,13.3,139,3.1,3104,72.9,355,8.3,2479,58.2,7,0.2,891,20.9,1154,27.1,3,0.1,2826,66.4,381,8.9,102,2.4,1281,30.1,1084,25.5
"011904",1758,8,0.5,83,4.7,131,7.5,52,2.7,1003,57.1,125,7.1,526,29.9,6,0.3,85,4.8,755,42.9,1,0.1,719,40.9,137,7.8,65,3.7,408,23.2,1021,58.1
