DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"001902",553,6,1.1,2,0.4,27,4.9,2,0.3,210,38,54,9.8,39,7.1,0,0,2,0.4,343,62,0,0,204,36.9,76,13.7,30,5.4,180,32.5,451,81.6
"001903",1207,12,1,12,1,51,4.2,3,0.2,622,51.5,46,3.8,109,9,2,0.2,12,1,585,48.5,2,0.2,501,41.5,107,8.9,38,3.1,232,19.2,993,82.3
"001904",762,2,0.3,15,2,93,12.2,5,0.6,445,58.4,40,5.2,66,8.7,3,0.4,15,2,317,41.6,0,0,323,42.4,74,9.7,27,3.5,219,28.7,571,74.9
"001906",389,2,0.5,3,0.8,25,6.4,5,1.1,150,38.6,27,6.9,42,10.8,0,0,3,0.8,239,61.4,0,0,128,32.9,35,9,6,1.5,161,41.4,314,80.7
"001907",3263,24,0.7,403,12.4,914,28,116,3.1,2476,75.9,114,3.5,1260,38.6,44,1.3,443,13.6,787,24.1,1,0,2053,62.9,255,7.8,73,2.2,799,24.5,947,29
"001908",1602,9,0.6,75,4.7,281,17.5,23,1.3,988,61.7,52,3.2,353,22,5,0.3,84,5.2,614,38.3,3,0.2,745,46.5,160,10,66,4.1,330,20.6,885,55.2
"001909",412,0,0,1,0.2,7,1.7,2,0.4,197,47.8,17,4.1,22,5.3,1,0.2,1,0.2,215,52.2,0,0,141,34.2,49,11.9,13,3.2,164,39.8,369,89.6
"002901",3758,13,0.3,502,13.4,53,1.4,40,1,1580,42,119,3.2,2493,66.3,11,0.3,443,11.8,2178,58,1,0,1595,42.4,248,6.6,59,1.6,629,16.7,1128,30
"003801",701,16,2.3,21,3,122,17.4,0,0,344,49.1,22,3.1,107,15.3,1,0.1,21,3,357,50.9,1,0.1,250,35.7,46,6.6,10,1.4,39,5.6,444,63.3
"003902",2774,27,1,182,6.6,160,5.8,57,1.9,1496,53.9,163,5.9,647,23.3,27,1,190,6.8,1278,46.1,1,0,1016,36.6,172,6.2,44,1.6,675,24.3,1868,67.3
"003903",8383,122,1.5,1913,22.8,2393,28.5,407,4.4,6164,73.5,866,10.3,3332,39.7,19,0.2,1533,18.3,2219,26.5,10,0.1,5122,61.1,880,10.5,160,1.9,1614,19.3,2347,28
"003904",1760,3,0.2,16,0.9,47,2.7,30,1.6,916,52,102,5.8,103,5.9,7,0.4,16,0.9,844,48,0,0,814,46.3,175,9.9,42,2.4,587,33.4,1558,88.5
"003905",1982,6,0.3,357,18,234,11.8,39,1.8,1499,75.6,85,4.3,1065,53.7,2,0.1,371,18.7,483,24.4,0,0,1061,53.5,186,9.4,24,1.2,432,21.8,651,32.8
"003906",410,0,0,0,0,3,0.7,0,0,242,59,19,4.6,15,3.7,2,0.5,0,0,168,41,0,0,150,36.6,46,11.2,6,1.5,122,29.8,384,93.7
"003907",1592,1,0.1,47,3,107,6.7,35,2.1,853,53.6,68,4.3,292,18.3,5,0.3,49,3.1,739,46.4,0,0,743,46.7,157,9.9,20,1.3,398,25,1167,73.3
"004901",3212,78,2.4,121,3.8,37,1.2,148,4.2,1785,55.6,125,3.9,1316,41,12,0.4,121,3.8,1427,44.4,0,0,1361,42.4,280,8.7,66,2.1,839,26.1,1703,53
"005901",487,0,0,6,1.2,2,0.4,9,1.7,188,38.6,35,7.2,43,8.8,3,0.6,6,1.2,299,61.4,0,0,187,38.4,54,11.1,26,5.3,152,31.2,413,84.8
"005902",892,1,0.1,1,0.1,3,0.3,7,0.7,243,27.2,33,3.7,71,8,7,0.8,1,0.1,649,72.8,0,0,309,34.6,89,10,13,1.5,224,25.1,797,89.3
"005904",461,0,0,39,8.5,0,0,0,0,186,40.3,38,8.2,136,29.5,5,1.1,39,8.5,275,59.7,0,0,206,44.7,35,7.6,1,0.2,171,37.1,319,69.2
"006902",369,0,0,3,0.8,8,2.2,3,0.8,150,40.7,10,2.7,43,11.7,2,0.5,3,0.8,219,59.3,0,0,148,40.1,45,12.2,10,2.7,102,27.6,306,82.9
"007901",534,0,0,25,4.7,0,0,9,1.6,381,71.3,13,2.4,449,84.1,1,0.2,30,5.6,153,28.7,0,0,362,67.8,49,9.2,3,0.6,118,22.1,81,15.2
"007902",1552,3,0.2,35,2.3,11,0.7,22,1.3,870,56.1,88,5.7,913,58.8,4,0.3,35,2.3,682,43.9,1,0.1,659,42.5,128,8.2,17,1.1,454,29.3,603,38.9
"007904",1762,0,0,133,7.5,13,0.7,41,2.2,1259,71.5,84,4.8,1408,79.9,7,0.4,143,8.1,503,28.5,3,0.2,965,54.8,116,6.6,6,0.3,542,30.8,325,18.4
"007905",3517,15,0.4,112,3.2,13,0.4,82,2.1,2149,61.1,161,4.6,2452,69.7,7,0.2,112,3.2,1368,38.9,0,0,1701,48.4,242,6.9,27,0.8,928,26.4,1003,28.5
"007906",1758,2,0.1,65,3.7,6,0.3,60,3.1,1439,81.9,89,5.1,1484,84.4,2,0.1,71,4,319,18.1,1,0.1,1030,58.6,130,7.4,10,0.6,635,36.1,253,14.4
"008901",2121,5,0.2,172,8.1,227,10.7,28,1.3,971,45.8,235,11.1,578,27.3,7,0.3,174,8.2,1150,54.2,0,0,937,44.2,169,8,55,2.6,558,26.3,1249,58.9
"008902",2766,8,0.3,323,11.7,277,10,27,0.9,1536,55.5,154,5.6,1296,46.9,6,0.2,328,11.9,1230,44.5,2,0.1,1318,47.7,221,8,49,1.8,558,20.2,1128,40.8
"008903",822,6,0.7,95,11.6,75,9.1,18,2,464,56.4,19,2.3,408,49.6,0,0,98,11.9,358,43.6,0,0,313,38.1,43,5.2,19,2.3,215,26.2,314,38.2
"009901",1461,9,0.6,273,18.7,4,0.3,27,1.7,1232,84.3,39,2.7,1198,82,0,0,278,19,229,15.7,0,0,840,57.5,149,10.2,1,0.1,323,22.1,249,17
"010901",270,0,0,16,5.9,4,1.5,7,2.1,151,55.9,16,5.9,71,26.3,1,0.4,19,7,119,44.1,0,0,100,37,29,10.7,6,2.2,76,28.1,188,69.6
"010902",2369,12,0.5,89,3.8,12,0.5,61,2.3,1211,51.1,140,5.9,726,30.6,14,0.6,90,3.8,1158,48.9,1,0,1027,43.4,229,9.7,35,1.5,631,26.6,1569,66.2
"011901",9546,55,0.6,1902,19.9,513,5.4,322,3.2,6531,68.4,744,7.8,5527,57.9,46,0.5,2068,21.7,3015,31.6,3,0,5848,61.3,1032,10.8,244,2.6,1495,15.7,3158,33.1
"011902",4178,16,0.4,778,18.6,533,12.8,122,2.7,2997,71.7,361,8.6,2373,56.8,8,0.2,793,19,1181,28.3,2,0,2520,60.3,358,8.6,99,2.4,937,22.4,1147,27.5
"011904",1799,7,0.4,73,4.1,141,7.8,44,2.3,1049,58.3,127,7.1,480,26.7,9,0.5,74,4.1,750,41.7,2,0.1,770,42.8,160,8.9,60,3.3,426,23.7,1100,61.1
"011905",210,0,0,53,25.2,1,0.5,0,0,156,74.3,8,3.8,113,53.8,0,0,56,26.7,54,25.7,0,0,133,63.3,14,6.7,1,0.5,0,0,95,45.2
"012901",570,2,0.4,0,0,13,2.3,1,0.2,303,53.2,21,3.7,114,20,3,0.5,0,0,267,46.8,0,0,178,31.2,62,10.9,19,3.3,155,27.2,419,73.5
"013801",434,13,3,2,0.5,5,1.2,0,0,333,76.7,16,3.7,350,80.6,0,0,2,0.5,101,23.3,0,0,206,47.5,30,6.9,4,0.9,0,0,62,14.3
"013901",3364,14,0.4,96,2.9,72,2.1,73,1.9,2500,74.3,196,5.8,2788,82.9,8,0.2,119,3.5,864,25.7,2,0.1,2206,65.6,311,9.2,23,0.7,1078,32,457,13.6
