DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"013902",164,0,0,1,0.6,0,0,0,0,89,54.3,7,4.3,127,77.4,0,0,1,0.6,75,45.7,0,0,62,37.8,15,9.1,2,1.2,0,0,35,21.3
"013903",438,1,0.2,3,0.7,10,2.3,10,2.1,262,59.8,19,4.3,273,62.3,0,0,3,0.7,176,40.2,0,0,269,61.4,56,12.8,8,1.8,136,31.1,146,33.3
"013905",789,4,0.5,11,1.4,8,1,11,1.2,440,55.8,38,4.8,512,64.9,7,0.9,11,1.4,349,44.2,2,0.3,336,42.6,81,10.3,2,0.3,239,30.3,254,32.2
"014801",132,1,0.8,1,0.8,49,37.1,0,0,90,68.2,0,0,45,34.1,0,0,1,0.8,42,31.8,2,1.5,111,84.1,23,17.4,6,4.5,37,28,29,22
"014802",91,1,1.1,0,0,38,41.8,0,0,62,68.1,0,0,32,35.2,0,0,0,0,29,31.9,1,1.1,90,98.9,6,6.6,3,3.3,26,28.6,16,17.6
"014803",885,10,1.1,0,0,145,16.4,0,0,463,52.3,0,0,223,25.2,2,0.2,1,0.1,422,47.7,0,0,118,13.3,90,10.2,48,5.4,23,2.6,457,51.6
"014804",1206,22,1.8,10,0.8,66,5.5,0,0,307,25.5,0,0,246,20.4,7,0.6,15,1.2,899,74.5,1,0.1,497,41.2,147,12.2,28,2.3,3,0.2,836,69.3
"014901",1270,8,0.6,55,4.3,29,2.3,9,0.7,461,36.3,100,7.9,277,21.8,9,0.7,57,4.5,809,63.7,4,0.3,435,34.3,90,7.1,32,2.5,284,22.4,911,71.7
"014902",395,0,0,43,10.9,45,11.4,8,1.7,288,72.9,7,1.8,244,61.8,1,0.3,44,11.1,107,27.1,0,0,249,63,37,9.4,8,2,132,33.4,97,24.6
"014903",10305,160,1.6,697,6.8,672,6.5,159,1.4,5195,50.4,872,8.5,3350,32.5,75,0.7,711,6.9,5110,49.6,24,0.2,4637,45,1082,10.5,384,3.7,2197,21.3,5640,54.7
"014905",630,3,0.5,19,3,19,3,4,0.6,320,50.8,42,6.7,196,31.1,1,0.2,19,3,310,49.2,0,0,213,33.8,51,8.1,7,1.1,184,29.2,404,64.1
"014906",41336,1078,2.6,3125,7.6,13904,33.6,982,2.1,23697,57.3,1526,3.7,11633,28.1,275,0.7,3455,8.4,17639,42.7,655,1.6,21666,52.4,4648,11.2,2867,6.9,6539,15.8,10924,26.4
"014907",862,4,0.5,31,3.6,23,2.7,13,1.5,428,49.7,66,7.7,237,27.5,4,0.5,31,3.6,434,50.3,1,0.1,342,39.7,62,7.2,7,0.8,301,34.9,586,68
"014908",1465,13,0.9,100,6.8,14,1,9,0.6,403,27.5,73,5,294,20.1,13,0.9,101,6.9,1062,72.5,1,0.1,485,33.1,86,5.9,31,2.1,374,25.5,1099,75
"014909",8644,136,1.6,837,9.7,2408,27.9,246,2.5,6636,76.8,707,8.2,3484,40.3,40,0.5,798,9.2,2008,23.2,7,0.1,5094,58.9,764,8.8,258,3,1486,17.2,2311,26.7
"014910",1434,8,0.6,39,2.7,22,1.5,14,0.9,688,48,83,5.8,340,23.7,7,0.5,39,2.7,746,52,2,0.1,532,37.1,134,9.3,17,1.2,327,22.8,1038,72.4
"015801",303,0,0,1,0.3,8,2.6,0,0,211,69.6,0,0,270,89.1,0,0,1,0.3,92,30.4,0,0,197,65,52,17.2,2,0.7,156,51.5,23,7.6
"015802",1313,6,0.5,276,21,395,30.1,0,0,1283,97.7,0,0,829,63.1,1,0.1,276,21,30,2.3,1,0.1,1148,87.4,40,3,21,1.6,58,4.4,60,4.6
"015803",485,0,0,48,9.9,65,13.4,0,0,459,94.6,0,0,402,82.9,2,0.4,48,9.9,26,5.4,1,0.2,81,16.7,28,5.8,5,1,48,9.9,10,2.1
"015805",615,0,0,62,10.1,8,1.3,0,0,549,89.3,0,0,592,96.3,0,0,70,11.4,66,10.7,0,0,454,73.8,54,8.8,1,0.2,0,0,14,2.3
"015806",1384,2,0.1,174,12.6,437,31.6,0,0,1281,92.6,0,0,865,62.5,0,0,177,12.8,103,7.4,5,0.4,974,70.4,94,6.8,27,2,207,15,48,3.5
"015807",627,1,0.2,53,8.5,72,11.5,20,2.6,483,77,26,4.1,512,81.7,0,0,77,12.3,144,23,0,0,501,79.9,80,12.8,3,0.5,322,51.4,39,6.2
"015808",489,1,0.2,26,5.3,115,23.5,0,0,489,100,0,0,176,36,8,1.6,27,5.5,0,0,1,0.2,489,100,200,40.9,14,2.9,0,0,174,35.6
"015809",505,2,0.4,95,18.8,22,4.4,0,0,177,35,0,0,461,91.3,0,0,102,20.2,328,65,0,0,385,76.2,58,11.5,1,0.2,0,0,19,3.8
"015814",183,0,0,3,1.6,3,1.6,0,0,164,89.6,0,0,175,95.6,0,0,4,2.2,19,10.4,0,0,165,90.2,25,13.7,1,0.5,5,2.7,4,2.2
"015815",556,12,2.2,96,17.3,58,10.4,0,0,421,75.7,0,0,387,69.6,0,0,89,16,135,24.3,0,0,424,76.3,35,6.3,21,3.8,179,32.2,78,14
"015816",182,0,0,8,4.4,19,10.4,0,0,52,28.6,0,0,139,76.4,2,1.1,8,4.4,130,71.4,0,0,114,62.6,16,8.8,0,0,181,99.5,22,12.1
"015819",798,4,0.5,23,2.9,267,33.5,0,0,558,69.9,27,3.4,215,26.9,3,0.4,26,3.3,240,30.1,2,0.3,546,68.4,49,6.1,36,4.5,106,13.3,271,34
"015820",408,2,0.5,0,0,13,3.2,0,0,368,90.2,27,6.6,337,82.6,1,0.2,0,0,40,9.8,0,0,372,91.2,51,12.5,4,1,199,48.8,51,12.5
"015822",2991,15,0.5,603,20.2,173,5.8,0,0,2277,76.1,71,2.4,2528,84.5,0,0,648,21.7,714,23.9,1,0,1747,58.4,196,6.6,21,0.7,97,3.2,253,8.5
"015823",62,1,1.6,4,6.5,1,1.6,0,0,57,91.9,0,0,58,93.5,0,0,4,6.5,5,8.1,0,0,56,90.3,8,12.9,0,0,33,53.2,2,3.2
"015825",247,0,0,63,25.5,12,4.9,0,0,222,89.9,0,0,220,89.1,0,0,63,25.5,25,10.1,0,0,145,58.7,20,8.1,0,0,0,0,15,6.1
"015826",1485,2,0.1,456,30.7,41,2.8,0,0,1276,85.9,0,0,1407,94.7,0,0,322,21.7,209,14.1,0,0,630,42.4,119,8,5,0.3,206,13.9,30,2
"015827",855,30,3.5,41,4.8,118,13.8,0,0,464,54.3,53,6.2,480,56.1,0,0,51,6,391,45.7,1,0.1,265,31,52,6.1,33,3.9,58,6.8,193,22.6
"015828",2266,34,1.5,229,10.1,211,9.3,0,0,1483,65.4,149,6.6,1664,73.4,7,0.3,260,11.5,783,34.6,2,0.1,913,40.3,126,5.6,34,1.5,419,18.5,314,13.9
"015830",1509,11,0.7,95,6.3,28,1.9,0,0,874,57.9,32,2.1,1332,88.3,3,0.2,111,7.4,635,42.1,0,0,362,24,69,4.6,4,0.3,526,34.9,131,8.7
"015831",1014,52,5.1,71,7,70,6.9,0,0,598,59,29,2.9,691,68.1,2,0.2,76,7.5,416,41,1,0.1,295,29.1,58,5.7,11,1.1,25,2.5,187,18.4
"015832",144,0,0,28,19.4,11,7.6,0,0,131,91,10,6.9,131,91,0,0,28,19.4,13,9,0,0,74,51.4,9,6.3,0,0,39,27.1,2,1.4
"015833",181,0,0,0,0,4,2.2,0,0,69,38.1,0,0,153,84.5,3,1.7,3,1.7,112,61.9,1,0.6,99,54.7,16,8.8,1,0.6,81,44.8,19,10.5
"015834",508,110,21.7,0,0,14,2.8,0,.,28,5.5,0,0,203,40,1,0.2,0,0,480,94.5,1,0.2,0,0,12,2.4,21,4.1,0,0,158,31.1
"015836",196,1,0.5,5,2.6,2,1,0,.,22,11.2,0,0,91,46.4,0,0,5,2.6,174,88.8,0,0,11,5.6,5,2.6,10,5.1,0,0,92,46.9
"015901",4815,107,2.2,282,5.9,73,1.5,78,1.5,966,20.1,866,18,1895,39.4,8,0.2,231,4.8,3849,79.9,1,0,1270,26.4,334,6.9,94,2,436,9.1,2637,54.8
"015904",15316,14,0.1,3126,20.4,54,0.4,412,2.5,13511,88.2,846,5.5,14908,97.3,10,0.1,2571,16.8,1805,11.8,0,0,10498,68.5,1402,9.2,19,0.1,4228,27.6,311,2
"015905",12059,10,0.1,2199,18.2,120,1,304,2.3,11904,98.7,738,6.1,11854,98.3,6,0,2221,18.4,155,1.3,1,0,9001,74.6,1149,9.5,16,0.1,1956,16.2,52,0.4
"015906",1177,33,2.8,4,0.3,208,17.7,2,0.2,115,9.8,99,8.4,249,21.2,3,0.3,4,0.3,1062,90.2,10,0.8,187,15.9,67,5.7,125,10.6,101,8.6,549,46.6
"015907",53811,108,0.2,8775,16.3,3413,6.3,898,1.5,50271,93.4,2606,4.8,49051,91.2,43,0.1,10255,19.1,3540,6.6,21,0,38599,71.7,5454,10.1,201,0.4,9380,17.4,974,1.8
"015908",10007,7,0.1,1368,13.7,115,1.1,193,1.7,8976,89.7,459,4.6,9692,96.9,8,0.1,1434,14.3,1031,10.3,5,0,7344,73.4,694,6.9,17,0.2,2223,22.2,163,1.6
"015909",3934,3,0.1,431,11,27,0.7,71,1.6,3075,78.2,173,4.4,3391,86.2,10,0.3,517,13.1,859,21.8,5,0.1,2321,59,356,9,32,0.8,796,20.2,466,11.8
"015910",67986,2425,3.6,7331,10.8,4818,7.1,1173,1.6,31643,46.5,4125,6.1,38652,56.9,176,0.3,6509,9.6,36343,53.5,122,0.2,24550,36.1,5992,8.8,1989,2.9,11712,17.2,19804,29.1
"015911",9689,29,0.3,1179,12.2,775,8,142,1.3,6394,66,650,6.7,6904,71.3,12,0.1,798,8.2,3295,34,5,0.1,5627,58.1,1020,10.5,106,1.1,1871,19.3,1858,19.2
"015912",13275,51,0.4,1834,13.8,388,2.9,344,2.4,11149,84,560,4.2,12014,90.5,13,0.1,1850,13.9,2126,16,12,0.1,9339,70.4,1315,9.9,101,0.8,2578,19.4,696,5.2
"015913",931,27,2.9,32,3.4,153,16.4,7,0.6,330,35.4,45,4.8,252,27.1,3,0.3,32,3.4,601,64.6,8,0.9,214,23,96,10.3,106,11.4,163,17.5,382,41
"015914",1542,35,2.3,52,3.4,304,19.7,16,0.9,507,32.9,71,4.6,431,28,10,0.6,57,3.7,1035,67.1,18,1.2,406,26.3,184,11.9,140,9.1,198,12.8,604,39.2
"015915",101549,3053,3,6903,6.8,6198,6.1,1446,1.3,53111,52.3,9743,9.6,69915,68.8,143,0.1,7477,7.4,48438,47.7,268,0.3,43286,42.6,11089,10.9,2860,2.8,19343,19,19112,18.8
"015916",22928,413,1.8,1879,8.2,5327,23.2,426,1.7,16165,70.5,1785,7.8,12572,54.8,65,0.3,1884,8.2,6763,29.5,65,0.3,14816,64.6,2213,9.7,735,3.2,5095,22.2,3751,16.4
"015917",5150,14,0.3,745,14.5,47,0.9,143,2.5,4126,80.1,413,8,4653,90.3,2,0,759,14.7,1024,19.9,0,0,3449,67,494,9.6,19,0.4,1284,24.9,415,8.1
"016901",707,2,0.3,33,4.7,1,0.1,1,0.1,274,38.8,40,5.7,196,27.7,5,0.7,34,4.8,433,61.2,0,0,253,35.8,65,9.2,16,2.3,181,25.6,487,68.9
"016902",970,0,0,54,5.6,10,1,26,2.5,498,51.3,87,9,359,37,3,0.3,51,5.3,472,48.7,0,0,320,33,88,9.1,17,1.8,236,24.3,581,59.9
"017901",256,0,0,2,0.8,2,0.8,0,0,60,23.4,8,3.1,39,15.2,4,1.6,2,0.8,196,76.6,0,0,37,14.5,17,6.6,16,6.3,92,35.9,195,76.2
"018901",1039,10,1,76,7.3,29,2.8,14,1.3,623,60,56,5.4,342,32.9,8,0.8,77,7.4,416,40,0,0,568,54.7,108,10.4,38,3.7,264,25.4,612,58.9
"018902",523,2,0.4,26,5,21,4,9,1.6,322,61.6,42,8,168,32.1,1,0.2,27,5.2,201,38.4,0,0,256,48.9,57,10.9,19,3.6,132,25.2,312,59.7
"018903",117,0,0,1,0.9,0,0,0,0,112,95.7,1,0.9,76,65,2,1.7,19,16.2,5,4.3,0,0,78,66.7,20,17.1,7,6,29,24.8,32,27.4
"018904",618,3,0.5,41,6.6,21,3.4,8,1.2,346,56,20,3.2,138,22.3,4,0.6,41,6.6,272,44,0,0,172,27.8,68,11,17,2.8,124,20.1,435,70.4
"018905",174,0,0,30,17.2,0,0,6,2.6,151,86.8,19,10.9,103,59.2,0,0,30,17.2,23,13.2,0,0,123,70.7,19,10.9,1,0.6,65,37.4,70,40.2
"018906",135,0,0,1,0.7,0,0,0,0,70,51.9,1,0.7,33,24.4,0,0,1,0.7,65,48.1,0,0,71,52.6,13,9.6,1,0.7,63,46.7,101,74.8
"018907",224,0,0,1,0.4,2,0.9,4,1.4,162,72.3,4,1.8,27,12.1,0,0,1,0.4,62,27.7,0,0,101,45.1,27,12.1,2,0.9,80,35.7,193,86.2
"018908",123,0,0,8,6.5,0,0,0,0,96,78,0,0,34,27.6,0,0,8,6.5,27,22,0,0,73,59.3,10,8.1,0,0,53,43.1,89,72.4
"019901",822,1,0.1,42,5.1,171,20.8,10,1.1,536,65.2,42,5.1,95,11.6,10,1.2,49,6,286,34.8,0,0,296,36,94,11.4,32,3.9,224,27.3,513,62.4
"019902",885,2,0.2,27,3.1,123,13.9,14,1.4,510,57.6,72,8.1,85,9.6,2,0.2,27,3.1,375,42.4,1,0.1,345,39,91,10.3,62,7,253,28.6,610,68.9
"019903",482,0,0,0,0,36,7.5,4,0.8,255,52.9,24,5,10,2.1,3,0.6,0,0,227,47.1,0,0,142,29.5,56,11.6,14,2.9,126,26.1,419,86.9
"019905",1376,7,0.5,15,1.1,305,22.2,34,2.2,864,62.8,72,5.2,88,6.4,6,0.4,15,1.1,512,37.2,2,0.1,637,46.3,179,13,104,7.6,352,25.6,864,62.8
"019906",1130,3,0.3,3,0.3,30,2.7,17,1.4,457,40.4,101,8.9,41,3.6,9,0.8,3,0.3,673,59.6,0,0,367,32.5,99,8.8,13,1.2,430,38.1,1034,91.5
"019907",7239,79,1.1,380,5.2,3292,45.5,232,3,4957,68.5,438,6.1,955,13.2,31,0.4,380,5.2,2282,31.5,6,0.1,3733,51.6,741,10.2,306,4.2,1733,23.9,2570,35.5
"019908",2672,6,0.2,40,1.5,1277,47.8,111,3.6,1973,73.8,158,5.9,156,5.8,7,0.3,41,1.5,699,26.2,11,0.4,1395,52.2,305,11.4,151,5.7,733,27.4,1064,39.8
"019909",515,0,0,0,0,1,0.2,8,1.5,285,55.3,21,4.1,18,3.5,0,0,0,0,230,44.7,0,0,246,47.8,83,16.1,14,2.7,201,39,482,93.6
"019910",147,0,0,1,0.7,0,0,0,0,89,60.5,5,3.4,8,5.4,2,1.4,1,0.7,58,39.5,0,0,18,12.2,16,10.9,9,6.1,0,0,128,87.1
"019911",484,3,0.6,4,0.8,4,0.8,0,0,35,7.2,52,10.7,17,3.5,5,1,4,0.8,449,92.8,0,0,82,16.9,25,5.2,7,1.4,0,0,448,92.6
"019912",2020,68,3.4,43,2.1,248,12.3,12,0.6,551,27.3,372,18.4,139,6.9,13,0.6,51,2.5,1469,72.7,6,0.3,624,30.9,153,7.6,62,3.1,640,31.7,1484,73.5
"019913",96,0,0,8,8.3,0,0,0,0,55,57.3,0,0,14,14.6,2,2.1,8,8.3,41,42.7,0,0,22,22.9,13,13.5,3,3.1,12,12.5,77,80.2
"019914",110,0,0,0,0,5,4.5,0,0,75,68.2,3,2.7,8,7.3,1,0.9,0,0,35,31.8,0,0,39,35.5,6,5.5,9,8.2,0,0,87,79.1
"020901",19667,1705,8.7,3093,15.7,2900,14.7,241,1.2,9936,50.5,1784,9.1,8637,43.9,89,0.5,3137,16,9731,49.5,16,0.1,9137,46.5,1810,9.2,346,1.8,4117,20.9,5974,30.4
"020902",6549,36,0.5,835,12.8,751,11.5,178,2.5,3970,60.6,306,4.7,3060,46.7,53,0.8,574,8.8,2579,39.4,5,0.1,3711,56.7,528,8.1,153,2.3,1390,21.2,2491,38
"020904",773,3,0.4,39,5,4,0.5,11,1.3,222,28.7,59,7.6,162,21,6,0.8,39,5,551,71.3,0,0,306,39.6,69,8.9,17,2.2,224,29,581,75.2
"020905",12364,186,1.5,919,7.4,1034,8.4,269,2,7081,57.3,938,7.6,6287,50.8,45,0.4,998,8.1,5283,42.7,7,0.1,5424,43.9,1048,8.5,276,2.2,2542,20.6,4529,36.6
"020906",1886,5,0.3,44,2.3,293,15.5,41,2,922,48.9,117,6.2,401,21.3,8,0.4,44,2.3,964,51.1,2,0.1,733,38.9,148,7.8,86,4.6,783,41.5,1091,57.8
"020907",3042,9,0.3,104,3.4,342,11.2,65,2,1622,53.3,97,3.2,846,27.8,7,0.2,131,4.3,1420,46.7,0,0,1449,47.6,258,8.5,77,2.5,759,25,1761,57.9
"020908",19964,1952,9.8,1361,6.8,3212,16.1,188,0.9,5550,27.8,1651,8.3,5930,29.7,97,0.5,1453,7.3,14414,72.2,20,0.1,5585,28,1750,8.8,556,2.8,4810,24.1,8197,41.1
"020910",187,1,0.5,34,18.2,3,1.6,3,1.5,151,80.7,15,8,89,47.6,0,0,37,19.8,36,19.3,0,0,116,62,17,9.1,5,2.7,14,7.5,89,47.6
"021803",478,2,0.4,76,15.9,239,50,0,0,447,93.5,0,0,205,42.9,0,0,83,17.4,31,6.5,0,0,301,63,36,7.5,3,0.6,77,16.1,29,6.1
"021805",927,3,0.3,189,20.4,617,66.6,0,0,775,83.6,0,0,295,31.8,0,0,192,20.7,152,16.4,1,0.1,627,67.6,41,4.4,4,0.4,0,0,7,0.8
"021901",11607,890,7.7,1206,10.4,1612,13.9,125,1,4008,34.5,1353,11.7,2485,21.4,30,0.3,859,7.4,7599,65.5,16,0.1,3469,29.9,964,8.3,349,3,2604,22.4,6225,53.6
"021902",15723,59,0.4,3383,21.5,3105,19.7,405,2.4,11631,74,1987,12.6,8410,53.5,35,0.2,3169,20.2,4092,26,14,0.1,9997,63.6,1208,7.7,187,1.2,3451,21.9,3913,24.9
"022004",99,0,0,41,41.4,0,0,1,1,73,73.7,5,5.1,76,76.8,2,2,41,41.4,26,26.3,0,0,63,63.6,10,10.1,0,0,6,6.1,21,21.2
"022901",1047,11,1.1,75,7.2,7,0.7,4,0.3,533,50.9,79,7.5,675,64.5,1,0.1,78,7.4,514,49.1,0,0,729,69.6,86,8.2,10,1,241,23,343,32.8
"022902",41,0,0,0,0,0,0,0,0,37,90.2,1,2.4,34,82.9,0,0,0,0,4,9.8,0,0,11,26.8,2,4.9,1,2.4,14,34.1,6,14.6
"022903",24,0,0,0,0,0,0,0,0,10,41.7,2,8.3,9,37.5,0,0,0,0,14,58.3,0,0,8,33.3,1,4.2,2,8.3,0,0,13,54.2
"023902",187,0,0,16,8.6,4,2.1,0,0,102,54.5,7,3.7,77,41.2,0,0,16,8.6,85,45.5,0,0,61,32.6,17,9.1,4,2.1,59,31.6,102,54.5
"024901",1532,2,0.1,46,3,0,0,24,1.4,1310,85.5,75,4.9,1509,98.5,2,0.1,49,3.2,222,14.5,0,0,1009,65.9,129,8.4,0,0,361,23.6,19,1.2
"025901",1055,4,0.4,16,1.5,32,3,12,1.1,491,46.5,78,7.4,261,24.7,2,0.2,16,1.5,564,53.5,1,0.1,401,38,111,10.5,26,2.5,316,30,729,69.1
